scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:00Z,simulated,telemetry,bicycle,bike_evening_return_003,0,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5538300,-8.4122600,0.00,-0.111,-3.317,9.996,-0.0520,-0.0267,-0.0957,3.32,4.21,2.22,true,87.7,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:01Z,simulated,telemetry,bicycle,bike_evening_return_003,1,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5538435,-8.4123250,10.30,-0.341,2.934,9.711,-0.0245,-0.0368,0.0352,3.66,3.18,1.49,true,87.7,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:02Z,simulated,telemetry,bicycle,bike_evening_return_003,2,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5538512,-8.4123620,11.51,0.115,0.693,9.637,-0.0598,-0.0296,-0.0194,5.15,4.39,0.89,true,87.7,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:03Z,simulated,telemetry,bicycle,bike_evening_return_003,3,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5538602,-8.4124053,13.45,0.158,0.388,9.765,0.0134,0.0160,-0.0094,4.60,5.73,1.36,true,87.7,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:04Z,simulated,telemetry,bicycle,bike_evening_return_003,4,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5538684,-8.4124445,12.19,-0.163,-0.199,10.048,-0.0037,0.0080,-0.0747,3.84,5.00,2.55,true,87.7,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:05Z,simulated,telemetry,bicycle,bike_evening_return_003,5,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5538767,-8.4124846,12.47,0.250,0.013,9.263,-0.0119,-0.0583,0.0575,5.51,5.65,2.17,true,87.7,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:06Z,simulated,telemetry,bicycle,bike_evening_return_003,6,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5538820,-8.4125097,7.82,0.782,-1.310,10.028,-0.0264,0.0714,0.0021,3.04,4.96,0.99,true,87.7,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:07Z,simulated,telemetry,bicycle,bike_evening_return_003,7,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5538885,-8.4125412,9.79,-0.310,0.643,9.620,-0.0062,-0.0651,-0.0326,6.16,9.49,0.78,true,87.6,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:08Z,simulated,telemetry,bicycle,bike_evening_return_003,8,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5538986,-8.4125896,15.03,-0.028,1.223,9.939,-0.0363,-0.0137,0.0220,5.07,9.12,1.21,true,87.6,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:09Z,simulated,telemetry,bicycle,bike_evening_return_003,9,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5539070,-8.4126298,12.51,0.238,-0.261,9.771,0.0444,-0.0270,-0.0349,4.26,6.83,1.61,true,87.6,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:10Z,simulated,telemetry,bicycle,bike_evening_return_003,10,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5539150,-8.4126683,11.98,-0.306,-0.204,10.182,0.0279,-0.0429,-0.0781,5.64,7.76,2.41,true,87.6,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:11Z,simulated,telemetry,bicycle,bike_evening_return_003,11,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5539223,-8.4127033,10.89,-0.174,-0.489,9.820,0.0413,-0.0045,-0.0301,4.10,7.62,1.28,true,87.6,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:12Z,simulated,telemetry,bicycle,bike_evening_return_003,12,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5539298,-8.4127392,11.17,-0.379,0.213,10.040,0.0390,-0.0928,0.0743,5.23,2.92,2.65,true,87.6,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:13Z,simulated,telemetry,bicycle,bike_evening_return_003,13,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5539369,-8.4127736,10.69,-0.042,-0.050,9.993,0.0269,-0.0259,-0.0040,3.70,9.20,0.89,true,87.6,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:14Z,simulated,telemetry,bicycle,bike_evening_return_003,14,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5539441,-8.4128083,10.78,-0.544,0.314,9.749,0.0080,0.0538,-0.0105,4.52,9.00,1.74,true,87.6,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:15Z,simulated,telemetry,bicycle,bike_evening_return_003,15,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5539513,-8.4128428,10.74,-0.284,-0.276,9.920,0.0028,0.0492,-0.0418,2.08,8.52,2.26,true,87.6,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:16Z,simulated,telemetry,bicycle,bike_evening_return_003,16,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5539592,-8.4128806,11.76,0.086,0.262,9.908,-0.0101,-0.0329,-0.0389,2.12,4.76,1.13,true,87.6,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:17Z,simulated,telemetry,bicycle,bike_evening_return_003,17,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5539698,-8.4129316,15.85,-0.214,1.376,9.532,-0.0163,-0.0406,0.0490,2.64,3.56,1.52,true,87.6,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:18Z,simulated,telemetry,bicycle,bike_evening_return_003,18,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5539809,-8.4129851,16.62,-0.271,-0.287,9.606,-0.0545,0.0040,-0.0131,5.15,4.77,1.88,true,87.6,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:19Z,simulated,telemetry,bicycle,bike_evening_return_003,19,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5539877,-8.4130176,10.12,-0.406,-1.981,9.854,0.0194,0.0365,-0.0216,3.01,8.00,1.67,true,87.6,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:20Z,simulated,telemetry,bicycle,bike_evening_return_003,20,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5539961,-8.4130581,12.59,0.391,0.554,9.944,-0.0007,-0.0251,0.1054,4.64,8.83,2.33,true,87.6,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:21Z,simulated,telemetry,bicycle,bike_evening_return_003,21,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5540255,-8.4130671,13.37,-0.230,0.171,9.764,-0.0474,0.0105,0.0435,4.31,4.87,2.74,true,87.5,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:22Z,simulated,telemetry,bicycle,bike_evening_return_003,22,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5540542,-8.4130692,11.50,-0.132,-0.302,9.453,-0.0308,0.0631,-0.0559,3.22,6.82,2.33,true,87.5,
bike_evening_return_003,bike_braga_003,2026-05-05T14:36:23Z,simulated,telemetry,bicycle,bike_evening_return_003,23,bike_sao_victor,Sao Victor,bike_mercado,Mercado Municipal,in_transit,false,41.5540765,-8.4130707,8.94,0.293,-0.849,10.034,0.0037,-0.0177,0.0463,4.90,3.56,0.83,true,87.5,
