scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
bike_normal_center_009,bike_braga_009,2026-05-05T21:36:00Z,simulated,telemetry,bicycle,bike_normal_center_009,0,bike_arcada,Arcada / Avenida Central,bike_se,Se de Braga,in_transit,false,41.5517200,-8.4229000,0.00,-0.037,-3.196,9.843,-0.0118,0.0288,-0.0594,4.88,5.95,2.40,true,90.7,
bike_normal_center_009,bike_braga_009,2026-05-05T21:36:01Z,simulated,telemetry,bicycle,bike_normal_center_009,1,bike_arcada,Arcada / Avenida Central,bike_se,Se de Braga,in_transit,false,41.5517106,-8.4229779,13.52,0.050,4.021,9.727,0.0046,-0.0352,0.0018,5.31,6.44,1.59,true,90.7,
bike_normal_center_009,bike_braga_009,2026-05-05T21:36:02Z,simulated,telemetry,bicycle,bike_normal_center_009,2,bike_arcada,Arcada / Avenida Central,bike_se,Se de Braga,in_transit,false,41.5517055,-8.4230207,12.99,-0.511,-0.157,10.018,-0.0014,0.0195,-0.0151,5.88,2.62,1.18,true,90.7,
bike_normal_center_009,bike_braga_009,2026-05-05T21:36:03Z,simulated,telemetry,bicycle,bike_normal_center_009,3,bike_arcada,Arcada / Avenida Central,bike_se,Se de Braga,in_transit,false,41.5517018,-8.4230509,9.17,0.090,-1.293,9.570,-0.0320,-0.0092,-0.0906,2.22,7.61,1.27,true,90.7,
bike_normal_center_009,bike_braga_009,2026-05-05T21:36:04Z,simulated,telemetry,bicycle,bike_normal_center_009,4,bike_arcada,Arcada / Avenida Central,bike_se,Se de Braga,in_transit,false,41.5516962,-8.4230981,14.31,0.120,1.523,9.785,0.0475,-0.0260,0.0907,5.42,4.46,0.74,true,90.6,
bike_normal_center_009,bike_braga_009,2026-05-05T21:36:05Z,simulated,telemetry,bicycle,bike_normal_center_009,5,bike_arcada,Arcada / Avenida Central,bike_se,Se de Braga,in_transit,false,41.5516925,-8.4231285,9.22,-0.121,-1.497,9.879,0.0344,-0.0001,0.0557,4.04,4.78,2.12,true,90.6,
bike_normal_center_009,bike_braga_009,2026-05-05T21:36:06Z,simulated,telemetry,bicycle,bike_normal_center_009,6,bike_arcada,Arcada / Avenida Central,bike_se,Se de Braga,in_transit,false,41.5516880,-8.4231656,11.26,0.064,0.260,9.744,0.0194,-0.0068,0.0410,5.14,4.19,1.37,true,90.6,
bike_normal_center_009,bike_braga_009,2026-05-05T21:36:07Z,simulated,telemetry,bicycle,bike_normal_center_009,7,bike_arcada,Arcada / Avenida Central,bike_se,Se de Braga,in_transit,false,41.5516796,-8.4232180,16.33,-0.064,1.527,9.569,0.0103,-0.0034,-0.0083,2.50,5.54,1.00,true,90.6,
bike_normal_center_009,bike_braga_009,2026-05-05T21:36:08Z,simulated,telemetry,bicycle,bike_normal_center_009,8,bike_arcada,Arcada / Avenida Central,bike_se,Se de Braga,in_transit,false,41.5516778,-8.4232624,13.34,0.390,-0.555,9.614,0.0184,0.0461,-0.0245,2.23,2.93,1.62,true,90.6,
bike_normal_center_009,bike_braga_009,2026-05-05T21:36:09Z,simulated,telemetry,bicycle,bike_normal_center_009,9,bike_arcada,Arcada / Avenida Central,bike_se,Se de Braga,in_transit,false,41.5516764,-8.4232988,10.90,0.193,-0.797,10.059,-0.0495,0.0053,0.0006,2.62,4.48,2.72,true,90.6,
