scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
bike_normal_evening_011,bike_braga_011,2026-05-05T22:00:00Z,simulated,telemetry,bicycle,bike_normal_evening_011,0,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5488300,-8.4214800,0.00,-0.006,-2.998,9.835,-0.0096,0.0161,0.0226,2.80,4.54,2.30,true,89.0,
bike_normal_evening_011,bike_braga_011,2026-05-05T22:00:01Z,simulated,telemetry,bicycle,bike_normal_evening_011,1,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5488673,-8.4214613,10.38,0.312,2.693,10.075,-0.0003,0.0027,0.0298,4.93,4.87,1.96,true,89.0,
bike_normal_evening_011,bike_braga_011,2026-05-05T22:00:02Z,simulated,telemetry,bicycle,bike_normal_evening_011,2,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5488911,-8.4214839,11.88,0.009,0.757,9.935,-0.0126,0.0046,0.0460,2.67,7.01,0.95,true,89.0,
bike_normal_evening_011,bike_braga_011,2026-05-05T22:00:03Z,simulated,telemetry,bicycle,bike_normal_evening_011,3,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5489160,-8.4214992,10.98,-0.493,-0.205,9.719,0.0170,0.0462,-0.0096,2.87,7.43,2.74,true,88.9,
bike_normal_evening_011,bike_braga_011,2026-05-05T22:00:04Z,simulated,telemetry,bicycle,bike_normal_evening_011,4,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5489409,-8.4215146,10.98,0.118,-0.016,9.617,0.0396,0.0253,-0.0604,2.03,9.03,2.42,true,88.9,
bike_normal_evening_011,bike_braga_011,2026-05-05T22:00:05Z,simulated,telemetry,bicycle,bike_normal_evening_011,5,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5489651,-8.4215288,10.58,-0.361,-0.018,9.979,0.0123,-0.0370,-0.0488,5.49,4.92,1.56,true,88.9,
bike_normal_evening_011,bike_braga_011,2026-05-05T22:00:06Z,simulated,telemetry,bicycle,bike_normal_evening_011,6,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5489889,-8.4215418,10.30,0.117,0.029,9.901,-0.0465,-0.0099,-0.0038,3.04,6.88,1.39,true,88.9,
bike_normal_evening_011,bike_braga_011,2026-05-05T22:00:07Z,simulated,telemetry,bicycle,bike_normal_evening_011,7,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5489895,-8.4215674,12.44,-0.439,0.287,9.721,0.0355,0.0094,-0.0458,2.23,5.03,2.26,true,88.9,
bike_normal_evening_011,bike_braga_011,2026-05-05T22:00:08Z,simulated,telemetry,bicycle,bike_normal_evening_011,8,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5489723,-8.4215992,11.76,-0.049,-0.172,10.087,0.0339,-0.0630,0.0298,2.21,5.77,0.82,true,88.9,
bike_normal_evening_011,bike_braga_011,2026-05-05T22:00:09Z,simulated,telemetry,bicycle,bike_normal_evening_011,9,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5489601,-8.4216218,8.34,0.122,-1.075,9.963,0.0101,-0.0274,-0.0407,5.16,6.05,0.96,true,88.9,
