scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:00Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,0,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5579500,-8.4078700,0.00,-0.141,-3.468,10.370,-0.0178,-0.0134,-0.0292,2.06,5.15,2.32,true,88.7,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:01Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,1,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5578711,-8.4078514,15.83,0.673,4.441,9.585,0.0116,0.0196,0.0167,6.35,4.04,0.87,true,88.7,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:02Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,2,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5578348,-8.4078429,14.76,0.450,-0.061,9.897,-0.0069,-0.0051,-0.0365,2.65,7.11,1.08,true,88.6,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:03Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,3,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5577932,-8.4078332,16.88,-0.419,0.724,9.839,-0.0363,0.0136,-0.0624,4.96,6.95,1.95,true,88.6,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:04Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,4,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5577514,-8.4078233,17.01,0.020,0.166,9.897,-0.0274,0.0074,0.0625,3.55,8.66,0.94,true,88.6,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:05Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,5,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5577076,-8.4078143,17.77,0.286,0.130,9.784,-0.0113,0.0912,0.0894,5.89,3.43,2.33,true,88.6,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:06Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,6,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576762,-8.4078117,12.59,-0.573,-1.454,9.839,0.0217,0.0149,0.0267,3.59,8.40,0.73,true,88.6,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:07Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,7,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576413,-8.4078287,19.69,-0.589,2.019,9.796,0.0299,-0.0141,0.0319,6.26,6.79,2.07,true,88.6,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:08Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,8,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576398,-8.4078796,15.26,0.247,-1.555,9.634,-0.0071,-0.0117,0.0586,2.10,7.05,2.30,true,88.6,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:09Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,9,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576384,-8.4079309,15.36,-0.072,-0.133,9.766,-0.0238,-0.0643,0.0043,3.87,7.88,2.25,true,88.6,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:10Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,10,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576370,-8.4079816,15.21,-0.019,-0.033,9.585,0.0113,-0.0124,0.0424,6.11,2.27,2.10,true,88.6,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:11Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,11,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576357,-8.4080312,14.87,-0.215,-0.468,9.854,-0.0047,0.0270,0.0421,3.21,2.85,2.20,true,88.6,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:12Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,12,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576341,-8.4080874,16.83,-0.013,0.386,9.688,-0.0072,-0.0199,0.0682,4.97,3.58,1.69,true,88.6,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:13Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,13,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576328,-8.4081342,14.05,-0.021,-0.703,10.156,-0.0266,-0.0354,0.0238,4.99,5.55,1.22,true,88.6,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:14Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,14,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576313,-8.4081873,15.91,0.272,0.699,9.909,0.0240,-0.0054,-0.0175,4.96,7.50,1.01,true,88.6,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:15Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,15,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576301,-8.4082331,13.71,-0.705,-0.485,10.224,-0.0158,-0.0131,0.0519,4.27,5.44,1.98,true,88.6,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:16Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,16,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576287,-8.4082826,14.85,0.316,0.386,9.553,0.0818,0.0149,-0.0126,3.96,8.58,1.12,true,88.5,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:17Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,17,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576274,-8.4083290,13.92,0.176,-0.325,9.789,0.0162,0.0287,0.0261,2.29,6.83,0.90,true,88.5,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:18Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,18,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576262,-8.4083732,13.24,-0.560,-0.294,9.737,0.0509,-0.0129,0.0272,4.70,7.03,1.80,true,88.5,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:19Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,19,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576248,-8.4084222,14.68,0.112,0.539,9.991,0.0498,0.0060,-0.0022,2.79,2.91,2.34,true,88.5,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:20Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,20,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576232,-8.4084758,16.06,-0.035,0.590,9.893,0.0069,0.0292,0.0015,5.49,4.32,1.91,true,88.5,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:21Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,21,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576220,-8.4085158,12.00,0.136,-0.962,9.738,-0.0219,-0.0166,-0.0261,6.30,7.09,1.63,true,88.5,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:22Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,22,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576211,-8.4085679,15.60,0.425,1.035,9.989,0.0090,-0.0089,-0.0121,3.18,3.59,1.86,true,88.5,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:23Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,23,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576205,-8.4086100,12.62,0.525,-0.625,9.857,0.0018,0.0170,-0.0079,4.02,2.28,1.24,true,88.5,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:24Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,24,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576194,-8.4086600,15.00,-0.651,0.789,9.877,0.0362,-0.0056,0.0670,2.19,2.93,1.80,true,88.5,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:25Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,25,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576184,-8.4087111,15.31,-0.911,-0.124,9.703,-0.0072,-0.0160,0.0524,5.15,5.10,1.19,true,88.5,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:26Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,26,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576172,-8.4087666,16.62,-0.104,0.516,9.762,0.0295,-0.0102,-0.0526,2.84,7.59,0.92,true,88.5,
bike_hard_brake_center_021,bike_braga_021,2026-05-06T00:00:27Z,simulated,telemetry,bicycle,bike_hard_brake_center_021,27,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576160,-8.4088235,17.04,0.113,0.087,9.709,-0.0677,-0.0073,0.0371,4.50,7.60,1.02,true,88.5,
