scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
bike_traffic_jam_center_024,bike_braga_024,2026-05-06T00:36:00Z,simulated,telemetry,bicycle,bike_traffic_jam_center_024,0,bike_se,Se de Braga,bike_liberdade,Avenida da Liberdade,in_transit,false,41.5495200,-8.4268600,0.00,-0.396,-3.133,9.565,-0.0669,-0.0084,-0.0388,5.47,3.81,1.25,true,97.9,
bike_traffic_jam_center_024,bike_braga_024,2026-05-06T00:36:01Z,simulated,telemetry,bicycle,bike_traffic_jam_center_024,1,bike_se,Se de Braga,bike_liberdade,Avenida da Liberdade,in_transit,false,41.5494832,-8.4268264,11.99,-0.521,3.619,9.937,0.0267,-0.0164,0.0011,2.68,6.56,1.59,true,97.9,
bike_traffic_jam_center_024,bike_braga_024,2026-05-06T00:36:02Z,simulated,telemetry,bicycle,bike_traffic_jam_center_024,2,bike_se,Se de Braga,bike_liberdade,Avenida da Liberdade,in_transit,false,41.5495076,-8.4268309,9.87,-0.426,-0.452,9.781,-0.0242,0.0221,0.0190,4.09,8.16,1.02,true,97.9,
bike_traffic_jam_center_024,bike_braga_024,2026-05-06T00:36:03Z,simulated,telemetry,bicycle,bike_traffic_jam_center_024,3,bike_se,Se de Braga,bike_liberdade,Avenida da Liberdade,in_transit,false,41.5495342,-8.4268359,10.76,-0.582,0.491,9.841,0.0593,-0.0006,0.0566,3.50,7.14,1.91,true,97.9,
bike_traffic_jam_center_024,bike_braga_024,2026-05-06T00:36:04Z,simulated,telemetry,bicycle,bike_traffic_jam_center_024,4,bike_se,Se de Braga,bike_liberdade,Avenida da Liberdade,in_transit,false,41.5495603,-8.4268407,10.54,0.309,-0.019,9.573,-0.0269,0.0139,-0.0327,3.69,7.03,1.34,true,97.9,
bike_traffic_jam_center_024,bike_braga_024,2026-05-06T00:36:05Z,simulated,telemetry,bicycle,bike_traffic_jam_center_024,5,bike_se,Se de Braga,bike_liberdade,Avenida da Liberdade,in_transit,false,41.5495889,-8.4268458,11.55,-0.315,0.315,9.664,0.0000,0.0173,-0.0010,3.13,2.76,1.34,true,97.8,
bike_traffic_jam_center_024,bike_braga_024,2026-05-06T00:36:06Z,simulated,telemetry,bicycle,bike_traffic_jam_center_024,6,bike_se,Se de Braga,bike_liberdade,Avenida da Liberdade,in_transit,false,41.5496130,-8.4268499,9.71,-0.461,-0.751,10.201,-0.0605,0.0168,0.0307,4.81,7.80,0.94,true,97.8,
bike_traffic_jam_center_024,bike_braga_024,2026-05-06T00:36:07Z,simulated,telemetry,bicycle,bike_traffic_jam_center_024,7,bike_se,Se de Braga,bike_liberdade,Avenida da Liberdade,in_transit,false,41.5496301,-8.4268528,6.90,0.299,-0.997,9.381,0.0005,0.0271,-0.0159,5.10,8.99,1.28,true,97.8,
bike_traffic_jam_center_024,bike_braga_024,2026-05-06T00:36:08Z,simulated,telemetry,bicycle,bike_traffic_jam_center_024,8,bike_se,Se de Braga,bike_liberdade,Avenida da Liberdade,in_transit,false,41.5496450,-8.4268553,6.00,-0.491,0.125,9.817,-0.0607,-0.0021,0.0179,3.68,3.55,1.80,true,97.8,
bike_traffic_jam_center_024,bike_braga_024,2026-05-06T00:36:09Z,simulated,telemetry,bicycle,bike_traffic_jam_center_024,9,bike_se,Se de Braga,bike_liberdade,Avenida da Liberdade,in_transit,false,41.5496589,-8.4268773,12.71,-0.447,1.761,9.635,0.0056,-0.0168,-0.0132,3.44,3.36,2.71,true,97.8,
