scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
bike_obstacle_risk_center_025,bike_braga_025,2026-05-06T00:48:00Z,simulated,telemetry,bicycle,bike_obstacle_risk_center_025,0,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5488300,-8.4214800,0.00,-0.042,-3.452,9.930,-0.0162,-0.0558,0.0465,5.42,6.01,2.65,true,94.9,
bike_obstacle_risk_center_025,bike_braga_025,2026-05-06T00:48:01Z,simulated,telemetry,bicycle,bike_obstacle_risk_center_025,1,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5488776,-8.4214756,13.42,0.007,3.607,9.731,-0.0103,0.0422,0.0032,3.48,3.62,2.54,true,94.9,
bike_obstacle_risk_center_025,bike_braga_025,2026-05-06T00:48:02Z,simulated,telemetry,bicycle,bike_obstacle_risk_center_025,2,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5489042,-8.4214920,11.74,-0.242,-0.417,9.348,0.0355,0.0122,-0.0217,6.16,8.44,0.91,true,94.9,
bike_obstacle_risk_center_025,bike_braga_025,2026-05-06T00:48:03Z,simulated,telemetry,bicycle,bike_obstacle_risk_center_025,3,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5489325,-8.4215094,12.48,-0.023,0.026,9.959,0.0110,0.0301,0.0275,4.10,5.60,2.40,true,94.9,
bike_obstacle_risk_center_025,bike_braga_025,2026-05-06T00:48:04Z,simulated,telemetry,bicycle,bike_obstacle_risk_center_025,4,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5489630,-8.4215277,13.38,-0.546,0.228,9.930,0.0519,0.0120,0.1050,2.74,4.40,1.16,true,94.9,
bike_obstacle_risk_center_025,bike_braga_025,2026-05-06T00:48:05Z,simulated,telemetry,bicycle,bike_obstacle_risk_center_025,5,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5489887,-8.4215417,11.08,-0.261,-1.092,9.849,0.0153,0.0063,0.0555,4.40,3.47,2.51,true,94.9,
bike_obstacle_risk_center_025,bike_braga_025,2026-05-06T00:48:06Z,simulated,telemetry,bicycle,bike_obstacle_risk_center_025,6,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5489898,-8.4215559,11.21,0.200,-0.039,9.940,0.0425,-0.0071,-0.0352,4.72,7.56,2.46,true,94.9,
bike_obstacle_risk_center_025,bike_braga_025,2026-05-06T00:48:07Z,simulated,telemetry,bicycle,bike_obstacle_risk_center_025,7,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5489640,-8.4215421,11.12,-0.122,-0.071,9.928,-0.0058,0.0204,0.0212,3.56,7.70,1.80,true,94.9,
bike_obstacle_risk_center_025,bike_braga_025,2026-05-06T00:48:08Z,simulated,telemetry,bicycle,bike_obstacle_risk_center_025,8,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5489309,-8.4215243,14.27,-0.683,1.256,9.941,0.0101,-0.0137,-0.0403,2.58,2.98,1.74,true,94.9,
bike_obstacle_risk_center_025,bike_braga_025,2026-05-06T00:48:09Z,simulated,telemetry,bicycle,bike_obstacle_risk_center_025,9,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5489079,-8.4215119,9.94,-0.030,-1.315,9.920,-0.0712,0.0048,-0.0032,3.25,2.43,1.99,true,94.9,
bike_obstacle_risk_center_025,bike_braga_025,2026-05-06T00:48:10Z,simulated,telemetry,bicycle,bike_obstacle_risk_center_025,10,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5488817,-8.4214978,11.31,-0.200,0.303,9.782,-0.0222,0.0327,-0.0563,4.42,9.22,1.54,true,94.9,
bike_obstacle_risk_center_025,bike_braga_025,2026-05-06T00:48:11Z,simulated,telemetry,bicycle,bike_obstacle_risk_center_025,11,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5488557,-8.4214839,11.20,-0.002,0.275,10.079,-0.0394,0.0410,-0.0269,3.41,4.51,2.11,true,94.9,
bike_obstacle_risk_center_025,bike_braga_025,2026-05-06T00:48:12Z,simulated,telemetry,bicycle,bike_obstacle_risk_center_025,12,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5488282,-8.4214691,11.86,0.180,-0.198,9.694,0.0405,-0.0102,-0.0048,5.95,3.18,2.65,true,94.9,
bike_obstacle_risk_center_025,bike_braga_025,2026-05-06T00:48:13Z,simulated,telemetry,bicycle,bike_obstacle_risk_center_025,13,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5487940,-8.4214506,14.80,-0.081,0.666,9.754,0.0060,0.0043,-0.0293,4.23,4.84,1.15,true,94.8,
bike_obstacle_risk_center_025,bike_braga_025,2026-05-06T00:48:14Z,simulated,telemetry,bicycle,bike_obstacle_risk_center_025,14,bike_liberdade,Avenida da Liberdade,bike_mercado,Mercado Municipal,in_transit,false,41.5487601,-8.4214324,14.62,0.273,-0.286,9.883,0.0231,0.0710,0.0018,3.86,5.59,1.14,true,94.8,
