scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
bike_hard_brake_crosswalk_031,bike_braga_031,2026-05-06T02:00:00Z,simulated,telemetry,bicycle,bike_hard_brake_crosswalk_031,0,bike_liberdade,Avenida da Liberdade,bike_estacao_cp,Estacao CP de Braga,in_transit,false,41.5488300,-8.4214800,0.00,-0.104,-3.635,9.763,0.0348,-0.0426,-0.0363,4.22,8.48,0.79,true,93.2,
bike_hard_brake_crosswalk_031,bike_braga_031,2026-05-06T02:00:01Z,simulated,telemetry,bicycle,bike_hard_brake_crosswalk_031,1,bike_liberdade,Avenida da Liberdade,bike_estacao_cp,Estacao CP de Braga,in_transit,false,41.5488849,-8.4214801,15.67,0.719,4.571,9.912,0.0713,0.0185,0.0036,2.19,2.32,2.41,true,93.2,
bike_hard_brake_crosswalk_031,bike_braga_031,2026-05-06T02:00:02Z,simulated,telemetry,bicycle,bike_hard_brake_crosswalk_031,2,bike_liberdade,Avenida da Liberdade,bike_estacao_cp,Estacao CP de Braga,in_transit,false,41.5489150,-8.4214986,13.28,-0.519,-0.545,10.245,-0.0202,-0.0328,-0.0048,5.32,8.04,1.60,true,93.2,
bike_hard_brake_crosswalk_031,bike_braga_031,2026-05-06T02:00:03Z,simulated,telemetry,bicycle,bike_hard_brake_crosswalk_031,3,bike_liberdade,Avenida da Liberdade,bike_estacao_cp,Estacao CP de Braga,in_transit,false,41.5489490,-8.4215196,14.98,-0.419,0.578,10.007,0.0294,0.0027,-0.0598,2.51,9.12,0.78,true,93.2,
bike_hard_brake_crosswalk_031,bike_braga_031,2026-05-06T02:00:04Z,simulated,telemetry,bicycle,bike_hard_brake_crosswalk_031,4,bike_liberdade,Avenida da Liberdade,bike_estacao_cp,Estacao CP de Braga,in_transit,false,41.5489874,-8.4215410,16.67,0.012,0.562,9.693,-0.0094,-0.0000,0.0635,3.82,8.82,1.53,true,93.2,
bike_hard_brake_crosswalk_031,bike_braga_031,2026-05-06T02:00:05Z,simulated,telemetry,bicycle,bike_hard_brake_crosswalk_031,5,bike_liberdade,Avenida da Liberdade,bike_estacao_cp,Estacao CP de Braga,in_transit,false,41.5489889,-8.4215686,13.51,0.114,-0.666,10.099,0.0161,-0.0010,0.0770,3.90,5.96,2.62,true,93.2,
bike_hard_brake_crosswalk_031,bike_braga_031,2026-05-06T02:00:06Z,simulated,telemetry,bicycle,bike_hard_brake_crosswalk_031,6,bike_liberdade,Avenida da Liberdade,bike_estacao_cp,Estacao CP de Braga,in_transit,false,41.5489658,-8.4216111,15.74,0.346,0.540,10.027,-0.0371,-0.0208,0.0569,5.29,3.62,2.65,true,93.2,
bike_hard_brake_crosswalk_031,bike_braga_031,2026-05-06T02:00:07Z,simulated,telemetry,bicycle,bike_hard_brake_crosswalk_031,7,bike_liberdade,Avenida da Liberdade,bike_estacao_cp,Estacao CP de Braga,in_transit,false,41.5489451,-8.4216494,14.14,-0.189,-0.416,9.611,-0.0072,-0.0251,0.0140,5.42,6.05,1.76,true,93.2,
bike_hard_brake_crosswalk_031,bike_braga_031,2026-05-06T02:00:08Z,simulated,telemetry,bicycle,bike_hard_brake_crosswalk_031,8,bike_liberdade,Avenida da Liberdade,bike_estacao_cp,Estacao CP de Braga,in_transit,false,41.5489246,-8.4216873,14.03,0.301,0.262,9.948,-0.0259,0.0024,-0.0511,2.95,2.69,1.82,true,93.2,
bike_hard_brake_crosswalk_031,bike_braga_031,2026-05-06T02:00:09Z,simulated,telemetry,bicycle,bike_hard_brake_crosswalk_031,9,bike_liberdade,Avenida da Liberdade,bike_estacao_cp,Estacao CP de Braga,in_transit,false,41.5489054,-8.4217223,12.99,-0.258,-0.622,9.981,-0.0054,-0.0295,0.0288,4.84,5.73,0.90,true,93.2,
