scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
bike_mixed_brake_jam_center_035,bike_braga_035,2026-05-06T02:48:00Z,simulated,telemetry,bicycle,bike_mixed_brake_jam_center_035,0,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5579500,-8.4078700,0.00,0.572,-3.165,10.120,0.0002,0.0022,0.0401,3.56,2.83,2.36,true,98.7,
bike_mixed_brake_jam_center_035,bike_braga_035,2026-05-06T02:48:01Z,simulated,telemetry,bicycle,bike_mixed_brake_jam_center_035,1,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5578933,-8.4078567,12.53,-0.398,3.549,9.968,0.0520,-0.0635,0.0007,4.95,3.83,1.96,true,98.7,
bike_mixed_brake_jam_center_035,bike_braga_035,2026-05-06T02:48:02Z,simulated,telemetry,bicycle,bike_mixed_brake_jam_center_035,2,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5578750,-8.4078524,7.43,0.078,-1.229,9.296,-0.0556,-0.0014,0.0371,5.52,4.71,1.79,true,98.7,
bike_mixed_brake_jam_center_035,bike_braga_035,2026-05-06T02:48:03Z,simulated,telemetry,bicycle,bike_mixed_brake_jam_center_035,3,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5578459,-8.4078455,11.84,-0.058,1.380,9.894,-0.0166,0.0020,0.1073,2.86,7.04,1.20,true,98.7,
bike_mixed_brake_jam_center_035,bike_braga_035,2026-05-06T02:48:04Z,simulated,telemetry,bicycle,bike_mixed_brake_jam_center_035,4,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5578180,-8.4078390,11.35,0.120,-0.069,10.008,0.0161,0.0015,-0.0268,5.66,4.23,1.33,true,98.7,
bike_mixed_brake_jam_center_035,bike_braga_035,2026-05-06T02:48:05Z,simulated,telemetry,bicycle,bike_mixed_brake_jam_center_035,5,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5577913,-8.4078327,10.84,-0.448,-0.408,9.775,-0.0204,-0.0038,0.0581,5.80,8.39,1.04,true,98.7,
bike_mixed_brake_jam_center_035,bike_braga_035,2026-05-06T02:48:06Z,simulated,telemetry,bicycle,bike_mixed_brake_jam_center_035,6,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5577647,-8.4078264,10.81,-0.423,0.065,9.828,-0.0010,0.0703,-0.0492,2.69,4.60,2.09,true,98.7,
bike_mixed_brake_jam_center_035,bike_braga_035,2026-05-06T02:48:07Z,simulated,telemetry,bicycle,bike_mixed_brake_jam_center_035,7,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5577403,-8.4078207,9.92,0.109,-0.192,9.654,0.0007,-0.0461,-0.0696,6.12,7.71,1.57,true,98.7,
bike_mixed_brake_jam_center_035,bike_braga_035,2026-05-06T02:48:08Z,simulated,telemetry,bicycle,bike_mixed_brake_jam_center_035,8,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5577069,-8.4078142,13.54,0.278,0.876,9.773,0.0329,0.0193,0.0700,4.01,2.35,0.92,true,98.7,
bike_mixed_brake_jam_center_035,bike_braga_035,2026-05-06T02:48:09Z,simulated,telemetry,bicycle,bike_mixed_brake_jam_center_035,9,bike_rodovia,Parque Desportivo da Rodovia,bike_sao_victor,Sao Victor,in_transit,false,41.5576679,-8.4078111,15.62,-0.348,0.320,9.918,-0.0698,0.0038,0.0702,5.08,7.40,1.50,true,98.7,
