scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
bike_fall_accident_center_041,bike_braga_041,2026-05-06T04:00:00Z,simulated,telemetry,bicycle,bike_fall_accident_center_041,0,bike_estacao_cp,Estacao CP de Braga,bike_arcada,Arcada / Avenida Central,in_transit,false,41.5476700,-8.4340200,0.00,-0.037,-3.251,10.064,-0.0590,0.0263,0.0251,3.33,8.97,1.61,true,94.7,
bike_fall_accident_center_041,bike_braga_041,2026-05-06T04:00:01Z,simulated,telemetry,bicycle,bike_fall_accident_center_041,1,bike_estacao_cp,Estacao CP de Braga,bike_arcada,Arcada / Avenida Central,in_transit,false,41.5476896,-8.4339453,10.67,0.436,2.923,9.911,0.0010,-0.0123,0.0551,4.94,2.35,2.17,true,94.7,
bike_fall_accident_center_041,bike_braga_041,2026-05-06T04:00:02Z,simulated,telemetry,bicycle,bike_fall_accident_center_041,2,bike_estacao_cp,Estacao CP de Braga,bike_arcada,Arcada / Avenida Central,in_transit,false,41.5476980,-8.4339133,10.16,0.137,-0.031,9.669,-0.0703,-0.0054,-0.0865,3.59,5.61,2.74,true,94.7,
bike_fall_accident_center_041,bike_braga_041,2026-05-06T04:00:03Z,simulated,telemetry,bicycle,bike_fall_accident_center_041,3,bike_estacao_cp,Estacao CP de Braga,bike_arcada,Arcada / Avenida Central,in_transit,false,41.5477102,-8.4338665,14.85,-0.037,1.188,9.636,-0.0553,0.0269,0.0110,4.84,8.70,2.33,true,94.7,
bike_fall_accident_center_041,bike_braga_041,2026-05-06T04:00:04Z,simulated,telemetry,bicycle,bike_fall_accident_center_041,4,bike_estacao_cp,Estacao CP de Braga,bike_arcada,Arcada / Avenida Central,in_transit,false,41.5477259,-8.4338427,11.33,-0.312,-1.124,9.715,0.0037,-0.0075,-0.0293,2.63,6.73,1.61,true,94.6,
bike_fall_accident_center_041,bike_braga_041,2026-05-06T04:00:05Z,simulated,telemetry,bicycle,bike_fall_accident_center_041,5,bike_estacao_cp,Estacao CP de Braga,bike_arcada,Arcada / Avenida Central,in_transit,false,41.5477535,-8.4338431,11.07,0.178,0.006,9.927,-0.0139,0.0093,-0.0403,4.92,6.06,1.47,true,94.6,
bike_fall_accident_center_041,bike_braga_041,2026-05-06T04:00:06Z,simulated,telemetry,bicycle,bike_fall_accident_center_041,6,bike_estacao_cp,Estacao CP de Braga,bike_arcada,Arcada / Avenida Central,in_transit,false,41.5477885,-8.4338435,14.01,0.305,0.965,9.602,0.0214,-0.0286,-0.0210,2.62,7.13,2.11,true,94.6,
bike_fall_accident_center_041,bike_braga_041,2026-05-06T04:00:07Z,simulated,telemetry,bicycle,bike_fall_accident_center_041,7,bike_estacao_cp,Estacao CP de Braga,bike_arcada,Arcada / Avenida Central,in_transit,false,41.5478211,-8.4338440,13.06,-0.048,-0.147,9.792,-0.0151,-0.0405,-0.0436,6.41,7.70,2.17,true,94.6,
bike_fall_accident_center_041,bike_braga_041,2026-05-06T04:00:08Z,simulated,telemetry,bicycle,bike_fall_accident_center_041,8,bike_estacao_cp,Estacao CP de Braga,bike_arcada,Arcada / Avenida Central,in_transit,false,41.5478450,-8.4338443,9.56,0.575,-1.002,9.799,0.0237,-0.0001,0.0017,5.85,5.26,2.26,true,94.6,
bike_fall_accident_center_041,bike_braga_041,2026-05-06T04:00:09Z,simulated,telemetry,bicycle,bike_fall_accident_center_041,9,bike_estacao_cp,Estacao CP de Braga,bike_arcada,Arcada / Avenida Central,in_transit,false,41.5478722,-8.4338447,10.87,-0.141,0.190,9.654,0.0090,0.0219,-0.0254,4.05,4.96,2.07,true,94.6,
