scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
normal_001,scooter_braga_001,2026-05-05T10:00:00Z,simulated,telemetry,scooter,normal_001,0,,,,,in_transit,false,41.5477898,-8.3873161,15.56,-0.235,0.092,9.973,0.0534,0.0750,0.0517,4.53,4.09,1.93,true,91.7,
normal_001,scooter_braga_001,2026-05-05T10:00:01Z,simulated,telemetry,scooter,normal_001,1,,,,,in_transit,false,41.5478238,-8.3873161,13.61,0.623,-0.458,9.790,0.0004,-0.0306,-0.0291,5.30,8.30,1.03,true,91.7,
normal_001,scooter_braga_001,2026-05-05T10:00:02Z,simulated,telemetry,scooter,normal_001,2,,,,,in_transit,false,41.5478647,-8.3873162,16.37,0.436,0.785,9.920,0.0050,0.0529,-0.0428,3.54,8.79,0.90,true,91.6,
normal_001,scooter_braga_001,2026-05-05T10:00:03Z,simulated,telemetry,scooter,normal_001,3,,,,,in_transit,false,41.5478804,-8.3873589,15.11,-0.475,-0.303,10.025,-0.0097,0.0099,-0.0280,4.02,4.19,1.21,true,91.6,
normal_001,scooter_braga_001,2026-05-05T10:00:04Z,simulated,telemetry,scooter,normal_001,4,,,,,in_transit,false,41.5478935,-8.3874046,14.65,-0.511,-0.196,9.537,-0.0600,0.0774,0.0401,4.74,5.55,1.53,true,91.6,
normal_001,scooter_braga_001,2026-05-05T10:00:05Z,simulated,telemetry,scooter,normal_001,5,,,,,in_transit,false,41.5479191,-8.3874451,16.32,0.051,0.321,10.198,-0.0086,-0.0198,-0.1094,3.45,6.23,2.42,true,91.6,
normal_001,scooter_braga_001,2026-05-05T10:00:06Z,simulated,telemetry,scooter,normal_001,6,,,,,in_transit,false,41.5479469,-8.3874774,14.74,-0.079,-0.591,9.999,-0.0188,0.0323,-0.0459,6.42,3.05,0.74,true,91.6,
normal_001,scooter_braga_001,2026-05-05T10:00:07Z,simulated,telemetry,scooter,normal_001,7,,,,,in_transit,false,41.5479729,-8.3875077,13.81,0.531,-0.259,9.744,0.0038,0.0294,-0.0626,3.35,5.48,1.75,true,91.6,
normal_001,scooter_braga_001,2026-05-05T10:00:08Z,simulated,telemetry,scooter,normal_001,8,,,,,in_transit,false,41.5480020,-8.3875416,15.47,-0.202,0.383,9.609,0.0006,-0.0116,-0.0498,3.84,2.40,1.62,true,91.6,
normal_001,scooter_braga_001,2026-05-05T10:00:09Z,simulated,telemetry,scooter,normal_001,9,,,,,in_transit,false,41.5480306,-8.3875493,12.05,-0.031,-0.700,9.688,-0.0438,-0.0513,-0.0365,3.15,6.42,2.45,true,91.6,
normal_001,scooter_braga_001,2026-05-05T10:00:10Z,simulated,telemetry,scooter,normal_001,10,,,,,in_transit,false,41.5480657,-8.3875527,14.09,0.147,0.578,10.174,-0.0353,-0.0630,0.0777,5.12,7.80,2.45,true,91.6,
normal_001,scooter_braga_001,2026-05-05T10:00:11Z,simulated,telemetry,scooter,normal_001,11,,,,,in_transit,false,41.5481053,-8.3875566,15.90,-0.341,0.272,9.791,0.0242,-0.0254,-0.0567,2.83,7.96,1.35,true,91.6,
normal_001,scooter_braga_001,2026-05-05T10:00:12Z,simulated,telemetry,scooter,normal_001,12,,,,,in_transit,false,41.5481407,-8.3875550,14.21,0.172,-0.494,10.125,-0.0367,-0.0035,0.0071,5.21,7.29,1.12,true,91.6,
normal_001,scooter_braga_001,2026-05-05T10:00:13Z,simulated,telemetry,scooter,normal_001,13,,,,,in_transit,false,41.5481803,-8.3875508,15.91,0.378,0.503,9.809,-0.0277,-0.0128,0.0117,4.36,5.17,1.93,true,91.6,
normal_001,scooter_braga_001,2026-05-05T10:00:14Z,simulated,telemetry,scooter,normal_001,14,,,,,in_transit,false,41.5482219,-8.3875465,16.71,0.729,-0.142,9.770,0.1015,0.0373,0.0344,3.09,5.13,0.85,true,91.6,
normal_001,scooter_braga_001,2026-05-05T10:00:15Z,simulated,telemetry,scooter,normal_001,15,,,,,in_transit,false,41.5482578,-8.3875427,14.38,-0.495,-0.547,10.139,-0.0177,0.0259,0.1324,3.11,9.47,1.72,true,91.6,
normal_001,scooter_braga_001,2026-05-05T10:00:16Z,simulated,telemetry,scooter,normal_001,16,,,,,in_transit,false,41.5482970,-8.3875386,15.76,0.028,0.225,9.804,0.0226,0.0114,-0.0285,5.92,6.72,1.32,true,91.6,
normal_001,scooter_braga_001,2026-05-05T10:00:17Z,simulated,telemetry,scooter,normal_001,17,,,,,in_transit,false,41.5483247,-8.3875357,11.10,0.951,-1.559,10.175,-0.0367,0.0018,0.0529,4.10,7.53,1.49,true,91.6,
normal_001,scooter_braga_001,2026-05-05T10:00:18Z,simulated,telemetry,scooter,normal_001,18,,,,,in_transit,false,41.5483654,-8.3875315,16.34,-0.122,1.641,9.679,0.0018,-0.0155,-0.0999,5.52,3.20,1.77,true,91.5,
normal_001,scooter_braga_001,2026-05-05T10:00:19Z,simulated,telemetry,scooter,normal_001,19,,,,,in_transit,false,41.5484056,-8.3875273,16.16,0.393,-0.081,10.063,-0.0022,0.0110,0.0285,4.14,8.44,1.12,true,91.5,
normal_001,scooter_braga_001,2026-05-05T10:00:20Z,simulated,telemetry,scooter,normal_001,20,,,,,in_transit,false,41.5484377,-8.3875243,12.90,0.004,-0.919,9.573,-0.0338,-0.0359,0.0039,2.91,7.20,0.99,true,91.5,
normal_001,scooter_braga_001,2026-05-05T10:00:21Z,simulated,telemetry,scooter,normal_001,21,,,,,in_transit,false,41.5484742,-8.3875337,14.88,0.030,0.582,10.142,0.0180,0.0372,-0.0182,5.97,7.17,1.82,true,91.5,
normal_001,scooter_braga_001,2026-05-05T10:00:22Z,simulated,telemetry,scooter,normal_001,22,,,,,in_transit,false,41.5485109,-8.3875432,14.94,0.496,-0.042,9.797,0.0170,-0.0255,0.0240,5.08,6.27,2.35,true,91.5,
normal_001,scooter_braga_001,2026-05-05T10:00:23Z,simulated,telemetry,scooter,normal_001,23,,,,,in_transit,false,41.5485428,-8.3875515,13.04,0.049,-0.548,9.758,0.0234,0.0040,0.0655,6.15,3.34,1.80,true,91.5,
normal_001,scooter_braga_001,2026-05-05T10:00:24Z,simulated,telemetry,scooter,normal_001,24,,,,,in_transit,false,41.5485798,-8.3875611,15.09,0.371,0.794,10.031,-0.0504,0.0334,0.0040,3.68,3.02,1.32,true,91.5,
normal_001,scooter_braga_001,2026-05-05T10:00:25Z,simulated,telemetry,scooter,normal_001,25,,,,,in_transit,false,41.5486232,-8.3875723,17.67,-0.265,0.986,9.568,0.0363,0.0078,0.0530,3.66,7.64,2.63,true,91.5,
normal_001,scooter_braga_001,2026-05-05T10:00:26Z,simulated,telemetry,scooter,normal_001,26,,,,,in_transit,false,41.5486595,-8.3875818,14.83,-0.159,-0.650,9.904,-0.0090,-0.0016,0.0024,3.30,5.93,0.88,true,91.5,
