scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:00Z,simulated,telemetry,scooter,normal_stop_and_go_001,0,,,,,in_transit,false,41.5484456,-8.4046523,14.46,-0.042,0.040,9.553,-0.0070,-0.0014,-0.0015,2.27,8.43,2.55,true,91.1,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:01Z,simulated,telemetry,scooter,normal_stop_and_go_001,1,,,,,in_transit,false,41.5484154,-8.4046347,13.22,-0.176,-0.524,9.796,0.0919,0.0143,0.0521,5.14,3.44,2.70,true,91.1,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:02Z,simulated,telemetry,scooter,normal_stop_and_go_001,2,,,,,in_transit,false,41.5483831,-8.4046143,14.27,-0.070,0.207,9.763,-0.0122,-0.0364,0.0198,3.82,7.73,1.36,true,91.1,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:03Z,simulated,telemetry,scooter,normal_stop_and_go_001,3,,,,,in_transit,false,41.5483525,-8.4045916,14.05,-0.456,0.132,9.830,0.0294,-0.0009,-0.0415,2.92,5.81,2.69,true,91.1,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:04Z,simulated,telemetry,scooter,normal_stop_and_go_001,4,,,,,in_transit,false,41.5483229,-8.4045632,14.69,0.413,-0.102,9.884,0.0284,0.0374,-0.0925,3.77,3.57,2.49,true,91.1,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:05Z,simulated,telemetry,scooter,normal_stop_and_go_001,5,,,,,in_transit,false,41.5483010,-8.4045339,12.42,0.554,-0.857,9.784,-0.0373,-0.0479,-0.0393,2.85,4.47,1.32,true,91.1,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:06Z,simulated,telemetry,scooter,normal_stop_and_go_001,6,,,,,in_transit,false,41.5482762,-8.4044971,14.81,-0.066,0.337,10.183,0.0458,0.0271,-0.0299,5.19,5.15,1.06,true,91.1,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:07Z,simulated,telemetry,scooter,normal_stop_and_go_001,7,,,,,in_transit,false,41.5482623,-8.4044568,13.84,0.074,0.029,9.600,0.0111,0.0179,0.0410,2.24,7.74,0.96,true,91.1,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:08Z,simulated,telemetry,scooter,normal_stop_and_go_001,8,,,,,in_transit,false,41.5482569,-8.4044142,12.94,0.505,-0.555,9.916,-0.0024,0.0219,0.0602,6.06,9.08,2.00,true,91.1,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:09Z,simulated,telemetry,scooter,normal_stop_and_go_001,9,,,,,in_transit,false,41.5482502,-8.4043627,15.68,0.143,0.676,9.618,-0.0175,-0.0159,0.0454,3.69,8.97,2.42,true,91.1,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:10Z,simulated,telemetry,scooter,normal_stop_and_go_001,10,,,,,in_transit,false,41.5482466,-8.4043180,13.50,-0.021,-0.578,9.888,-0.0590,-0.0369,-0.1082,5.96,6.96,1.31,true,91.1,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:11Z,simulated,telemetry,scooter,normal_stop_and_go_001,11,,,,,in_transit,false,41.5482453,-8.4042786,11.81,-0.221,-0.471,9.758,0.0457,0.0145,-0.0286,6.21,5.26,1.83,true,91.0,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:12Z,simulated,telemetry,scooter,normal_stop_and_go_001,12,,,,,in_transit,false,41.5482631,-8.4042341,15.25,0.009,0.990,9.758,0.0102,0.0541,-0.0005,5.58,7.93,1.17,true,91.0,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:13Z,simulated,telemetry,scooter,normal_stop_and_go_001,13,,,,,in_transit,false,41.5482320,-8.4042256,12.73,-0.367,-0.703,9.615,-0.0040,0.0405,-0.0468,2.44,4.62,1.51,true,91.0,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:14Z,simulated,telemetry,scooter,normal_stop_and_go_001,14,,,,,in_transit,false,41.5481995,-8.4042167,13.27,-0.246,0.291,9.999,-0.0018,0.0534,0.0311,3.77,7.54,0.97,true,91.0,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:15Z,simulated,telemetry,scooter,normal_stop_and_go_001,15,,,,,in_transit,false,41.5481651,-8.4042073,14.08,-0.093,0.493,9.777,-0.0151,-0.0050,-0.0471,5.31,8.22,2.54,true,91.0,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:16Z,simulated,telemetry,scooter,normal_stop_and_go_001,16,,,,,in_transit,false,41.5481545,-8.4042518,15.20,0.098,0.536,10.079,0.0173,-0.0243,-0.0136,2.69,8.91,2.35,true,91.0,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:17Z,simulated,telemetry,scooter,normal_stop_and_go_001,17,,,,,in_transit,false,41.5481483,-8.4042915,12.17,-0.316,-0.929,10.191,0.0312,-0.0289,0.0047,3.00,8.20,1.99,true,91.0,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:18Z,simulated,telemetry,scooter,normal_stop_and_go_001,18,,,,,in_transit,false,41.5481411,-8.4043396,14.69,0.277,0.727,9.777,-0.0055,-0.0476,-0.0280,5.25,6.31,1.90,true,91.0,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:19Z,simulated,telemetry,scooter,normal_stop_and_go_001,19,,,,,in_transit,false,41.5481334,-8.4043911,15.72,-0.340,0.152,9.976,-0.0084,-0.0123,-0.0749,5.17,8.14,0.96,true,91.0,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:20Z,simulated,telemetry,scooter,normal_stop_and_go_001,20,,,,,in_transit,false,41.5481271,-8.4044328,12.77,0.222,-0.826,9.712,-0.0548,0.0203,-0.0081,6.04,9.20,2.68,true,91.0,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:21Z,simulated,telemetry,scooter,normal_stop_and_go_001,21,,,,,in_transit,false,41.5481193,-8.4044845,15.79,0.102,1.015,9.823,0.0519,0.0206,0.0568,2.01,6.97,1.65,true,91.0,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:22Z,simulated,telemetry,scooter,normal_stop_and_go_001,22,,,,,in_transit,false,41.5481113,-8.4045380,16.36,0.023,0.090,9.966,-0.0178,0.0676,0.0571,3.46,6.80,1.44,true,91.0,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:23Z,simulated,telemetry,scooter,normal_stop_and_go_001,23,,,,,in_transit,false,41.5481052,-8.4045786,12.40,-0.253,-0.808,9.678,-0.0037,-0.0639,0.0126,6.00,6.13,1.84,true,91.0,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:24Z,simulated,telemetry,scooter,normal_stop_and_go_001,24,,,,,in_transit,false,41.5480963,-8.4046378,18.07,0.248,1.812,10.332,-0.0422,0.0137,0.0025,4.59,2.54,1.44,true,91.0,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:25Z,simulated,telemetry,scooter,normal_stop_and_go_001,25,,,,,in_transit,false,41.5480895,-8.4046831,13.85,0.066,-0.937,9.708,0.0315,0.0341,0.0549,3.50,6.19,1.34,true,91.0,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:26Z,simulated,telemetry,scooter,normal_stop_and_go_001,26,,,,,in_transit,false,41.5480840,-8.4047194,11.09,-0.275,-0.314,9.953,-0.0196,-0.0230,-0.0816,4.54,5.13,2.74,true,91.0,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:27Z,simulated,telemetry,scooter,normal_stop_and_go_001,27,,,,,in_transit,false,41.5480781,-8.4047589,12.09,-0.354,0.158,9.470,0.0341,0.0591,0.0155,5.49,3.41,1.57,true,90.9,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:28Z,simulated,telemetry,scooter,normal_stop_and_go_001,28,,,,,in_transit,false,41.5480711,-8.4048055,14.22,-0.429,0.526,9.909,0.0397,-0.0769,-0.0190,4.57,9.37,2.66,true,90.9,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:29Z,simulated,telemetry,scooter,normal_stop_and_go_001,29,,,,,in_transit,false,41.5480640,-8.4048524,14.35,0.453,0.158,9.863,0.0160,0.0512,-0.0625,5.21,7.60,0.73,true,90.9,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:30Z,simulated,telemetry,scooter,normal_stop_and_go_001,30,,,,,in_transit,false,41.5480567,-8.4049011,14.86,0.017,0.361,9.991,0.0020,-0.0160,0.0404,2.69,2.74,1.17,true,90.9,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:31Z,simulated,telemetry,scooter,normal_stop_and_go_001,31,,,,,in_transit,false,41.5480504,-8.4049430,12.82,-0.029,-0.329,10.062,0.0392,0.0445,0.0129,5.58,7.45,1.87,true,90.9,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:32Z,simulated,telemetry,scooter,normal_stop_and_go_001,32,,,,,in_transit,false,41.5480459,-8.4049730,9.16,-0.499,-0.994,9.748,-0.0348,-0.0077,0.0735,3.31,5.91,2.63,true,90.9,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:33Z,simulated,telemetry,scooter,normal_stop_and_go_001,33,,,,,in_transit,false,41.5480376,-8.4050271,16.54,0.055,2.122,9.617,0.0197,0.0185,0.0039,5.97,8.50,1.34,true,90.9,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:34Z,simulated,telemetry,scooter,normal_stop_and_go_001,34,,,,,in_transit,false,41.5480303,-8.4050749,14.61,0.021,-0.471,9.815,0.0279,0.0272,0.0257,5.64,4.16,2.62,true,90.9,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:35Z,simulated,telemetry,scooter,normal_stop_and_go_001,35,,,,,in_transit,false,41.5480233,-8.4051209,14.08,-0.176,-0.180,9.729,0.0234,0.0713,0.0293,4.78,2.30,1.88,true,90.9,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:36Z,simulated,telemetry,scooter,normal_stop_and_go_001,36,,,,,in_transit,false,41.5480172,-8.4051606,12.12,-0.071,-0.754,9.698,-0.0046,0.0057,-0.0187,5.76,6.47,2.16,true,90.9,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:37Z,simulated,telemetry,scooter,normal_stop_and_go_001,37,,,,,in_transit,false,41.5480100,-8.4052081,14.54,-0.213,0.883,9.503,0.0014,0.0091,0.0136,5.71,3.25,2.25,true,90.9,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:38Z,simulated,telemetry,scooter,normal_stop_and_go_001,38,,,,,in_transit,false,41.5480024,-8.4052577,15.16,0.261,0.368,9.881,0.0163,-0.0608,0.1055,3.12,2.20,1.47,true,90.9,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:39Z,simulated,telemetry,scooter,normal_stop_and_go_001,39,,,,,in_transit,false,41.5479946,-8.4053089,15.65,0.119,-0.023,9.747,-0.0064,-0.0085,-0.0486,6.11,7.90,1.90,true,90.9,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:40Z,simulated,telemetry,scooter,normal_stop_and_go_001,40,,,,,in_transit,false,41.5479881,-8.4053514,13.00,-0.729,-0.378,9.657,0.0122,-0.0237,0.0184,3.12,8.98,0.72,true,90.9,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:41Z,simulated,telemetry,scooter,normal_stop_and_go_001,41,,,,,in_transit,false,41.5479813,-8.4053958,13.57,-0.082,-0.191,9.480,0.0121,0.0181,-0.0093,5.81,3.65,1.32,true,90.9,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:42Z,simulated,telemetry,scooter,normal_stop_and_go_001,42,,,,,in_transit,false,41.5479757,-8.4054319,11.06,0.135,-1.311,9.695,-0.0316,0.0019,-0.0128,6.09,5.44,2.32,true,90.8,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:43Z,simulated,telemetry,scooter,normal_stop_and_go_001,43,,,,,in_transit,false,41.5479693,-8.4054740,12.87,-0.260,0.364,10.110,0.0335,0.0332,-0.0800,4.93,2.44,2.68,true,90.8,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:44Z,simulated,telemetry,scooter,normal_stop_and_go_001,44,,,,,in_transit,false,41.5479628,-8.4055169,13.10,-0.321,0.169,9.644,0.0021,-0.0265,-0.0075,4.01,3.47,1.15,true,90.8,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:45Z,simulated,telemetry,scooter,normal_stop_and_go_001,45,,,,,in_transit,false,41.5479576,-8.4055503,10.24,-0.065,-0.890,9.308,0.0436,-0.0764,0.0017,6.14,2.70,1.41,true,90.8,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:46Z,simulated,telemetry,scooter,normal_stop_and_go_001,46,,,,,in_transit,false,41.5479513,-8.4055917,12.65,-0.020,0.586,9.751,0.0005,0.0262,-0.0284,3.22,8.70,1.80,true,90.8,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:47Z,simulated,telemetry,scooter,normal_stop_and_go_001,47,,,,,in_transit,false,41.5479449,-8.4056345,13.08,0.125,-0.054,9.881,0.0643,-0.0325,-0.0286,3.27,9.50,2.65,true,90.8,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:48Z,simulated,telemetry,scooter,normal_stop_and_go_001,48,,,,,in_transit,false,41.5479385,-8.4056782,13.33,0.308,-0.186,9.837,0.0723,0.0336,-0.0108,4.17,7.71,1.66,true,90.8,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:49Z,simulated,telemetry,scooter,normal_stop_and_go_001,49,,,,,in_transit,false,41.5479325,-8.4057192,12.51,-0.209,-0.371,9.545,0.0333,0.0315,-0.0486,4.71,4.89,1.79,true,90.8,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:50Z,simulated,telemetry,scooter,normal_stop_and_go_001,50,,,,,in_transit,false,41.5479274,-8.4057543,10.71,-0.308,-0.939,9.757,0.0053,-0.0305,-0.0690,2.95,4.26,1.72,true,90.8,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:51Z,simulated,telemetry,scooter,normal_stop_and_go_001,51,,,,,in_transit,false,41.5479215,-8.4057946,12.31,-0.742,0.313,9.647,0.0062,0.0031,-0.0336,3.45,8.71,1.70,true,90.8,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:52Z,simulated,telemetry,scooter,normal_stop_and_go_001,52,,,,,in_transit,false,41.5479156,-8.4058347,12.25,-0.480,0.028,10.104,-0.0243,-0.0044,-0.0017,3.92,4.17,0.88,true,90.8,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:53Z,simulated,telemetry,scooter,normal_stop_and_go_001,53,,,,,in_transit,false,41.5479086,-8.4058828,14.67,-0.160,0.786,9.217,-0.0161,0.0222,-0.1064,4.92,9.38,0.83,true,90.8,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:54Z,simulated,telemetry,scooter,normal_stop_and_go_001,54,,,,,in_transit,false,41.5479030,-8.4059209,11.63,0.079,-0.882,9.736,-0.0173,0.0166,0.1061,5.75,5.20,1.02,true,90.8,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:55Z,simulated,telemetry,scooter,normal_stop_and_go_001,55,,,,,in_transit,false,41.5479028,-8.4059224,0.45,0.186,-3.100,10.165,0.0499,-0.0044,-0.0391,6.05,3.33,2.08,true,90.8,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:56Z,simulated,telemetry,scooter,normal_stop_and_go_001,56,,,,,in_transit,false,41.5479024,-8.4059247,0.71,0.295,0.092,9.827,-0.0230,0.0504,0.0625,4.13,2.92,1.17,true,90.8,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:57Z,simulated,telemetry,scooter,normal_stop_and_go_001,57,,,,,in_transit,false,41.5479022,-8.4059263,0.48,-0.556,0.109,10.257,0.0117,-0.0264,0.0170,3.86,4.25,2.77,true,90.7,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:58Z,simulated,telemetry,scooter,normal_stop_and_go_001,58,,,,,in_transit,false,41.5479018,-8.4059289,0.80,-0.073,0.009,9.371,-0.0316,0.0371,0.0390,5.99,5.65,1.42,true,90.7,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:12:59Z,simulated,telemetry,scooter,normal_stop_and_go_001,59,,,,,in_transit,false,41.5479017,-8.4059300,0.32,-0.047,-0.220,9.923,-0.0281,-0.0177,0.0425,3.86,8.56,0.82,true,90.7,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:13:00Z,simulated,telemetry,scooter,normal_stop_and_go_001,60,,,,,in_transit,false,41.5479013,-8.4059323,0.69,0.709,0.444,9.749,-0.0130,0.0080,-0.0920,4.50,2.64,2.17,true,90.7,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:13:01Z,simulated,telemetry,scooter,normal_stop_and_go_001,61,,,,,in_transit,false,41.5479008,-8.4059359,1.12,-0.101,-0.234,9.640,-0.0381,0.0051,-0.0873,2.31,4.73,1.92,true,90.7,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:13:02Z,simulated,telemetry,scooter,normal_stop_and_go_001,62,,,,,in_transit,false,41.5479000,-8.4059411,1.57,-0.097,0.064,9.635,0.0970,0.0096,0.0050,2.09,8.68,2.17,true,90.7,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:13:03Z,simulated,telemetry,scooter,normal_stop_and_go_001,63,,,,,in_transit,false,41.5478996,-8.4059438,0.82,0.057,-0.123,9.795,0.0250,-0.0833,0.0427,6.25,8.14,1.85,true,90.7,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:13:04Z,simulated,telemetry,scooter,normal_stop_and_go_001,64,,,,,in_transit,false,41.5478996,-8.4059444,0.18,0.296,-0.315,9.860,-0.0347,-0.0282,-0.0056,5.51,5.13,1.69,true,90.7,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:13:05Z,simulated,telemetry,scooter,normal_stop_and_go_001,65,,,,,in_transit,false,41.5478990,-8.4059485,1.25,0.295,0.101,9.713,0.0247,0.0114,-0.0049,5.31,8.69,1.54,true,90.7,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:13:06Z,simulated,telemetry,scooter,normal_stop_and_go_001,66,,,,,in_transit,false,41.5478985,-8.4059512,0.85,-0.414,-0.516,9.816,-0.0428,-0.0410,0.0207,2.48,5.44,1.32,true,90.7,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:13:07Z,simulated,telemetry,scooter,normal_stop_and_go_001,67,,,,,in_transit,false,41.5478981,-8.4059541,0.88,-0.317,0.290,9.646,0.0144,-0.0091,-0.0805,4.83,8.35,1.16,true,90.7,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:13:08Z,simulated,telemetry,scooter,normal_stop_and_go_001,68,,,,,in_transit,false,41.5478973,-8.4059596,1.66,0.089,0.196,9.663,-0.0810,0.0443,-0.0439,4.22,6.30,2.15,true,90.7,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:13:09Z,simulated,telemetry,scooter,normal_stop_and_go_001,69,,,,,in_transit,false,41.5478916,-8.4059986,11.93,-0.543,2.812,9.687,-0.0402,-0.0304,0.0643,5.29,8.85,1.45,true,90.7,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:13:10Z,simulated,telemetry,scooter,normal_stop_and_go_001,70,,,,,in_transit,false,41.5478836,-8.4060535,16.74,-0.002,1.004,9.856,0.0199,0.0082,-0.0206,4.45,6.84,0.72,true,90.7,
normal_stop_and_go_001,scooter_braga_002,2026-05-05T10:13:11Z,simulated,telemetry,scooter,normal_stop_and_go_001,71,,,,,in_transit,false,41.5478764,-8.4061047,15.63,-0.084,-0.364,9.779,-0.0331,0.0172,0.0412,5.94,7.58,1.49,true,90.7,
