scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
normal_rough_pavement_001,scooter_braga_003,2026-05-05T10:24:00Z,simulated,telemetry,scooter,normal_rough_pavement_001,0,,,,,in_transit,false,41.5479014,-8.4373298,10.07,1.116,-0.651,11.871,-0.0073,-0.0465,0.2534,4.28,6.20,0.76,true,89.8,
normal_rough_pavement_001,scooter_braga_003,2026-05-05T10:24:01Z,simulated,telemetry,scooter,normal_rough_pavement_001,1,,,,,in_transit,false,41.5478875,-8.4373387,6.18,1.682,-1.195,12.861,0.0087,0.0277,0.3040,3.32,8.18,2.76,true,89.8,
normal_rough_pavement_001,scooter_braga_003,2026-05-05T10:24:02Z,simulated,telemetry,scooter,normal_rough_pavement_001,2,,,,,in_transit,false,41.5478531,-8.4373604,15.24,0.329,2.723,9.807,0.0071,0.0024,-0.0401,5.81,5.28,1.89,true,89.8,
normal_rough_pavement_001,scooter_braga_003,2026-05-05T10:24:03Z,simulated,telemetry,scooter,normal_rough_pavement_001,3,,,,,in_transit,false,41.5478267,-8.4373878,13.39,0.521,-0.545,9.533,-0.0053,0.0389,0.0180,6.48,7.92,2.36,true,89.8,
normal_rough_pavement_001,scooter_braga_003,2026-05-05T10:24:04Z,simulated,telemetry,scooter,normal_rough_pavement_001,4,,,,,in_transit,false,41.5478056,-8.4374090,10.56,0.316,-0.764,9.658,0.0839,0.0082,0.0461,5.96,9.01,2.36,true,89.8,
normal_rough_pavement_001,scooter_braga_003,2026-05-05T10:24:05Z,simulated,telemetry,scooter,normal_rough_pavement_001,5,,,,,in_transit,false,41.5477816,-8.4374318,11.79,0.264,0.371,9.631,-0.0101,-0.0217,-0.0804,5.61,8.16,2.29,true,89.8,
normal_rough_pavement_001,scooter_braga_003,2026-05-05T10:24:06Z,simulated,telemetry,scooter,normal_rough_pavement_001,6,,,,,in_transit,false,41.5477595,-8.4374602,12.53,0.296,0.184,10.205,-0.0523,0.0099,0.0336,2.68,6.79,2.70,true,89.8,
normal_rough_pavement_001,scooter_braga_003,2026-05-05T10:24:07Z,simulated,telemetry,scooter,normal_rough_pavement_001,7,,,,,in_transit,false,41.5477496,-8.4374816,7.53,0.394,-1.365,9.691,0.0003,0.0204,0.0361,3.55,4.53,1.22,true,89.8,
normal_rough_pavement_001,scooter_braga_003,2026-05-05T10:24:08Z,simulated,telemetry,scooter,normal_rough_pavement_001,8,,,,,in_transit,false,41.5477346,-8.4375138,11.36,-0.056,1.053,9.684,-0.0348,0.0778,-0.0748,5.43,2.51,2.25,true,89.8,
normal_rough_pavement_001,scooter_braga_003,2026-05-05T10:24:09Z,simulated,telemetry,scooter,normal_rough_pavement_001,9,,,,,in_transit,false,41.5477207,-8.4375384,9.27,-0.876,-0.849,9.659,-0.0120,-0.0232,0.0560,3.26,8.44,2.48,true,89.8,
normal_rough_pavement_001,scooter_braga_003,2026-05-05T10:24:10Z,simulated,telemetry,scooter,normal_rough_pavement_001,10,,,,,in_transit,false,41.5477072,-8.4375592,8.23,-0.297,-0.150,9.415,0.0330,-0.0458,-0.1014,5.06,8.30,1.00,true,89.8,
normal_rough_pavement_001,scooter_braga_003,2026-05-05T10:24:11Z,simulated,telemetry,scooter,normal_rough_pavement_001,11,,,,,in_transit,false,41.5476872,-8.4375755,9.52,0.356,0.273,9.810,0.0292,-0.0374,-0.0107,3.25,8.69,0.85,true,89.7,
