scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
hard_brake_001,scooter_braga_004,2026-05-05T10:36:00Z,simulated,telemetry,scooter,hard_brake_001,0,,,,,in_transit,false,41.5339423,-8.4507256,19.12,-0.682,0.611,10.066,0.0190,-0.0509,-0.0613,5.70,6.58,1.18,true,90.4,
hard_brake_001,scooter_braga_004,2026-05-05T10:36:01Z,simulated,telemetry,scooter,hard_brake_001,1,,,,,in_transit,false,41.5339040,-8.4507591,18.34,-0.023,-0.189,9.633,0.0242,-0.0087,0.0448,3.86,4.27,1.20,true,90.4,
hard_brake_001,scooter_braga_004,2026-05-05T10:36:02Z,simulated,telemetry,scooter,hard_brake_001,2,,,,,in_transit,false,41.5338686,-8.4507900,16.91,-0.344,-0.164,9.402,0.0266,-0.0473,0.0337,3.43,8.25,1.02,true,90.4,
hard_brake_001,scooter_braga_004,2026-05-05T10:36:03Z,simulated,telemetry,scooter,hard_brake_001,3,,,,,in_transit,false,41.5338327,-8.4508214,17.17,-0.106,0.172,9.707,0.0387,-0.0070,-0.0442,5.82,5.00,1.23,true,90.4,
hard_brake_001,scooter_braga_004,2026-05-05T10:36:04Z,simulated,telemetry,scooter,hard_brake_001,4,,,,,in_transit,false,41.5337898,-8.4508590,20.54,0.174,0.766,9.739,-0.0344,0.0245,0.0336,2.04,6.05,2.75,true,90.4,
hard_brake_001,scooter_braga_004,2026-05-05T10:36:05Z,simulated,telemetry,scooter,hard_brake_001,5,,,,,in_transit,false,41.5337479,-8.4508956,20.05,0.379,0.043,10.065,-0.0242,0.0328,-0.0018,2.79,2.96,2.02,true,90.4,
hard_brake_001,scooter_braga_004,2026-05-05T10:36:06Z,simulated,telemetry,scooter,hard_brake_001,6,,,,,in_transit,false,41.5337089,-8.4509297,18.65,-0.013,-0.466,9.893,0.0039,-0.0224,-0.0366,2.27,8.47,1.03,true,90.4,
hard_brake_001,scooter_braga_004,2026-05-05T10:36:07Z,simulated,telemetry,scooter,hard_brake_001,7,,,,,in_transit,false,41.5336725,-8.4509616,17.44,0.573,-0.318,9.849,-0.0212,0.0234,0.0504,4.15,4.23,1.06,true,90.4,
hard_brake_001,scooter_braga_004,2026-05-05T10:36:08Z,simulated,telemetry,scooter,hard_brake_001,8,,,,,in_transit,false,41.5336320,-8.4510000,19.92,-0.048,0.682,9.937,-0.0033,-0.0377,-0.0297,5.18,2.92,1.83,true,90.4,
hard_brake_001,scooter_braga_004,2026-05-05T10:36:09Z,simulated,telemetry,scooter,hard_brake_001,9,,,,,in_transit,false,41.5335910,-8.4510479,21.78,0.054,0.718,9.399,0.0253,0.0606,0.0320,4.93,3.49,1.00,true,90.3,
hard_brake_001,scooter_braga_004,2026-05-05T10:36:10Z,simulated,telemetry,scooter,hard_brake_001,10,,,,,in_transit,false,41.5335518,-8.4510937,20.85,0.359,0.037,9.322,-0.0337,-0.0308,0.0733,2.06,3.36,1.79,true,90.3,
hard_brake_001,scooter_braga_004,2026-05-05T10:36:11Z,simulated,telemetry,scooter,hard_brake_001,11,,,,,in_transit,false,41.5335118,-8.4511404,21.29,0.370,0.027,9.900,-0.0279,0.1101,-0.0017,3.77,2.39,1.29,true,90.3,
hard_brake_001,scooter_braga_004,2026-05-05T10:36:12Z,simulated,telemetry,scooter,hard_brake_001,12,,,,,in_transit,false,41.5334743,-8.4511842,19.93,-0.333,-0.300,9.794,-0.0395,-0.0150,-0.0286,4.36,9.24,1.97,true,90.3,
hard_brake_001,scooter_braga_004,2026-05-05T10:36:13Z,simulated,telemetry,scooter,hard_brake_001,13,,,,,in_transit,false,41.5334376,-8.4512270,19.48,0.210,-0.162,9.752,-0.0031,-0.0334,-0.0234,6.34,3.24,0.81,true,90.3,
hard_brake_001,scooter_braga_004,2026-05-05T10:36:14Z,simulated,telemetry,scooter,hard_brake_001,14,,,,,in_transit,false,41.5333974,-8.4512740,21.39,-0.449,0.660,10.194,-0.0162,0.0257,-0.0009,4.89,6.01,2.80,true,90.3,
hard_brake_001,scooter_braga_004,2026-05-05T10:36:15Z,simulated,telemetry,scooter,hard_brake_001,15,,,,,in_transit,false,41.5333653,-8.4513114,17.03,0.160,-1.195,9.989,-0.0127,-0.0322,0.0884,4.70,5.62,2.67,true,90.3,
hard_brake_001,scooter_braga_004,2026-05-05T10:36:16Z,simulated,telemetry,scooter,hard_brake_001,16,,,,,in_transit,false,41.5333267,-8.4513565,20.56,0.291,0.855,9.561,-0.0175,-0.0120,-0.0045,4.37,4.53,1.48,true,90.3,
hard_brake_001,scooter_braga_004,2026-05-05T10:36:17Z,simulated,telemetry,scooter,hard_brake_001,17,,,,,in_transit,false,41.5332921,-8.4513969,18.40,0.597,-0.521,9.757,-0.0131,-0.0528,0.0640,5.65,4.06,1.43,true,90.3,
hard_brake_001,scooter_braga_004,2026-05-05T10:36:18Z,simulated,telemetry,scooter,hard_brake_001,18,,,,,in_transit,false,41.5332583,-8.4514364,17.97,0.067,-0.060,9.539,-0.0411,0.0164,0.0064,2.94,3.71,2.44,true,90.3,
hard_brake_001,scooter_braga_004,2026-05-05T10:36:19Z,simulated,telemetry,scooter,hard_brake_001,19,,,,,in_transit,false,41.5332259,-8.4514741,17.18,0.239,-0.039,10.153,0.0045,0.0157,-0.0111,6.01,8.74,1.63,true,90.3,
