scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
fall_accident_001,scooter_braga_005,2026-05-05T10:48:00Z,simulated,telemetry,scooter,fall_accident_001,0,,,,,in_transit,false,41.5499109,-8.3860631,12.67,-0.056,-0.226,9.981,0.0491,-0.0302,0.0357,4.97,4.64,2.50,true,93.4,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:01Z,simulated,telemetry,scooter,fall_accident_001,1,,,,,in_transit,false,41.5498882,-8.3861057,15.68,-0.035,0.816,9.924,0.0633,0.0572,-0.0124,5.26,4.18,2.31,true,93.4,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:02Z,simulated,telemetry,scooter,fall_accident_001,2,,,,,in_transit,false,41.5498675,-8.3861447,14.33,-0.059,-0.708,10.059,0.0048,0.0519,0.0698,4.57,6.04,1.28,true,93.4,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:03Z,simulated,telemetry,scooter,fall_accident_001,3,,,,,in_transit,false,41.5498479,-8.3861816,13.54,0.057,-0.026,9.518,-0.0067,0.0461,0.0249,2.36,4.51,1.45,true,93.4,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:04Z,simulated,telemetry,scooter,fall_accident_001,4,,,,,in_transit,false,41.5498652,-8.3862108,15.76,0.010,0.395,10.142,0.0277,-0.0121,0.0426,3.10,5.41,1.35,true,93.4,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:05Z,simulated,telemetry,scooter,fall_accident_001,5,,,,,in_transit,false,41.5498989,-8.3862326,15.00,-0.109,-0.508,9.232,0.0464,0.0158,0.0533,5.61,5.92,2.74,true,93.4,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:06Z,simulated,telemetry,scooter,fall_accident_001,6,,,,,in_transit,false,41.5499265,-8.3862505,12.27,0.208,-0.690,9.614,-0.0073,-0.0039,-0.0833,3.00,5.49,1.56,true,93.4,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:07Z,simulated,telemetry,scooter,fall_accident_001,7,,,,,in_transit,false,41.5499560,-8.3862697,13.15,0.099,0.164,9.443,0.0013,-0.0112,0.0219,3.78,8.55,0.90,true,93.4,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:08Z,simulated,telemetry,scooter,fall_accident_001,8,,,,,in_transit,false,41.5499799,-8.3862852,10.60,0.130,-0.795,9.915,-0.0300,-0.0122,-0.0991,2.16,3.44,1.60,true,93.4,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:09Z,simulated,telemetry,scooter,fall_accident_001,9,,,,,in_transit,false,41.5500142,-8.3862804,13.93,0.430,1.047,10.173,-0.0645,-0.0407,-0.0402,2.35,4.55,1.07,true,93.4,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:10Z,simulated,telemetry,scooter,fall_accident_001,10,,,,,in_transit,false,41.5500507,-8.3862741,14.74,-0.415,0.237,10.114,0.0047,-0.0741,0.0059,4.51,4.68,1.59,true,93.4,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:11Z,simulated,telemetry,scooter,fall_accident_001,11,,,,,in_transit,false,41.5500878,-8.3862677,14.96,0.064,0.277,9.998,0.0268,-0.0288,0.0998,6.45,4.07,1.21,true,93.4,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:12Z,simulated,telemetry,scooter,fall_accident_001,12,,,,,in_transit,false,41.5501319,-8.3862608,17.76,0.164,0.516,10.035,-0.0483,-0.0130,0.0223,6.05,7.22,1.16,true,93.4,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:13Z,simulated,telemetry,scooter,fall_accident_001,13,,,,,in_transit,false,41.5501677,-8.3862555,14.45,0.475,-0.701,9.844,-0.0029,-0.0058,-0.0139,3.66,2.67,0.77,true,93.4,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:14Z,simulated,telemetry,scooter,fall_accident_001,14,,,,,in_transit,false,41.5502093,-8.3862493,16.75,0.060,0.749,9.875,-0.0084,-0.0070,0.0342,3.15,8.22,2.61,true,93.4,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:15Z,simulated,telemetry,scooter,fall_accident_001,15,,,,,in_transit,false,41.5502476,-8.3862474,15.33,0.173,-0.160,9.785,0.0212,-0.0399,-0.0318,4.45,7.45,2.06,true,93.3,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:16Z,simulated,telemetry,scooter,fall_accident_001,16,,,,,in_transit,false,41.5502816,-8.3862463,13.63,0.301,-0.643,9.701,0.0507,-0.0330,0.0034,5.33,5.98,1.58,true,93.3,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:17Z,simulated,telemetry,scooter,fall_accident_001,17,,,,,in_transit,false,41.5503195,-8.3862449,15.14,0.329,0.156,10.032,-0.0039,-0.0155,-0.0179,2.55,3.92,1.98,true,93.3,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:18Z,simulated,telemetry,scooter,fall_accident_001,18,,,,,in_transit,false,41.5503214,-8.3862666,13.01,0.513,-0.601,9.992,0.0164,0.0218,0.0217,5.22,6.63,1.23,true,93.3,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:19Z,simulated,telemetry,scooter,fall_accident_001,19,,,,,in_transit,false,41.5503013,-8.3863075,14.67,-0.262,0.507,9.365,-0.0274,0.0589,0.0360,2.05,9.21,1.31,true,93.3,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:20Z,simulated,telemetry,scooter,fall_accident_001,20,,,,,in_transit,false,41.5502843,-8.3863419,12.34,0.306,-0.771,9.874,-0.0135,-0.0556,0.0512,3.19,6.95,1.18,true,93.3,
fall_accident_001,scooter_braga_005,2026-05-05T10:48:21Z,simulated,telemetry,scooter,fall_accident_001,21,,,,,in_transit,false,41.5502655,-8.3863648,10.25,0.611,-0.673,9.733,-0.0220,0.0003,-0.0176,2.28,2.91,1.36,true,93.3,
