scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
traffic_jam_001,scooter_braga_006,2026-05-05T11:00:00Z,simulated,telemetry,scooter,traffic_jam_001,0,,,,,in_transit,false,41.5397793,-8.4380330,14.21,-0.474,0.315,9.798,0.0014,-0.0598,-0.0243,4.28,3.67,1.17,true,96.2,
traffic_jam_001,scooter_braga_006,2026-05-05T11:00:01Z,simulated,telemetry,scooter,traffic_jam_001,1,,,,,in_transit,false,41.5397535,-8.4380088,12.67,-0.694,-0.483,9.806,0.0228,-0.0325,0.0648,5.56,2.83,2.65,true,96.1,
traffic_jam_001,scooter_braga_006,2026-05-05T11:00:02Z,simulated,telemetry,scooter,traffic_jam_001,2,,,,,in_transit,false,41.5397445,-8.4379880,12.29,0.209,-0.082,9.903,-0.0425,0.0320,0.0020,3.09,8.10,1.11,true,96.1,
traffic_jam_001,scooter_braga_006,2026-05-05T11:00:03Z,simulated,telemetry,scooter,traffic_jam_001,3,,,,,in_transit,false,41.5397722,-8.4379787,11.44,0.066,-0.499,9.898,0.0014,-0.0464,0.0537,5.86,5.02,0.93,true,96.1,
traffic_jam_001,scooter_braga_006,2026-05-05T11:00:04Z,simulated,telemetry,scooter,traffic_jam_001,4,,,,,in_transit,false,41.5398022,-8.4379686,12.37,0.588,0.302,9.755,0.0057,0.0164,-0.0139,5.62,3.18,2.80,true,96.1,
traffic_jam_001,scooter_braga_006,2026-05-05T11:00:05Z,simulated,telemetry,scooter,traffic_jam_001,5,,,,,in_transit,false,41.5398313,-8.4379588,11.98,0.083,-0.509,9.902,-0.0091,0.0237,-0.0322,6.43,2.68,0.95,true,96.1,
traffic_jam_001,scooter_braga_006,2026-05-05T11:00:06Z,simulated,telemetry,scooter,traffic_jam_001,6,,,,,in_transit,false,41.5398607,-8.4379489,12.16,0.010,-0.268,9.748,0.0044,0.0862,-0.0263,3.70,3.07,2.14,true,96.1,
traffic_jam_001,scooter_braga_006,2026-05-05T11:00:07Z,simulated,telemetry,scooter,traffic_jam_001,7,,,,,in_transit,false,41.5398894,-8.4379393,11.85,-0.122,0.114,9.454,-0.0524,-0.0211,0.0258,2.83,5.78,1.55,true,96.1,
traffic_jam_001,scooter_braga_006,2026-05-05T11:00:08Z,simulated,telemetry,scooter,traffic_jam_001,8,,,,,in_transit,false,41.5399155,-8.4379305,10.77,-0.400,-0.372,9.587,-0.0407,0.0466,-0.0825,2.15,4.88,1.80,true,96.1,
traffic_jam_001,scooter_braga_006,2026-05-05T11:00:09Z,simulated,telemetry,scooter,traffic_jam_001,9,,,,,in_transit,false,41.5399524,-8.4379181,15.22,0.069,1.183,9.675,-0.0423,-0.0086,-0.0149,3.52,2.24,1.37,true,96.1,
