scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
normal_short_center_001,scooter_braga_008,2026-05-05T11:24:00Z,simulated,telemetry,scooter,normal_short_center_001,0,,,,,in_transit,false,41.5421661,-8.3986529,14.03,0.472,0.703,9.520,-0.0553,0.0416,0.0244,2.21,7.42,1.68,true,93.8,
normal_short_center_001,scooter_braga_008,2026-05-05T11:24:01Z,simulated,telemetry,scooter,normal_short_center_001,1,,,,,in_transit,false,41.5421925,-8.3986640,11.07,0.092,-1.151,9.827,0.0127,-0.0126,-0.0490,2.08,6.82,1.52,true,93.8,
normal_short_center_001,scooter_braga_008,2026-05-05T11:24:02Z,simulated,telemetry,scooter,normal_short_center_001,2,,,,,in_transit,false,41.5422171,-8.3986809,11.08,0.093,0.325,9.892,0.0259,0.0143,-0.0241,4.72,9.05,2.60,true,93.8,
normal_short_center_001,scooter_braga_008,2026-05-05T11:24:03Z,simulated,telemetry,scooter,normal_short_center_001,3,,,,,in_transit,false,41.5422394,-8.3986992,10.57,0.004,-0.087,9.586,-0.0300,0.0168,0.0067,5.54,4.46,2.78,true,93.8,
normal_short_center_001,scooter_braga_008,2026-05-05T11:24:04Z,simulated,telemetry,scooter,normal_short_center_001,4,,,,,in_transit,false,41.5422602,-8.3987212,10.60,0.124,0.060,9.644,0.0579,0.0806,0.0283,3.83,2.90,1.70,true,93.8,
normal_short_center_001,scooter_braga_008,2026-05-05T11:24:05Z,simulated,telemetry,scooter,normal_short_center_001,5,,,,,in_transit,false,41.5422839,-8.3987502,12.92,-0.098,0.681,10.021,0.0554,-0.0483,-0.0652,2.14,9.49,1.61,true,93.8,
normal_short_center_001,scooter_braga_008,2026-05-05T11:24:06Z,simulated,telemetry,scooter,normal_short_center_001,6,,,,,in_transit,false,41.5422980,-8.3987716,8.54,0.089,-1.119,9.509,0.0208,0.0685,0.0059,4.38,6.78,1.20,true,93.8,
normal_short_center_001,scooter_braga_008,2026-05-05T11:24:07Z,simulated,telemetry,scooter,normal_short_center_001,7,,,,,in_transit,false,41.5423145,-8.3988065,12.41,-0.019,0.923,10.013,0.0462,0.0379,0.0145,4.94,4.42,1.30,true,93.8,
normal_short_center_001,scooter_braga_008,2026-05-05T11:24:08Z,simulated,telemetry,scooter,normal_short_center_001,8,,,,,in_transit,false,41.5423269,-8.3988349,9.85,0.074,-0.622,9.950,0.0538,-0.0671,-0.0179,5.64,7.03,1.58,true,93.8,
normal_short_center_001,scooter_braga_008,2026-05-05T11:24:09Z,simulated,telemetry,scooter,normal_short_center_001,9,,,,,in_transit,false,41.5423402,-8.3988645,10.34,0.468,0.271,9.600,0.0234,-0.0114,0.0198,4.77,8.51,2.66,true,93.7,
