scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
normal_commute_002,scooter_braga_009,2026-05-05T11:36:00Z,simulated,telemetry,scooter,normal_commute_002,0,,,,,in_transit,false,41.5574221,-8.4420097,12.69,0.151,-0.455,9.598,0.0016,-0.0166,0.0471,2.97,4.75,1.75,true,93.4,
normal_commute_002,scooter_braga_009,2026-05-05T11:36:01Z,simulated,telemetry,scooter,normal_commute_002,1,,,,,in_transit,false,41.5574571,-8.4419844,15.91,0.431,0.847,9.602,-0.0343,-0.0036,0.0464,4.78,6.06,2.56,true,93.4,
normal_commute_002,scooter_braga_009,2026-05-05T11:36:02Z,simulated,telemetry,scooter,normal_commute_002,2,,,,,in_transit,false,41.5574905,-8.4419603,15.20,-0.008,-0.374,9.705,-0.0099,-0.0065,0.1123,3.83,8.48,2.76,true,93.4,
normal_commute_002,scooter_braga_009,2026-05-05T11:36:03Z,simulated,telemetry,scooter,normal_commute_002,3,,,,,in_transit,false,41.5575306,-8.4419636,16.34,0.603,0.017,9.822,-0.0060,0.0516,0.0494,3.71,6.24,1.53,true,93.4,
normal_commute_002,scooter_braga_009,2026-05-05T11:36:04Z,simulated,telemetry,scooter,normal_commute_002,4,,,,,in_transit,false,41.5575607,-8.4419523,12.54,-0.390,-0.901,9.750,0.0223,-0.0130,0.0287,3.38,6.85,1.19,true,93.4,
normal_commute_002,scooter_braga_009,2026-05-05T11:36:05Z,simulated,telemetry,scooter,normal_commute_002,5,,,,,in_transit,false,41.5575871,-8.4419267,13.12,-0.594,0.199,9.881,-0.0286,-0.0034,-0.0713,4.10,7.58,1.01,true,93.4,
normal_commute_002,scooter_braga_009,2026-05-05T11:36:06Z,simulated,telemetry,scooter,normal_commute_002,6,,,,,in_transit,false,41.5576092,-8.4419500,13.37,0.041,0.194,9.934,-0.0642,0.0574,-0.0487,3.77,2.26,0.86,true,93.4,
normal_commute_002,scooter_braga_009,2026-05-05T11:36:07Z,simulated,telemetry,scooter,normal_commute_002,7,,,,,in_transit,false,41.5576328,-8.4419882,14.81,-0.093,0.291,9.724,-0.0421,0.0005,0.0206,6.38,6.77,0.91,true,93.4,
normal_commute_002,scooter_braga_009,2026-05-05T11:36:08Z,simulated,telemetry,scooter,normal_commute_002,8,,,,,in_transit,false,41.5576632,-8.4420373,19.10,0.150,1.006,9.869,-0.0232,-0.0478,0.0318,2.92,9.14,1.51,true,93.4,
normal_commute_002,scooter_braga_009,2026-05-05T11:36:09Z,simulated,telemetry,scooter,normal_commute_002,9,,,,,in_transit,false,41.5576853,-8.4420730,13.86,0.259,-1.541,9.844,-0.0494,-0.0307,0.0055,5.85,6.76,1.30,true,93.3,
