scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
normal_long_cross_city_001,scooter_braga_010,2026-05-05T11:48:00Z,simulated,telemetry,scooter,normal_long_cross_city_001,0,,,,,in_transit,false,41.5540119,-8.4266746,19.36,-0.035,1.099,10.134,-0.0579,0.0434,0.0069,5.79,8.52,1.42,true,96.6,
normal_long_cross_city_001,scooter_braga_010,2026-05-05T11:48:01Z,simulated,telemetry,scooter,normal_long_cross_city_001,1,,,,,in_transit,false,41.5540017,-8.4267297,16.99,0.078,-0.809,9.655,-0.0039,0.0063,-0.0003,4.65,4.51,2.71,true,96.6,
normal_long_cross_city_001,scooter_braga_010,2026-05-05T11:48:02Z,simulated,telemetry,scooter,normal_long_cross_city_001,2,,,,,in_transit,false,41.5539934,-8.4267681,11.99,-0.134,-1.427,10.108,-0.0140,0.0029,0.0646,2.57,2.43,1.73,true,96.6,
normal_long_cross_city_001,scooter_braga_010,2026-05-05T11:48:03Z,simulated,telemetry,scooter,normal_long_cross_city_001,3,,,,,in_transit,false,41.5539828,-8.4268142,14.44,-0.228,0.641,10.202,-0.0495,0.0143,0.0398,6.48,8.65,0.81,true,96.6,
normal_long_cross_city_001,scooter_braga_010,2026-05-05T11:48:04Z,simulated,telemetry,scooter,normal_long_cross_city_001,4,,,,,in_transit,false,41.5539711,-8.4268644,15.73,0.069,0.507,9.593,0.0168,-0.0053,-0.0362,6.20,7.07,0.83,true,96.6,
normal_long_cross_city_001,scooter_braga_010,2026-05-05T11:48:05Z,simulated,telemetry,scooter,normal_long_cross_city_001,5,,,,,in_transit,false,41.5539602,-8.4269118,14.88,-0.359,-0.366,10.232,0.0314,0.0476,-0.0297,2.62,9.47,1.73,true,96.5,
normal_long_cross_city_001,scooter_braga_010,2026-05-05T11:48:06Z,simulated,telemetry,scooter,normal_long_cross_city_001,6,,,,,in_transit,false,41.5539460,-8.4269727,19.11,-0.078,1.021,10.180,0.0291,-0.0170,0.0272,2.84,6.98,2.03,true,96.5,
normal_long_cross_city_001,scooter_braga_010,2026-05-05T11:48:07Z,simulated,telemetry,scooter,normal_long_cross_city_001,7,,,,,in_transit,false,41.5539367,-8.4270132,12.69,-0.464,-1.807,9.830,0.0308,-0.0232,-0.0088,4.86,4.89,0.78,true,96.5,
normal_long_cross_city_001,scooter_braga_010,2026-05-05T11:48:08Z,simulated,telemetry,scooter,normal_long_cross_city_001,8,,,,,in_transit,false,41.5539267,-8.4270563,13.51,0.227,0.695,9.980,-0.0039,0.0557,-0.0471,4.95,8.31,2.33,true,96.5,
normal_long_cross_city_001,scooter_braga_010,2026-05-05T11:48:09Z,simulated,telemetry,scooter,normal_long_cross_city_001,9,,,,,in_transit,false,41.5539143,-8.4271098,16.77,-0.374,0.757,10.312,0.0090,-0.0114,0.0234,2.41,7.53,0.80,true,96.5,
normal_long_cross_city_001,scooter_braga_010,2026-05-05T11:48:10Z,simulated,telemetry,scooter,normal_long_cross_city_001,10,,,,,in_transit,false,41.5539018,-8.4271636,16.88,0.002,-0.060,10.167,0.0515,0.0303,0.0432,6.04,6.28,1.67,true,96.5,
normal_long_cross_city_001,scooter_braga_010,2026-05-05T11:48:11Z,simulated,telemetry,scooter,normal_long_cross_city_001,11,,,,,in_transit,false,41.5538898,-8.4272156,16.30,-0.268,-0.028,10.001,-0.0050,-0.0267,-0.0013,2.43,6.38,2.56,true,96.5,
normal_long_cross_city_001,scooter_braga_010,2026-05-05T11:48:12Z,simulated,telemetry,scooter,normal_long_cross_city_001,12,,,,,in_transit,false,41.5538776,-8.4272684,16.56,0.054,0.113,9.643,0.0235,-0.0170,0.0454,3.70,3.50,2.05,true,96.5,
normal_long_cross_city_001,scooter_braga_010,2026-05-05T11:48:13Z,simulated,telemetry,scooter,normal_long_cross_city_001,13,,,,,in_transit,false,41.5538660,-8.4273186,15.74,-0.177,-0.350,9.827,-0.0218,0.0214,0.0812,2.83,8.80,1.87,true,96.5,
