scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:00Z,simulated,telemetry,scooter,normal_evening_return_001,0,,,,,in_transit,false,41.5639080,-8.4040519,11.79,-0.063,-0.158,9.994,-0.0014,-0.0421,-0.0670,5.33,5.93,1.69,true,91.9,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:01Z,simulated,telemetry,scooter,normal_evening_return_001,1,,,,,in_transit,false,41.5638982,-8.4040031,15.13,-0.229,0.913,9.778,0.0106,0.0279,0.0932,4.22,9.08,1.00,true,91.9,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:02Z,simulated,telemetry,scooter,normal_evening_return_001,2,,,,,in_transit,false,41.5638906,-8.4039655,11.67,-0.280,-0.811,9.703,0.0040,-0.0190,-0.0294,5.11,2.23,2.09,true,91.9,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:03Z,simulated,telemetry,scooter,normal_evening_return_001,3,,,,,in_transit,false,41.5638819,-8.4039223,13.41,0.209,0.389,9.794,-0.0426,0.0058,0.0358,5.26,6.73,1.97,true,91.9,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:04Z,simulated,telemetry,scooter,normal_evening_return_001,4,,,,,in_transit,false,41.5638742,-8.4038842,11.81,-0.690,-0.424,9.973,-0.0189,-0.0242,0.0062,5.78,4.99,2.69,true,91.9,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:05Z,simulated,telemetry,scooter,normal_evening_return_001,5,,,,,in_transit,false,41.5638661,-8.4038439,12.49,-0.806,0.373,9.683,-0.0221,0.0265,-0.0152,3.97,3.83,2.07,true,91.9,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:06Z,simulated,telemetry,scooter,normal_evening_return_001,6,,,,,in_transit,false,41.5638576,-8.4038020,13.01,-0.061,0.459,9.766,0.0178,0.0221,0.0245,4.56,3.44,1.16,true,91.9,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:07Z,simulated,telemetry,scooter,normal_evening_return_001,7,,,,,in_transit,false,41.5638490,-8.4037592,13.25,0.265,0.090,9.641,-0.0299,0.0479,-0.0311,3.64,7.98,1.43,true,91.9,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:08Z,simulated,telemetry,scooter,normal_evening_return_001,8,,,,,in_transit,false,41.5638409,-8.4037189,12.53,0.202,0.089,10.068,0.0090,-0.0322,0.0375,4.19,3.60,0.92,true,91.9,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:09Z,simulated,telemetry,scooter,normal_evening_return_001,9,,,,,in_transit,false,41.5638330,-8.4036797,12.16,-0.071,-0.004,9.726,0.0600,-0.0287,-0.0304,5.19,5.86,2.22,true,91.8,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:10Z,simulated,telemetry,scooter,normal_evening_return_001,10,,,,,in_transit,false,41.5638465,-8.4036548,13.62,0.197,0.432,9.568,0.0455,0.0415,-0.0127,3.00,6.44,2.05,true,91.8,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:11Z,simulated,telemetry,scooter,normal_evening_return_001,11,,,,,in_transit,false,41.5638691,-8.4036494,9.19,0.501,-1.114,9.607,-0.0181,0.0334,-0.0095,3.63,3.21,0.88,true,91.8,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:12Z,simulated,telemetry,scooter,normal_evening_return_001,12,,,,,in_transit,false,41.5639034,-8.4036414,13.96,-0.096,1.436,9.553,0.0190,-0.0710,0.0048,3.87,4.79,0.74,true,91.8,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:13Z,simulated,telemetry,scooter,normal_evening_return_001,13,,,,,in_transit,false,41.5639366,-8.4036336,13.46,0.210,0.011,9.568,0.0119,-0.0037,-0.0781,3.22,2.71,0.78,true,91.8,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:14Z,simulated,telemetry,scooter,normal_evening_return_001,14,,,,,in_transit,false,41.5639642,-8.4036271,11.23,0.051,-0.729,9.852,-0.0050,-0.0002,0.0792,2.87,2.95,1.44,true,91.8,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:15Z,simulated,telemetry,scooter,normal_evening_return_001,15,,,,,in_transit,false,41.5639944,-8.4036180,12.41,-0.381,0.207,9.913,0.0177,-0.0235,-0.0031,4.93,3.94,1.05,true,91.8,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:16Z,simulated,telemetry,scooter,normal_evening_return_001,16,,,,,in_transit,false,41.5640322,-8.4036059,15.56,0.024,0.538,10.167,-0.0111,-0.0459,-0.0545,5.32,2.92,1.91,true,91.8,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:17Z,simulated,telemetry,scooter,normal_evening_return_001,17,,,,,in_transit,false,41.5640742,-8.4035924,17.27,0.479,0.302,10.043,0.0113,-0.0063,0.0409,3.08,4.06,1.34,true,91.8,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:18Z,simulated,telemetry,scooter,normal_evening_return_001,18,,,,,in_transit,false,41.5641043,-8.4035827,12.39,0.055,-1.229,9.763,-0.0000,-0.0247,-0.0619,2.25,8.92,0.80,true,91.8,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:19Z,simulated,telemetry,scooter,normal_evening_return_001,19,,,,,in_transit,false,41.5641350,-8.4035722,12.71,0.924,-0.062,9.733,-0.0001,0.0259,0.0258,2.01,2.80,0.88,true,91.8,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:20Z,simulated,telemetry,scooter,normal_evening_return_001,20,,,,,in_transit,false,41.5641604,-8.4035588,10.92,-0.875,-0.773,9.727,-0.0493,0.0009,-0.0329,2.24,6.41,1.18,true,91.8,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:21Z,simulated,telemetry,scooter,normal_evening_return_001,21,,,,,in_transit,false,41.5641944,-8.4035408,14.67,-0.128,0.950,10.165,-0.0064,0.0370,-0.0282,6.19,8.88,1.69,true,91.8,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:22Z,simulated,telemetry,scooter,normal_evening_return_001,22,,,,,in_transit,false,41.5642251,-8.4035215,13.59,0.205,-0.408,10.122,0.0150,-0.0048,-0.0396,3.23,6.44,2.47,true,91.8,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:23Z,simulated,telemetry,scooter,normal_evening_return_001,23,,,,,in_transit,false,41.5642524,-8.4035038,12.12,-0.436,-0.176,9.879,-0.0368,0.0310,0.0268,4.81,8.50,2.12,true,91.8,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:24Z,simulated,telemetry,scooter,normal_evening_return_001,24,,,,,in_transit,false,41.5642830,-8.4034839,13.63,0.343,0.329,9.504,0.0181,0.0156,0.0472,4.19,4.41,1.32,true,91.7,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:25Z,simulated,telemetry,scooter,normal_evening_return_001,25,,,,,in_transit,false,41.5643113,-8.4034655,12.59,0.028,-0.007,9.703,0.0280,-0.0133,-0.0055,3.84,3.27,2.60,true,91.7,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:26Z,simulated,telemetry,scooter,normal_evening_return_001,26,,,,,in_transit,false,41.5643368,-8.4034448,11.97,0.922,-0.452,9.826,-0.0647,-0.0134,0.0385,3.46,5.03,2.65,true,91.7,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:27Z,simulated,telemetry,scooter,normal_evening_return_001,27,,,,,in_transit,false,41.5643675,-8.4034185,14.59,-0.384,0.874,9.482,0.0840,0.0754,-0.0320,6.37,5.23,2.66,true,91.7,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:28Z,simulated,telemetry,scooter,normal_evening_return_001,28,,,,,in_transit,false,41.5643972,-8.4033888,14.84,0.317,-0.015,9.536,-0.0089,-0.0239,-0.0428,6.47,8.39,1.50,true,91.7,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:29Z,simulated,telemetry,scooter,normal_evening_return_001,29,,,,,in_transit,false,41.5644188,-8.4033659,11.05,-0.390,-0.794,9.755,-0.0421,-0.0185,-0.0294,3.71,4.31,1.57,true,91.7,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:30Z,simulated,telemetry,scooter,normal_evening_return_001,30,,,,,in_transit,false,41.5644400,-8.4033416,11.18,0.230,-0.022,10.151,0.0124,0.0181,0.0083,2.18,4.62,1.04,true,91.7,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:31Z,simulated,telemetry,scooter,normal_evening_return_001,31,,,,,in_transit,false,41.5644583,-8.4033206,9.65,-1.040,-0.649,9.806,0.0348,-0.0147,-0.0809,2.99,3.72,2.01,true,91.7,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:32Z,simulated,telemetry,scooter,normal_evening_return_001,32,,,,,in_transit,false,41.5644833,-8.4032874,14.13,0.043,1.427,9.897,-0.0389,-0.0077,0.0180,3.26,7.67,0.81,true,91.7,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:33Z,simulated,telemetry,scooter,normal_evening_return_001,33,,,,,in_transit,false,41.5645040,-8.4032586,11.95,-0.282,-0.692,9.481,-0.0082,0.0053,-0.0489,5.82,3.67,2.80,true,91.7,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:34Z,simulated,telemetry,scooter,normal_evening_return_001,34,,,,,in_transit,false,41.5645210,-8.4032315,10.61,0.366,-0.478,9.726,0.0060,-0.0329,-0.0701,2.17,7.86,1.04,true,91.7,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:35Z,simulated,telemetry,scooter,normal_evening_return_001,35,,,,,in_transit,false,41.5645375,-8.4032031,10.77,-0.276,0.162,9.660,0.0066,-0.0413,0.0196,3.96,6.50,2.76,true,91.7,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:36Z,simulated,telemetry,scooter,normal_evening_return_001,36,,,,,in_transit,false,41.5645558,-8.4031724,11.75,0.009,0.355,9.695,0.0098,-0.0123,0.0726,6.12,3.04,1.51,true,91.7,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:37Z,simulated,telemetry,scooter,normal_evening_return_001,37,,,,,in_transit,false,41.5645765,-8.4031386,13.08,-0.141,0.218,10.109,0.0527,0.0217,0.0262,3.82,9.17,0.81,true,91.7,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:38Z,simulated,telemetry,scooter,normal_evening_return_001,38,,,,,in_transit,false,41.5645928,-8.4031120,10.30,-0.479,-0.642,9.877,0.0467,-0.0330,-0.0223,3.52,6.72,1.02,true,91.7,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:39Z,simulated,telemetry,scooter,normal_evening_return_001,39,,,,,in_transit,false,41.5646134,-8.4030786,12.98,0.417,1.035,9.491,0.0369,-0.0427,0.0161,4.05,7.96,1.16,true,91.6,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:40Z,simulated,telemetry,scooter,normal_evening_return_001,40,,,,,in_transit,false,41.5646373,-8.4030397,15.07,-0.538,0.456,9.689,0.0098,-0.0239,-0.0198,2.64,7.01,0.92,true,91.6,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:41Z,simulated,telemetry,scooter,normal_evening_return_001,41,,,,,in_transit,false,41.5646591,-8.4030043,13.72,0.726,-0.476,9.867,-0.0190,0.0518,-0.0167,3.00,5.82,1.57,true,91.6,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:42Z,simulated,telemetry,scooter,normal_evening_return_001,42,,,,,in_transit,false,41.5646775,-8.4029743,11.63,0.185,-0.781,10.138,-0.0285,0.0440,0.0087,3.03,2.37,1.98,true,91.6,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:43Z,simulated,telemetry,scooter,normal_evening_return_001,43,,,,,in_transit,false,41.5646962,-8.4029423,12.15,-0.028,0.151,9.751,-0.0240,0.0834,0.0327,4.82,7.52,2.76,true,91.6,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:44Z,simulated,telemetry,scooter,normal_evening_return_001,44,,,,,in_transit,false,41.5647187,-8.4029037,14.66,-0.050,0.731,9.667,0.0152,-0.0495,-0.0998,2.24,4.54,1.49,true,91.6,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:45Z,simulated,telemetry,scooter,normal_evening_return_001,45,,,,,in_transit,false,41.5647429,-8.4028620,15.82,0.189,0.390,9.952,-0.0453,-0.0121,0.0927,2.07,5.60,1.43,true,91.6,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:46Z,simulated,telemetry,scooter,normal_evening_return_001,46,,,,,in_transit,false,41.5647639,-8.4028257,13.73,-0.230,-0.589,9.863,-0.0022,-0.0438,-0.0225,3.17,7.39,1.91,true,91.6,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:47Z,simulated,telemetry,scooter,normal_evening_return_001,47,,,,,in_transit,false,41.5647831,-8.4027928,12.50,-0.037,-0.610,10.028,0.0075,0.0141,-0.0219,4.51,3.83,2.44,true,91.6,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:48Z,simulated,telemetry,scooter,normal_evening_return_001,48,,,,,in_transit,false,41.5648023,-8.4027597,12.53,-0.101,-0.234,9.772,-0.0208,0.0025,0.0237,4.13,5.68,1.25,true,91.6,
normal_evening_return_001,scooter_braga_011,2026-05-05T12:00:49Z,simulated,telemetry,scooter,normal_evening_return_001,49,,,,,in_transit,false,41.5648211,-8.4027274,12.26,-0.349,-0.290,9.809,0.0727,0.0340,-0.0401,5.29,2.48,1.05,true,91.6,
