scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
normal_peripheral_001,scooter_braga_012,2026-05-05T12:12:00Z,simulated,telemetry,scooter,normal_peripheral_001,0,,,,,in_transit,false,41.5620090,-8.3966084,16.77,0.087,0.128,9.883,-0.0471,0.0390,0.0490,3.97,6.77,0.92,true,88.3,
normal_peripheral_001,scooter_braga_012,2026-05-05T12:12:01Z,simulated,telemetry,scooter,normal_peripheral_001,1,,,,,in_transit,false,41.5619862,-8.3966572,17.23,0.503,0.020,9.823,0.0776,0.0231,0.0467,4.19,9.38,0.93,true,88.3,
normal_peripheral_001,scooter_braga_012,2026-05-05T12:12:02Z,simulated,telemetry,scooter,normal_peripheral_001,2,,,,,in_transit,false,41.5619685,-8.3967057,16.23,0.241,-0.127,9.801,-0.0437,0.0539,0.0126,4.12,7.56,2.27,true,88.3,
normal_peripheral_001,scooter_braga_012,2026-05-05T12:12:03Z,simulated,telemetry,scooter,normal_peripheral_001,3,,,,,in_transit,false,41.5619537,-8.3967655,18.89,0.394,0.769,9.589,-0.0019,0.0394,-0.0116,2.87,7.42,0.96,true,88.3,
normal_peripheral_001,scooter_braga_012,2026-05-05T12:12:04Z,simulated,telemetry,scooter,normal_peripheral_001,4,,,,,in_transit,false,41.5619431,-8.3968187,16.51,-0.399,-1.069,9.576,0.0042,0.0463,0.0095,3.13,8.04,1.25,true,88.3,
normal_peripheral_001,scooter_braga_012,2026-05-05T12:12:05Z,simulated,telemetry,scooter,normal_peripheral_001,5,,,,,in_transit,false,41.5619336,-8.3968745,17.15,0.065,0.189,9.489,-0.0257,-0.0638,-0.0533,5.14,4.51,2.22,true,88.3,
normal_peripheral_001,scooter_braga_012,2026-05-05T12:12:06Z,simulated,telemetry,scooter,normal_peripheral_001,6,,,,,in_transit,false,41.5619236,-8.3969365,18.97,-0.015,0.467,9.670,0.0376,-0.0362,0.0604,5.06,4.51,1.66,true,88.2,
normal_peripheral_001,scooter_braga_012,2026-05-05T12:12:07Z,simulated,telemetry,scooter,normal_peripheral_001,7,,,,,in_transit,false,41.5619165,-8.3969913,16.66,-0.207,-0.900,9.813,0.0112,0.0055,-0.0385,6.35,4.79,2.16,true,88.2,
normal_peripheral_001,scooter_braga_012,2026-05-05T12:12:08Z,simulated,telemetry,scooter,normal_peripheral_001,8,,,,,in_transit,false,41.5619105,-8.3970382,14.25,-0.445,-0.665,9.862,-0.0211,0.0197,0.0638,6.29,4.10,2.14,true,88.2,
normal_peripheral_001,scooter_braga_012,2026-05-05T12:12:09Z,simulated,telemetry,scooter,normal_peripheral_001,9,,,,,in_transit,false,41.5619021,-8.3971045,20.16,-0.486,1.897,9.461,0.0478,-0.0482,-0.0599,4.96,8.60,2.66,true,88.2,
