scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
hard_brake_roundabout_002,scooter_braga_013,2026-05-05T12:24:00Z,simulated,telemetry,scooter,hard_brake_roundabout_002,0,,,,,in_transit,false,41.5577928,-8.4262580,15.45,-0.202,-0.221,9.927,-0.0418,-0.0117,-0.0336,2.09,5.01,2.65,true,93.8,
hard_brake_roundabout_002,scooter_braga_013,2026-05-05T12:24:01Z,simulated,telemetry,scooter,hard_brake_roundabout_002,1,,,,,in_transit,false,41.5578349,-8.4262585,16.85,-0.269,-0.133,9.617,-0.0220,-0.0322,0.0712,6.08,6.24,1.07,true,93.8,
hard_brake_roundabout_002,scooter_braga_013,2026-05-05T12:24:02Z,simulated,telemetry,scooter,hard_brake_roundabout_002,2,,,,,in_transit,false,41.5578734,-8.4262589,15.42,0.327,-0.455,9.730,-0.0233,0.0129,0.0019,6.21,6.52,1.63,true,93.8,
hard_brake_roundabout_002,scooter_braga_013,2026-05-05T12:24:03Z,simulated,telemetry,scooter,hard_brake_roundabout_002,3,,,,,in_transit,false,41.5579197,-8.4262594,18.52,-0.376,0.949,10.150,-0.0174,0.0232,0.0074,5.26,5.09,1.08,true,93.8,
hard_brake_roundabout_002,scooter_braga_013,2026-05-05T12:24:04Z,simulated,telemetry,scooter,hard_brake_roundabout_002,4,,,,,in_transit,false,41.5579779,-8.4262600,23.30,-0.518,1.435,9.853,0.0764,-0.0371,0.0127,6.13,6.32,1.46,true,93.8,
hard_brake_roundabout_002,scooter_braga_013,2026-05-05T12:24:05Z,simulated,telemetry,scooter,hard_brake_roundabout_002,5,,,,,in_transit,false,41.5580259,-8.4262606,19.22,0.014,-1.591,10.319,0.0008,0.0432,0.0537,2.57,3.32,2.78,true,93.8,
hard_brake_roundabout_002,scooter_braga_013,2026-05-05T12:24:06Z,simulated,telemetry,scooter,hard_brake_roundabout_002,6,,,,,in_transit,false,41.5580690,-8.4262610,17.26,-0.209,-0.467,9.945,-0.0446,-0.0342,0.0619,2.49,8.51,0.83,true,93.8,
hard_brake_roundabout_002,scooter_braga_013,2026-05-05T12:24:07Z,simulated,telemetry,scooter,hard_brake_roundabout_002,7,,,,,in_transit,false,41.5581194,-8.4262616,20.19,-0.492,0.563,9.731,0.0045,-0.0159,0.0288,4.34,8.57,1.23,true,93.8,
hard_brake_roundabout_002,scooter_braga_013,2026-05-05T12:24:08Z,simulated,telemetry,scooter,hard_brake_roundabout_002,8,,,,,in_transit,false,41.5581645,-8.4262621,18.05,0.193,-0.643,10.126,0.0379,-0.0029,0.0230,2.58,4.18,0.91,true,93.8,
hard_brake_roundabout_002,scooter_braga_013,2026-05-05T12:24:09Z,simulated,telemetry,scooter,hard_brake_roundabout_002,9,,,,,in_transit,false,41.5582127,-8.4262626,19.27,-0.124,0.122,9.989,0.0263,-0.0114,0.0186,3.42,7.64,2.17,true,93.7,
hard_brake_roundabout_002,scooter_braga_013,2026-05-05T12:24:10Z,simulated,telemetry,scooter,hard_brake_roundabout_002,10,,,,,in_transit,false,41.5582556,-8.4262630,17.19,-0.136,-0.653,9.832,0.0116,-0.0422,0.0499,2.76,4.13,1.12,true,93.7,
hard_brake_roundabout_002,scooter_braga_013,2026-05-05T12:24:11Z,simulated,telemetry,scooter,hard_brake_roundabout_002,11,,,,,in_transit,false,41.5583073,-8.4262636,20.70,0.026,1.142,10.110,-0.0325,0.0272,0.0874,2.21,7.13,1.19,true,93.7,
hard_brake_roundabout_002,scooter_braga_013,2026-05-05T12:24:12Z,simulated,telemetry,scooter,hard_brake_roundabout_002,12,,,,,in_transit,false,41.5583547,-8.4262641,18.98,0.633,-0.588,10.192,-0.0168,-0.0088,-0.0565,4.63,3.64,2.30,true,93.7,
hard_brake_roundabout_002,scooter_braga_013,2026-05-05T12:24:13Z,simulated,telemetry,scooter,hard_brake_roundabout_002,13,,,,,in_transit,false,41.5584086,-8.4262647,21.58,0.405,1.125,9.603,0.0523,-0.0334,-0.0394,6.49,5.38,1.26,true,93.7,
