scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:00Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,0,,,,,in_transit,false,41.5355639,-8.4078446,16.58,-0.043,0.103,9.719,0.0271,-0.0332,-0.0062,6.42,3.79,2.50,true,98.5,
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:01Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,1,,,,,in_transit,false,41.5355341,-8.4079058,21.85,-0.107,1.683,9.978,0.0106,-0.0190,-0.0030,5.95,4.68,2.69,true,98.5,
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:02Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,2,,,,,in_transit,false,41.5355044,-8.4079671,21.89,-0.094,-0.321,9.738,0.0211,0.0868,-0.0211,3.86,3.76,2.63,true,98.5,
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:03Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,3,,,,,in_transit,false,41.5354776,-8.4080221,19.66,0.117,-0.316,9.890,0.0321,0.0615,-0.0354,3.43,3.65,2.18,true,98.5,
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:04Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,4,,,,,in_transit,false,41.5354502,-8.4080785,20.14,0.079,-0.051,9.757,0.0685,0.0538,0.0184,2.81,8.62,2.40,true,98.5,
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:05Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,5,,,,,in_transit,false,41.5354227,-8.4081352,20.25,0.295,-0.010,9.898,-0.0207,0.0461,-0.0879,2.70,6.30,1.94,true,98.4,
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:06Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,6,,,,,in_transit,false,41.5353985,-8.4082014,22.10,0.472,0.619,10.079,0.0071,0.0318,0.0493,5.26,7.08,2.53,true,98.4,
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:07Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,7,,,,,in_transit,false,41.5353784,-8.4082577,18.70,0.261,-0.998,9.799,0.0377,0.0217,0.0065,2.62,4.06,1.01,true,98.4,
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:08Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,8,,,,,in_transit,false,41.5353597,-8.4083123,18.00,0.303,-0.132,9.670,0.0117,0.0419,-0.0149,4.53,2.67,2.00,true,98.4,
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:09Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,9,,,,,in_transit,false,41.5353408,-8.4083747,20.17,0.497,0.503,9.571,-0.0549,-0.0091,-0.0395,5.36,8.98,1.00,true,98.4,
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:10Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,10,,,,,in_transit,false,41.5353250,-8.4084293,17.56,-0.381,-1.059,9.859,0.0069,0.0181,-0.0923,5.72,2.23,1.91,true,98.4,
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:11Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,11,,,,,in_transit,false,41.5353121,-8.4084920,19.48,-0.044,0.522,9.432,-0.0062,0.0433,-0.0742,2.09,5.08,0.75,true,98.4,
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:12Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,12,,,,,in_transit,false,41.5352985,-8.4085581,20.54,0.090,0.357,9.777,-0.0404,0.0321,0.0271,4.60,2.63,1.87,true,98.4,
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:13Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,13,,,,,in_transit,false,41.5352936,-8.4086184,18.24,0.166,-0.913,10.044,-0.0186,0.0292,0.0294,5.19,4.21,2.76,true,98.4,
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:14Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,14,,,,,in_transit,false,41.5352913,-8.4086758,17.24,-0.466,0.039,10.454,-0.0123,-0.0187,-0.0077,2.29,9.34,1.05,true,98.4,
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:15Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,15,,,,,in_transit,false,41.5353051,-8.4087355,18.72,0.264,0.379,9.571,-0.0465,-0.0347,-0.0232,3.50,4.23,1.33,true,98.4,
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:16Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,16,,,,,in_transit,false,41.5353185,-8.4087928,17.99,0.633,-0.071,9.588,0.0111,0.0157,0.0073,3.28,2.58,2.02,true,98.4,
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:17Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,17,,,,,in_transit,false,41.5353365,-8.4088455,17.39,-0.852,-0.131,9.953,-0.0111,-0.0462,-0.0073,2.12,9.39,1.32,true,98.4,
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:18Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,18,,,,,in_transit,false,41.5353573,-8.4089023,18.95,0.202,0.501,9.677,0.0241,-0.0006,-0.0012,6.40,8.83,1.10,true,98.4,
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:19Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,19,,,,,in_transit,false,41.5353837,-8.4089606,20.54,0.611,0.066,9.615,0.0308,-0.0491,0.0109,3.99,5.16,2.33,true,98.4,
hard_brake_crosswalk_003,scooter_braga_014,2026-05-05T12:36:20Z,simulated,telemetry,scooter,hard_brake_crosswalk_003,20,,,,,in_transit,false,41.5354142,-8.4090121,19.67,-0.160,-0.192,10.068,-0.0278,0.0223,0.0375,2.86,6.81,2.57,true,98.3,
