scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
fall_accident_long_003,scooter_braga_016,2026-05-05T13:00:00Z,simulated,telemetry,scooter,fall_accident_long_003,0,,,,,in_transit,false,41.5390969,-8.4407065,15.36,-0.256,0.377,10.181,0.0230,0.0506,0.0208,4.28,4.87,1.93,true,88.1,
fall_accident_long_003,scooter_braga_016,2026-05-05T13:00:01Z,simulated,telemetry,scooter,fall_accident_long_003,1,,,,,in_transit,false,41.5390865,-8.4406512,17.08,-0.214,0.686,10.041,-0.0424,0.0315,-0.0720,4.69,2.45,2.05,true,88.1,
fall_accident_long_003,scooter_braga_016,2026-05-05T13:00:02Z,simulated,telemetry,scooter,fall_accident_long_003,2,,,,,in_transit,false,41.5390776,-8.4406035,14.72,0.061,-0.761,9.896,0.0276,0.0134,0.0633,6.07,6.96,2.14,true,88.1,
fall_accident_long_003,scooter_braga_016,2026-05-05T13:00:03Z,simulated,telemetry,scooter,fall_accident_long_003,3,,,,,in_transit,false,41.5390668,-8.4405459,17.78,0.331,0.852,9.798,0.0320,0.0276,0.0012,2.32,6.21,1.25,true,88.1,
fall_accident_long_003,scooter_braga_016,2026-05-05T13:00:04Z,simulated,telemetry,scooter,fall_accident_long_003,4,,,,,in_transit,false,41.5390568,-8.4404929,16.40,-0.203,-0.199,9.482,-0.0367,-0.0299,0.0787,2.95,4.41,0.72,true,88.1,
fall_accident_long_003,scooter_braga_016,2026-05-05T13:00:05Z,simulated,telemetry,scooter,fall_accident_long_003,5,,,,,in_transit,false,41.5390495,-8.4404535,12.15,-0.011,-1.063,9.778,-0.0250,0.0081,-0.0169,4.60,2.41,2.70,true,88.0,
fall_accident_long_003,scooter_braga_016,2026-05-05T13:00:06Z,simulated,telemetry,scooter,fall_accident_long_003,6,,,,,in_transit,false,41.5390401,-8.4404035,15.45,0.222,0.809,10.018,-0.0358,-0.0224,0.0475,3.03,4.51,0.92,true,88.0,
fall_accident_long_003,scooter_braga_016,2026-05-05T13:00:07Z,simulated,telemetry,scooter,fall_accident_long_003,7,,,,,in_transit,false,41.5390311,-8.4403558,14.73,-0.410,-0.116,9.868,0.0294,-0.0097,-0.0189,2.97,7.68,0.79,true,88.0,
fall_accident_long_003,scooter_braga_016,2026-05-05T13:00:08Z,simulated,telemetry,scooter,fall_accident_long_003,8,,,,,in_transit,false,41.5390207,-8.4403003,17.14,-0.145,0.710,10.342,0.0015,0.0571,-0.0021,5.54,6.57,1.21,true,88.0,
fall_accident_long_003,scooter_braga_016,2026-05-05T13:00:09Z,simulated,telemetry,scooter,fall_accident_long_003,9,,,,,in_transit,false,41.5390114,-8.4402503,15.45,-0.125,-0.555,9.859,-0.0503,-0.0017,0.0143,3.81,2.73,2.20,true,88.0,
