scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
traffic_jam_center_002,scooter_braga_017,2026-05-05T13:12:00Z,simulated,telemetry,scooter,traffic_jam_center_002,0,,,,,in_transit,false,41.5569200,-8.4116515,12.32,-0.368,0.460,10.125,0.0281,-0.0184,0.0288,3.10,7.25,1.02,true,91.8,
traffic_jam_center_002,scooter_braga_017,2026-05-05T13:12:01Z,simulated,telemetry,scooter,traffic_jam_center_002,1,,,,,in_transit,false,41.5568972,-8.4116817,12.84,-0.164,0.128,9.432,-0.0792,-0.0168,0.0454,2.10,4.15,2.64,true,91.8,
traffic_jam_center_002,scooter_braga_017,2026-05-05T13:12:02Z,simulated,telemetry,scooter,traffic_jam_center_002,2,,,,,in_transit,false,41.5568730,-8.4117137,13.64,-0.642,0.415,9.792,0.0113,0.0099,0.0199,4.74,6.73,0.72,true,91.8,
traffic_jam_center_002,scooter_braga_017,2026-05-05T13:12:03Z,simulated,telemetry,scooter,traffic_jam_center_002,3,,,,,in_transit,false,41.5568517,-8.4117420,12.02,0.448,-0.150,9.794,-0.0032,0.0550,0.0272,3.18,5.98,2.02,true,91.8,
traffic_jam_center_002,scooter_braga_017,2026-05-05T13:12:04Z,simulated,telemetry,scooter,traffic_jam_center_002,4,,,,,in_transit,false,41.5568347,-8.4117644,9.55,-0.186,-0.706,9.680,-0.0472,0.0800,0.0036,2.51,2.45,0.70,true,91.8,
traffic_jam_center_002,scooter_braga_017,2026-05-05T13:12:05Z,simulated,telemetry,scooter,traffic_jam_center_002,5,,,,,in_transit,false,41.5568202,-8.4117837,8.20,0.296,-0.168,9.532,0.0088,-0.0409,-0.0094,2.10,7.42,1.72,true,91.7,
traffic_jam_center_002,scooter_braga_017,2026-05-05T13:12:06Z,simulated,telemetry,scooter,traffic_jam_center_002,6,,,,,in_transit,false,41.5567966,-8.4118149,13.29,-0.110,1.606,9.751,-0.0472,-0.0018,0.1067,3.95,4.05,2.64,true,91.7,
traffic_jam_center_002,scooter_braga_017,2026-05-05T13:12:07Z,simulated,telemetry,scooter,traffic_jam_center_002,7,,,,,in_transit,false,41.5567769,-8.4118410,11.11,0.103,-0.714,9.813,0.0073,-0.0057,-0.0112,5.47,4.05,2.52,true,91.7,
traffic_jam_center_002,scooter_braga_017,2026-05-05T13:12:08Z,simulated,telemetry,scooter,traffic_jam_center_002,8,,,,,in_transit,false,41.5567820,-8.4118706,12.78,0.003,0.428,9.762,0.0002,-0.0645,0.0082,3.88,6.94,2.37,true,91.7,
traffic_jam_center_002,scooter_braga_017,2026-05-05T13:12:09Z,simulated,telemetry,scooter,traffic_jam_center_002,9,,,,,in_transit,false,41.5567993,-8.4118923,9.53,0.649,-1.047,9.761,0.0261,-0.0768,0.0361,3.55,2.39,2.79,true,91.7,
