scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:00Z,simulated,telemetry,scooter,traffic_jam_long_003,0,,,,,in_transit,false,41.5574440,-8.3905075,13.42,-0.102,-0.025,9.764,0.0174,0.0325,0.0264,2.29,7.38,1.32,true,98.4,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:01Z,simulated,telemetry,scooter,traffic_jam_long_003,1,,,,,in_transit,false,41.5574356,-8.3904641,13.43,0.077,0.195,9.995,-0.0027,-0.0432,0.0236,2.77,6.41,2.27,true,98.4,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:02Z,simulated,telemetry,scooter,traffic_jam_long_003,2,,,,,in_transit,false,41.5574253,-8.3904112,16.38,0.325,0.742,10.028,0.0203,-0.0431,-0.0754,4.43,8.91,2.42,true,98.4,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:03Z,simulated,telemetry,scooter,traffic_jam_long_003,3,,,,,in_transit,false,41.5574174,-8.3903703,12.65,0.110,-0.983,10.036,-0.0209,0.0132,-0.0620,3.63,2.85,1.77,true,98.4,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:04Z,simulated,telemetry,scooter,traffic_jam_long_003,4,,,,,in_transit,false,41.5574089,-8.3903264,13.58,-0.283,0.287,9.673,-0.0552,-0.0060,-0.0131,4.21,7.73,1.24,true,98.4,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:05Z,simulated,telemetry,scooter,traffic_jam_long_003,5,,,,,in_transit,false,41.5573889,-8.3903047,16.35,0.433,0.721,9.835,-0.0150,-0.0073,0.0143,3.41,2.30,0.71,true,98.4,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:06Z,simulated,telemetry,scooter,traffic_jam_long_003,6,,,,,in_transit,false,41.5573641,-8.3903239,11.44,0.372,-1.455,9.820,0.0087,-0.0256,0.0218,4.66,4.78,1.14,true,98.4,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:07Z,simulated,telemetry,scooter,traffic_jam_long_003,7,,,,,in_transit,false,41.5573437,-8.3903590,13.56,0.724,0.438,9.422,0.0094,0.0037,-0.0029,3.70,3.34,2.53,true,98.4,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:08Z,simulated,telemetry,scooter,traffic_jam_long_003,8,,,,,in_transit,false,41.5573315,-8.3904059,15.31,0.029,0.574,9.882,0.0390,0.0233,0.0438,4.60,3.71,2.36,true,98.3,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:09Z,simulated,telemetry,scooter,traffic_jam_long_003,9,,,,,in_transit,false,41.5573282,-8.3904579,15.65,0.077,0.312,10.106,0.0113,0.0483,0.0685,4.60,6.02,1.85,true,98.3,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:10Z,simulated,telemetry,scooter,traffic_jam_long_003,10,,,,,in_transit,false,41.5573255,-8.3905018,13.20,-0.053,-0.929,9.888,-0.0309,-0.0382,-0.0242,2.07,4.29,2.09,true,98.3,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:11Z,simulated,telemetry,scooter,traffic_jam_long_003,11,,,,,in_transit,false,41.5573222,-8.3905536,15.58,0.122,0.766,9.363,0.0229,-0.0642,-0.0143,3.16,8.53,1.64,true,98.3,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:12Z,simulated,telemetry,scooter,traffic_jam_long_003,12,,,,,in_transit,false,41.5573188,-8.3905842,9.27,-0.412,-1.687,9.522,0.0722,-0.0438,-0.0544,3.26,3.96,1.87,true,98.3,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:13Z,simulated,telemetry,scooter,traffic_jam_long_003,13,,,,,in_transit,false,41.5573127,-8.3906176,10.31,0.348,0.138,9.541,0.0036,0.0862,0.0453,2.51,8.44,2.63,true,98.3,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:14Z,simulated,telemetry,scooter,traffic_jam_long_003,14,,,,,in_transit,false,41.5573035,-8.3906683,15.62,0.020,1.311,9.554,0.0170,-0.0195,-0.0057,5.11,6.96,1.79,true,98.3,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:15Z,simulated,telemetry,scooter,traffic_jam_long_003,15,,,,,in_transit,false,41.5572945,-8.3907177,15.23,0.061,-0.563,9.934,0.0230,0.0307,0.0520,3.73,5.34,1.89,true,98.3,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:16Z,simulated,telemetry,scooter,traffic_jam_long_003,16,,,,,in_transit,false,41.5572862,-8.3907632,14.02,-0.152,-0.187,10.164,0.0051,0.0098,0.0100,4.48,2.67,2.63,true,98.3,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:17Z,simulated,telemetry,scooter,traffic_jam_long_003,17,,,,,in_transit,false,41.5572791,-8.3908020,11.97,-0.051,-0.662,10.157,-0.0624,0.0241,0.0162,2.04,3.12,1.20,true,98.3,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:18Z,simulated,telemetry,scooter,traffic_jam_long_003,18,,,,,in_transit,false,41.5572702,-8.3908468,13.89,-0.860,0.524,9.912,0.0088,0.0641,0.0503,4.97,3.42,2.47,true,98.3,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:19Z,simulated,telemetry,scooter,traffic_jam_long_003,19,,,,,in_transit,false,41.5572624,-8.3908845,11.69,0.261,-0.808,9.826,-0.0162,-0.0091,-0.0030,6.16,9.40,1.58,true,98.3,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:20Z,simulated,telemetry,scooter,traffic_jam_long_003,20,,,,,in_transit,false,41.5572527,-8.3909316,14.66,0.192,0.733,9.678,-0.0390,-0.0023,-0.0153,4.70,9.04,1.82,true,98.3,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:21Z,simulated,telemetry,scooter,traffic_jam_long_003,21,,,,,in_transit,false,41.5572430,-8.3909785,14.55,0.571,-0.353,10.040,-0.0207,0.0571,-0.0010,6.00,4.35,2.05,true,98.3,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:22Z,simulated,telemetry,scooter,traffic_jam_long_003,22,,,,,in_transit,false,41.5572355,-8.3910151,11.39,-0.091,-0.552,9.922,-0.0479,-0.0181,0.1005,2.05,8.02,2.79,true,98.3,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:23Z,simulated,telemetry,scooter,traffic_jam_long_003,23,,,,,in_transit,false,41.5572252,-8.3910649,15.46,-0.140,1.404,9.985,-0.0526,-0.0150,-0.0140,5.79,2.22,2.70,true,98.2,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:24Z,simulated,telemetry,scooter,traffic_jam_long_003,24,,,,,in_transit,false,41.5572155,-8.3911118,14.56,0.247,-0.409,9.631,-0.0448,0.0288,-0.0423,2.80,2.38,0.85,true,98.2,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:25Z,simulated,telemetry,scooter,traffic_jam_long_003,25,,,,,in_transit,false,41.5572082,-8.3911472,11.02,-0.218,-1.108,9.381,0.0395,-0.0400,0.0423,4.31,8.25,2.73,true,98.2,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:26Z,simulated,telemetry,scooter,traffic_jam_long_003,26,,,,,in_transit,false,41.5571993,-8.3911887,12.93,0.685,0.665,9.929,-0.0376,-0.0167,0.0441,4.24,4.16,2.70,true,98.2,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:27Z,simulated,telemetry,scooter,traffic_jam_long_003,27,,,,,in_transit,false,41.5571885,-8.3912302,13.16,-0.506,-0.070,10.328,-0.0385,-0.0583,0.0040,4.81,3.22,2.13,true,98.2,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:28Z,simulated,telemetry,scooter,traffic_jam_long_003,28,,,,,in_transit,false,41.5571723,-8.3912801,16.31,-0.038,0.907,9.927,-0.0279,-0.0180,-0.0131,6.17,8.05,0.83,true,98.2,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:29Z,simulated,telemetry,scooter,traffic_jam_long_003,29,,,,,in_transit,false,41.5571605,-8.3913098,10.08,0.181,-1.656,10.298,0.0320,-0.0636,0.0195,2.78,4.47,1.74,true,98.2,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:30Z,simulated,telemetry,scooter,traffic_jam_long_003,30,,,,,in_transit,false,41.5571438,-8.3913468,12.95,0.483,0.983,10.222,-0.0321,-0.0126,-0.0113,4.37,4.78,0.93,true,98.2,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:31Z,simulated,telemetry,scooter,traffic_jam_long_003,31,,,,,in_transit,false,41.5571282,-8.3913797,11.67,-0.107,-0.279,9.594,0.0561,-0.0194,0.1060,5.74,8.67,1.56,true,98.2,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:32Z,simulated,telemetry,scooter,traffic_jam_long_003,32,,,,,in_transit,false,41.5571099,-8.3914179,13.58,-0.086,0.609,9.917,0.0100,0.0018,0.0350,4.51,6.90,1.98,true,98.2,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:33Z,simulated,telemetry,scooter,traffic_jam_long_003,33,,,,,in_transit,false,41.5570907,-8.3914579,14.25,-0.087,0.256,9.822,-0.0218,0.0237,-0.1042,3.46,9.08,1.32,true,98.2,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:34Z,simulated,telemetry,scooter,traffic_jam_long_003,34,,,,,in_transit,false,41.5570708,-8.3914969,14.14,-0.148,-0.135,9.687,0.0115,0.0168,-0.0654,4.22,7.67,1.69,true,98.2,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:35Z,simulated,telemetry,scooter,traffic_jam_long_003,35,,,,,in_transit,false,41.5570519,-8.3915339,13.43,-0.093,-0.179,9.905,-0.0185,-0.0324,-0.0045,5.52,4.95,2.65,true,98.2,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:36Z,simulated,telemetry,scooter,traffic_jam_long_003,36,,,,,in_transit,false,41.5570316,-8.3915733,14.32,0.415,-0.080,10.156,0.0329,0.0063,0.0594,5.20,2.78,2.18,true,98.2,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:37Z,simulated,telemetry,scooter,traffic_jam_long_003,37,,,,,in_transit,false,41.5570123,-8.3916111,13.71,0.216,-0.062,9.876,-0.0529,0.0090,-0.0550,3.81,9.06,2.42,true,98.1,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:38Z,simulated,telemetry,scooter,traffic_jam_long_003,38,,,,,in_transit,false,41.5569920,-8.3916506,14.34,-0.024,0.569,9.894,0.0044,0.0723,0.0843,4.65,3.00,2.53,true,98.1,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:39Z,simulated,telemetry,scooter,traffic_jam_long_003,39,,,,,in_transit,false,41.5569718,-8.3916901,14.34,-0.509,0.147,9.947,0.0239,-0.0460,-0.0187,5.91,8.98,1.20,true,98.1,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:40Z,simulated,telemetry,scooter,traffic_jam_long_003,40,,,,,in_transit,false,41.5569551,-8.3917226,11.82,0.300,-0.491,9.788,0.0307,0.0358,0.0287,6.07,4.44,1.72,true,98.1,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:41Z,simulated,telemetry,scooter,traffic_jam_long_003,41,,,,,in_transit,false,41.5569369,-8.3917581,12.88,0.422,0.348,9.692,-0.0117,0.0055,0.0479,2.31,2.77,1.23,true,98.1,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:42Z,simulated,telemetry,scooter,traffic_jam_long_003,42,,,,,in_transit,false,41.5569164,-8.3917958,13.97,0.720,0.295,9.872,0.0245,-0.0010,0.0656,5.11,3.24,2.80,true,98.1,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:43Z,simulated,telemetry,scooter,traffic_jam_long_003,43,,,,,in_transit,false,41.5568951,-8.3918333,14.11,0.467,0.230,9.575,0.0210,0.0889,0.1119,3.27,7.72,2.51,true,98.1,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:44Z,simulated,telemetry,scooter,traffic_jam_long_003,44,,,,,in_transit,false,41.5568723,-8.3918688,13.99,0.153,-0.006,9.741,-0.0382,-0.0054,-0.0271,4.85,2.43,2.30,true,98.1,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:45Z,simulated,telemetry,scooter,traffic_jam_long_003,45,,,,,in_transit,false,41.5568525,-8.3918983,11.90,-0.061,-0.536,10.195,-0.0098,0.0676,-0.0458,5.62,8.20,2.12,true,98.1,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:46Z,simulated,telemetry,scooter,traffic_jam_long_003,46,,,,,in_transit,false,41.5568281,-8.3919295,13.52,0.118,0.717,10.011,0.0584,0.0498,-0.0492,4.44,4.05,1.00,true,98.1,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:47Z,simulated,telemetry,scooter,traffic_jam_long_003,47,,,,,in_transit,false,41.5568032,-8.3919603,13.59,0.003,-0.017,9.716,-0.0789,-0.0104,-0.0787,4.08,7.76,1.23,true,98.1,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:48Z,simulated,telemetry,scooter,traffic_jam_long_003,48,,,,,in_transit,false,41.5567836,-8.3919923,12.40,0.365,-0.127,10.057,0.0012,0.0447,-0.0295,3.85,4.57,0.86,true,98.1,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:49Z,simulated,telemetry,scooter,traffic_jam_long_003,49,,,,,in_transit,false,41.5567679,-8.3920206,10.58,0.534,-0.335,9.998,0.0055,0.0009,0.0142,3.83,5.73,1.55,true,98.1,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:50Z,simulated,telemetry,scooter,traffic_jam_long_003,50,,,,,in_transit,false,41.5567491,-8.3920585,13.61,-0.134,0.892,9.794,-0.0182,0.0277,-0.0409,5.95,6.00,2.43,true,98.0,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:51Z,simulated,telemetry,scooter,traffic_jam_long_003,51,,,,,in_transit,false,41.5567326,-8.3921009,14.31,0.011,0.469,9.568,-0.0178,-0.0621,0.0030,6.04,7.57,1.41,true,98.0,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:52Z,simulated,telemetry,scooter,traffic_jam_long_003,52,,,,,in_transit,false,41.5567145,-8.3921491,16.16,-0.806,0.467,10.068,-0.0223,0.0530,0.1111,4.94,8.19,0.99,true,98.0,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:53Z,simulated,telemetry,scooter,traffic_jam_long_003,53,,,,,in_transit,false,41.5566986,-8.3921913,14.16,-0.291,-0.682,9.680,0.0094,0.0736,0.0883,4.38,9.08,0.73,true,98.0,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:54Z,simulated,telemetry,scooter,traffic_jam_long_003,54,,,,,in_transit,false,41.5566836,-8.3922310,13.33,-0.066,-0.421,10.183,0.0345,-0.0443,-0.0177,2.28,5.88,1.83,true,98.0,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:55Z,simulated,telemetry,scooter,traffic_jam_long_003,55,,,,,in_transit,false,41.5566692,-8.3922692,12.79,-0.632,-0.158,9.939,-0.0122,-0.0363,0.1128,4.35,6.64,2.32,true,98.0,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:56Z,simulated,telemetry,scooter,traffic_jam_long_003,56,,,,,in_transit,false,41.5566539,-8.3923099,13.66,-0.038,-0.019,10.095,-0.0219,0.0366,-0.0397,2.56,3.33,1.68,true,98.0,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:57Z,simulated,telemetry,scooter,traffic_jam_long_003,57,,,,,in_transit,false,41.5566374,-8.3923536,14.64,-0.083,0.491,9.726,-0.0272,-0.0115,-0.0166,4.76,6.06,1.14,true,98.0,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:58Z,simulated,telemetry,scooter,traffic_jam_long_003,58,,,,,in_transit,false,41.5566203,-8.3923990,15.24,0.033,0.065,9.718,0.0179,-0.0421,-0.0704,3.73,7.50,2.24,true,98.0,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:24:59Z,simulated,telemetry,scooter,traffic_jam_long_003,59,,,,,in_transit,false,41.5566081,-8.3924313,10.83,0.721,-1.534,9.722,0.0023,-0.0402,-0.0495,4.11,3.91,2.00,true,98.0,
traffic_jam_long_003,scooter_braga_018,2026-05-05T13:25:00Z,simulated,telemetry,scooter,traffic_jam_long_003,60,,,,,in_transit,false,41.5565921,-8.3924726,13.94,-0.335,0.899,9.786,-0.0274,-0.0253,-0.0550,2.21,3.78,2.67,true,98.0,
