scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
mixed_brake_jam_003,scooter_braga_020,2026-05-05T13:48:00Z,simulated,telemetry,scooter,mixed_brake_jam_003,0,,,,,in_transit,false,41.5566190,-8.4173277,13.03,-0.667,-0.747,10.123,-0.0259,-0.0261,-0.0267,5.72,6.85,0.77,true,95.2,
mixed_brake_jam_003,scooter_braga_020,2026-05-05T13:48:01Z,simulated,telemetry,scooter,mixed_brake_jam_003,1,,,,,in_transit,false,41.5566602,-8.4173360,16.68,0.406,0.817,9.723,-0.0245,0.0212,0.0241,5.80,6.02,0.89,true,95.2,
mixed_brake_jam_003,scooter_braga_020,2026-05-05T13:48:02Z,simulated,telemetry,scooter,mixed_brake_jam_003,2,,,,,in_transit,false,41.5566938,-8.4173429,13.64,-0.565,-0.501,10.119,0.0002,-0.0350,-0.0201,5.10,2.25,2.72,true,95.2,
mixed_brake_jam_003,scooter_braga_020,2026-05-05T13:48:03Z,simulated,telemetry,scooter,mixed_brake_jam_003,3,,,,,in_transit,false,41.5567303,-8.4173503,14.78,-0.184,0.382,10.093,0.0676,-0.0131,-0.0485,5.77,9.00,2.60,true,95.2,
mixed_brake_jam_003,scooter_braga_020,2026-05-05T13:48:04Z,simulated,telemetry,scooter,mixed_brake_jam_003,4,,,,,in_transit,false,41.5567689,-8.4173582,15.60,-0.118,-0.041,9.668,0.0200,0.0389,-0.0554,3.47,7.62,0.90,true,95.2,
mixed_brake_jam_003,scooter_braga_020,2026-05-05T13:48:05Z,simulated,telemetry,scooter,mixed_brake_jam_003,5,,,,,in_transit,false,41.5568018,-8.4173649,13.35,0.011,-0.942,9.857,-0.0179,0.0344,-0.0394,4.27,5.15,1.38,true,95.2,
mixed_brake_jam_003,scooter_braga_020,2026-05-05T13:48:06Z,simulated,telemetry,scooter,mixed_brake_jam_003,6,,,,,in_transit,false,41.5568433,-8.4173734,16.80,-0.627,0.735,9.745,0.0906,-0.0450,0.0439,6.40,6.02,1.72,true,95.2,
mixed_brake_jam_003,scooter_braga_020,2026-05-05T13:48:07Z,simulated,telemetry,scooter,mixed_brake_jam_003,7,,,,,in_transit,false,41.5568815,-8.4173811,15.47,0.615,-0.267,9.831,-0.0325,0.0628,0.0049,3.75,7.33,1.00,true,95.2,
mixed_brake_jam_003,scooter_braga_020,2026-05-05T13:48:08Z,simulated,telemetry,scooter,mixed_brake_jam_003,8,,,,,in_transit,false,41.5569206,-8.4173891,15.83,0.151,0.140,10.013,0.0277,0.0437,0.0141,2.22,5.80,1.72,true,95.2,
mixed_brake_jam_003,scooter_braga_020,2026-05-05T13:48:09Z,simulated,telemetry,scooter,mixed_brake_jam_003,9,,,,,in_transit,false,41.5569579,-8.4173967,15.09,0.643,-0.411,9.682,-0.0529,0.0541,0.0056,2.60,5.91,1.35,true,95.2,
