scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:00Z,simulated,telemetry,scooter,scooter_hard_brake_025,0,,,,,in_transit,false,41.5614620,-8.4087962,18.09,0.060,0.543,9.966,-0.0383,-0.0037,0.0133,3.55,8.30,1.05,true,91.4,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:01Z,simulated,telemetry,scooter,scooter_hard_brake_025,1,,,,,in_transit,false,41.5614671,-8.4087368,17.92,0.013,0.148,9.912,-0.0724,0.0004,0.1040,2.86,4.17,2.18,true,91.4,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:02Z,simulated,telemetry,scooter,scooter_hard_brake_025,2,,,,,in_transit,false,41.5614730,-8.4086693,20.33,0.493,0.262,10.279,0.0086,-0.0186,0.0378,6.09,2.47,1.48,true,91.4,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:03Z,simulated,telemetry,scooter,scooter_hard_brake_025,3,,,,,in_transit,false,41.5614793,-8.4085962,22.07,0.186,0.739,9.931,0.0158,-0.0188,-0.0437,4.43,6.79,1.98,true,91.4,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:04Z,simulated,telemetry,scooter,scooter_hard_brake_025,4,,,,,in_transit,false,41.5614843,-8.4085387,17.32,0.403,-1.351,9.743,-0.0005,0.0151,-0.0095,5.22,8.64,1.17,true,91.4,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:05Z,simulated,telemetry,scooter,scooter_hard_brake_025,5,,,,,in_transit,false,41.5614890,-8.4084834,16.67,0.165,-0.088,9.789,0.0059,-0.0026,0.0152,5.50,2.50,2.04,true,91.4,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:06Z,simulated,telemetry,scooter,scooter_hard_brake_025,6,,,,,in_transit,false,41.5614934,-8.4084193,19.31,0.195,0.782,9.810,0.0105,0.0160,-0.0768,3.79,3.30,1.77,true,91.4,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:07Z,simulated,telemetry,scooter,scooter_hard_brake_025,7,,,,,in_transit,false,41.5614959,-8.4083611,17.43,0.157,-0.669,9.783,-0.0225,0.0536,0.0165,5.86,8.17,1.11,true,91.3,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:08Z,simulated,telemetry,scooter,scooter_hard_brake_025,8,,,,,in_transit,false,41.5614600,-8.4083424,19.10,0.002,0.328,9.878,-0.0062,-0.0535,-0.0897,4.58,3.14,2.05,true,91.3,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:09Z,simulated,telemetry,scooter,scooter_hard_brake_025,9,,,,,in_transit,false,41.5614204,-8.4083380,15.87,-0.008,-0.752,10.500,0.0068,-0.0240,-0.0336,6.25,7.03,1.85,true,91.3,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:10Z,simulated,telemetry,scooter,scooter_hard_brake_025,10,,,,,in_transit,false,41.5613701,-8.4083324,20.21,0.338,1.051,9.670,0.1028,-0.0004,-0.0655,3.94,4.39,1.94,true,91.3,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:11Z,simulated,telemetry,scooter,scooter_hard_brake_025,11,,,,,in_transit,false,41.5613297,-8.4083279,16.24,-0.373,-1.126,9.895,-0.0099,0.0155,-0.0330,6.31,8.73,1.28,true,91.3,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:12Z,simulated,telemetry,scooter,scooter_hard_brake_025,12,,,,,in_transit,false,41.5612695,-8.4083213,24.17,0.379,1.995,9.701,0.0730,-0.0031,0.0056,4.60,4.29,0.75,true,91.3,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:13Z,simulated,telemetry,scooter,scooter_hard_brake_025,13,,,,,in_transit,false,41.5612251,-8.4083164,17.82,-0.672,-1.581,9.697,0.0167,-0.0175,0.0239,3.88,8.44,1.80,true,91.3,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:14Z,simulated,telemetry,scooter,scooter_hard_brake_025,14,,,,,in_transit,false,41.5611751,-8.4083108,20.11,-0.635,0.866,9.902,0.0413,-0.0178,-0.0413,4.46,3.49,0.79,true,91.3,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:15Z,simulated,telemetry,scooter,scooter_hard_brake_025,15,,,,,in_transit,false,41.5611284,-8.4083057,18.74,-0.042,-0.503,9.515,0.0258,-0.0104,-0.0368,2.93,7.91,0.85,true,91.3,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:16Z,simulated,telemetry,scooter,scooter_hard_brake_025,16,,,,,in_transit,false,41.5610889,-8.4083013,15.89,1.027,-1.024,9.478,0.0549,-0.0376,-0.0265,4.98,3.43,1.81,true,91.3,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:17Z,simulated,telemetry,scooter,scooter_hard_brake_025,17,,,,,in_transit,false,41.5610407,-8.4082960,19.35,-0.295,0.839,9.742,0.0135,0.0122,0.0441,4.87,7.42,2.68,true,91.3,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:18Z,simulated,telemetry,scooter,scooter_hard_brake_025,18,,,,,in_transit,false,41.5609880,-8.4082901,21.16,0.548,0.271,9.851,0.0439,-0.0317,0.0146,3.23,5.60,2.53,true,91.3,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:19Z,simulated,telemetry,scooter,scooter_hard_brake_025,19,,,,,in_transit,false,41.5609401,-8.4082845,19.23,-0.781,-0.716,9.861,-0.0090,0.0157,-0.0717,2.12,5.16,1.46,true,91.3,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:20Z,simulated,telemetry,scooter,scooter_hard_brake_025,20,,,,,in_transit,false,41.5608992,-8.4082788,16.48,0.467,-0.593,10.019,0.0353,-0.0068,0.0221,3.29,6.59,2.59,true,91.3,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:21Z,simulated,telemetry,scooter,scooter_hard_brake_025,21,,,,,in_transit,false,41.5608558,-8.4082728,17.47,-0.208,0.299,9.830,-0.0420,-0.0002,0.0968,4.10,7.68,1.98,true,91.3,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:22Z,simulated,telemetry,scooter,scooter_hard_brake_025,22,,,,,in_transit,false,41.5608090,-8.4082667,18.80,0.445,0.281,10.036,-0.0610,-0.0380,-0.0549,5.84,4.60,0.76,true,91.2,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:23Z,simulated,telemetry,scooter,scooter_hard_brake_025,23,,,,,in_transit,false,41.5607766,-8.4082625,13.07,0.277,-1.599,9.644,-0.0156,0.0058,-0.0102,3.93,7.93,0.77,true,91.2,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:24Z,simulated,telemetry,scooter,scooter_hard_brake_025,24,,,,,in_transit,false,41.5607273,-8.4082560,19.82,0.278,1.681,10.092,0.0009,-0.0184,-0.0246,3.49,6.86,0.96,true,91.2,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:25Z,simulated,telemetry,scooter,scooter_hard_brake_025,25,,,,,in_transit,false,41.5606775,-8.4082495,20.04,0.005,0.382,9.919,-0.0652,-0.0076,-0.0084,5.61,5.96,2.17,true,91.2,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:26Z,simulated,telemetry,scooter,scooter_hard_brake_025,26,,,,,in_transit,false,41.5606297,-8.4082433,19.19,0.176,-0.384,9.950,-0.0396,0.0397,-0.0375,6.04,5.85,2.00,true,91.2,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:27Z,simulated,telemetry,scooter,scooter_hard_brake_025,27,,,,,in_transit,false,41.5605825,-8.4082371,19.02,0.195,0.110,9.676,0.0566,0.0101,0.0434,6.40,9.24,1.00,true,91.2,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:28Z,simulated,telemetry,scooter,scooter_hard_brake_025,28,,,,,in_transit,false,41.5605443,-8.4082321,15.36,0.031,-1.157,9.495,-0.0375,0.0106,0.0446,3.59,2.26,2.14,true,91.2,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:29Z,simulated,telemetry,scooter,scooter_hard_brake_025,29,,,,,in_transit,false,41.5605004,-8.4082264,17.63,-0.566,0.634,9.939,0.0494,0.0167,0.0205,3.91,7.84,2.33,true,91.2,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:30Z,simulated,telemetry,scooter,scooter_hard_brake_025,30,,,,,in_transit,false,41.5604535,-8.4082210,18.85,-0.105,0.769,9.496,-0.0079,-0.0087,-0.0857,5.49,2.67,0.81,true,91.2,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:31Z,simulated,telemetry,scooter,scooter_hard_brake_025,31,,,,,in_transit,false,41.5604120,-8.4082165,16.68,-0.226,-0.758,9.843,0.0208,-0.0077,-0.0706,4.42,7.71,2.70,true,91.2,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:32Z,simulated,telemetry,scooter,scooter_hard_brake_025,32,,,,,in_transit,false,41.5603688,-8.4082118,17.36,0.424,0.134,9.621,-0.0065,0.0057,0.0180,4.45,6.97,2.52,true,91.2,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:33Z,simulated,telemetry,scooter,scooter_hard_brake_025,33,,,,,in_transit,false,41.5603290,-8.4082074,15.99,-0.113,-0.097,9.679,0.0121,-0.0067,0.0575,2.35,6.41,2.45,true,91.2,
scooter_hard_brake_025,scooter_braga_025,2026-05-05T16:24:34Z,simulated,telemetry,scooter,scooter_hard_brake_025,34,,,,,in_transit,false,41.5602873,-8.4082029,16.73,-0.298,0.321,9.950,0.0558,-0.0167,0.0485,2.57,6.05,1.52,true,91.2,
