scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
scooter_traffic_jam_029,scooter_braga_029,2026-05-05T17:12:00Z,simulated,telemetry,scooter,scooter_traffic_jam_029,0,,,,,in_transit,false,41.5654371,-8.4473088,12.04,-0.093,0.156,10.026,-0.0078,0.0140,-0.0291,2.44,8.90,1.93,true,91.8,
scooter_traffic_jam_029,scooter_braga_029,2026-05-05T17:12:01Z,simulated,telemetry,scooter,scooter_traffic_jam_029,1,,,,,in_transit,false,41.5654410,-8.4472706,11.61,0.210,0.095,9.697,-0.0642,0.0064,-0.0276,4.50,9.21,2.20,true,91.8,
scooter_traffic_jam_029,scooter_braga_029,2026-05-05T17:12:02Z,simulated,telemetry,scooter,scooter_traffic_jam_029,2,,,,,in_transit,false,41.5654530,-8.4472327,12.32,0.565,0.229,9.849,-0.0058,-0.0254,0.0036,3.22,9.48,0.83,true,91.8,
scooter_traffic_jam_029,scooter_braga_029,2026-05-05T17:12:03Z,simulated,telemetry,scooter,scooter_traffic_jam_029,3,,,,,in_transit,false,41.5654708,-8.4471927,14.11,0.641,0.732,9.983,0.0546,-0.0220,-0.0174,5.49,2.57,1.75,true,91.8,
scooter_traffic_jam_029,scooter_braga_029,2026-05-05T17:12:04Z,simulated,telemetry,scooter,scooter_traffic_jam_029,4,,,,,in_transit,false,41.5654887,-8.4471649,10.99,0.284,-0.874,9.972,-0.0129,-0.0084,0.1001,6.42,8.06,2.76,true,91.8,
scooter_traffic_jam_029,scooter_braga_029,2026-05-05T17:12:05Z,simulated,telemetry,scooter,scooter_traffic_jam_029,5,,,,,in_transit,false,41.5655020,-8.4471319,11.41,0.493,0.311,9.994,-0.0040,-0.0218,0.0299,3.48,5.58,1.71,true,91.8,
scooter_traffic_jam_029,scooter_braga_029,2026-05-05T17:12:06Z,simulated,telemetry,scooter,scooter_traffic_jam_029,6,,,,,in_transit,false,41.5655122,-8.4470937,12.14,0.010,0.005,9.921,0.0679,-0.0373,0.0523,6.22,2.55,1.80,true,91.8,
scooter_traffic_jam_029,scooter_braga_029,2026-05-05T17:12:07Z,simulated,telemetry,scooter,scooter_traffic_jam_029,7,,,,,in_transit,false,41.5655213,-8.4470598,10.79,0.382,-0.209,9.705,0.0219,-0.0234,-0.0519,5.44,7.61,2.17,true,91.8,
scooter_traffic_jam_029,scooter_braga_029,2026-05-05T17:12:08Z,simulated,telemetry,scooter,scooter_traffic_jam_029,8,,,,,in_transit,false,41.5655294,-8.4470293,9.70,0.415,-0.168,10.004,-0.0038,-0.0583,0.0202,5.21,8.58,2.26,true,91.8,
scooter_traffic_jam_029,scooter_braga_029,2026-05-05T17:12:09Z,simulated,telemetry,scooter,scooter_traffic_jam_029,9,,,,,in_transit,false,41.5655312,-8.4469990,9.24,0.045,-0.006,9.962,0.0286,-0.0188,-0.0475,6.12,8.06,2.51,true,91.8,
scooter_traffic_jam_029,scooter_braga_029,2026-05-05T17:12:10Z,simulated,telemetry,scooter,scooter_traffic_jam_029,10,,,,,in_transit,false,41.5655305,-8.4469559,12.89,-0.099,1.176,10.003,0.0514,-0.0302,-0.0567,6.46,9.43,2.14,true,91.8,
scooter_traffic_jam_029,scooter_braga_029,2026-05-05T17:12:11Z,simulated,telemetry,scooter,scooter_traffic_jam_029,11,,,,,in_transit,false,41.5655299,-8.4469234,9.76,0.152,-0.789,9.667,0.0123,0.0035,0.0192,3.42,9.30,1.27,true,91.8,
scooter_traffic_jam_029,scooter_braga_029,2026-05-05T17:12:12Z,simulated,telemetry,scooter,scooter_traffic_jam_029,12,,,,,in_transit,false,41.5655291,-8.4468751,14.47,0.226,1.453,9.885,-0.0231,-0.0563,-0.0434,5.98,6.72,2.33,true,91.7,
