scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
scooter_traffic_jam_long_030,scooter_braga_030,2026-05-05T17:24:00Z,simulated,telemetry,scooter,scooter_traffic_jam_long_030,0,,,,,in_transit,false,41.5449940,-8.4361237,14.81,0.085,0.599,9.651,0.0625,-0.0091,0.0404,3.14,8.30,1.71,true,88.5,
scooter_traffic_jam_long_030,scooter_braga_030,2026-05-05T17:24:01Z,simulated,telemetry,scooter,scooter_traffic_jam_long_030,1,,,,,in_transit,false,41.5449628,-8.4361378,13.16,0.177,-0.223,10.080,-0.0493,-0.0341,0.0564,3.65,6.00,0.99,true,88.5,
scooter_traffic_jam_long_030,scooter_braga_030,2026-05-05T17:24:02Z,simulated,telemetry,scooter,scooter_traffic_jam_long_030,2,,,,,in_transit,false,41.5449316,-8.4361538,13.41,0.213,0.190,9.690,-0.0182,-0.0165,-0.0495,2.72,7.00,1.36,true,88.5,
scooter_traffic_jam_long_030,scooter_braga_030,2026-05-05T17:24:03Z,simulated,telemetry,scooter,scooter_traffic_jam_long_030,3,,,,,in_transit,false,41.5449040,-8.4361683,11.86,0.086,-0.438,10.241,-0.0425,-0.0428,0.0259,2.91,3.18,1.44,true,88.5,
scooter_traffic_jam_long_030,scooter_braga_030,2026-05-05T17:24:04Z,simulated,telemetry,scooter,scooter_traffic_jam_long_030,4,,,,,in_transit,false,41.5448787,-8.4361724,13.04,0.050,0.406,9.948,-0.0058,0.0341,0.0209,5.13,3.27,2.05,true,88.5,
scooter_traffic_jam_long_030,scooter_braga_030,2026-05-05T17:24:05Z,simulated,telemetry,scooter,scooter_traffic_jam_long_030,5,,,,,in_transit,false,41.5448743,-8.4361335,11.77,0.667,-0.073,9.763,0.0302,-0.0121,0.0683,2.63,8.58,2.04,true,88.5,
scooter_traffic_jam_long_030,scooter_braga_030,2026-05-05T17:24:06Z,simulated,telemetry,scooter,scooter_traffic_jam_long_030,6,,,,,in_transit,false,41.5448701,-8.4360958,11.43,-0.152,-0.301,9.216,-0.0610,0.0161,0.1029,5.52,9.19,1.34,true,88.5,
scooter_traffic_jam_long_030,scooter_braga_030,2026-05-05T17:24:07Z,simulated,telemetry,scooter,scooter_traffic_jam_long_030,7,,,,,in_transit,false,41.5448662,-8.4360614,10.43,0.138,-0.076,10.190,0.0475,-0.0011,-0.0137,2.90,3.86,2.16,true,88.5,
scooter_traffic_jam_long_030,scooter_braga_030,2026-05-05T17:24:08Z,simulated,telemetry,scooter,scooter_traffic_jam_long_030,8,,,,,in_transit,false,41.5448610,-8.4360156,13.86,-0.244,0.791,10.018,0.0018,0.0024,-0.0204,5.84,9.35,0.71,true,88.5,
scooter_traffic_jam_long_030,scooter_braga_030,2026-05-05T17:24:09Z,simulated,telemetry,scooter,scooter_traffic_jam_long_030,9,,,,,in_transit,false,41.5448562,-8.4359733,12.81,-0.180,-0.269,9.989,0.0353,0.0244,-0.0162,2.66,6.75,0.78,true,88.5,
