scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
scooter_obstacle_risk_031,scooter_braga_031,2026-05-05T17:36:00Z,simulated,telemetry,scooter,scooter_obstacle_risk_031,0,,,,,in_transit,false,41.5345099,-8.4012096,13.95,-0.001,0.887,10.113,-0.0099,-0.0122,-0.0442,4.44,8.20,1.43,true,97.2,
scooter_obstacle_risk_031,scooter_braga_031,2026-05-05T17:36:01Z,simulated,telemetry,scooter,scooter_obstacle_risk_031,1,,,,,in_transit,false,41.5344865,-8.4012393,12.92,-1.201,-0.079,9.797,0.0015,-0.0148,0.0230,2.69,5.29,2.43,true,97.2,
scooter_obstacle_risk_031,scooter_braga_031,2026-05-05T17:36:02Z,simulated,telemetry,scooter,scooter_obstacle_risk_031,2,,,,,in_transit,false,41.5344590,-8.4012743,15.23,0.258,0.625,9.623,0.0285,-0.0266,-0.0416,2.43,5.75,2.20,true,97.2,
scooter_obstacle_risk_031,scooter_braga_031,2026-05-05T17:36:03Z,simulated,telemetry,scooter,scooter_obstacle_risk_031,3,,,,,in_transit,false,41.5344346,-8.4012938,11.48,-0.222,-1.228,10.163,0.0262,0.0121,-0.0704,5.99,3.85,1.00,true,97.2,
scooter_obstacle_risk_031,scooter_braga_031,2026-05-05T17:36:04Z,simulated,telemetry,scooter,scooter_obstacle_risk_031,4,,,,,in_transit,false,41.5344108,-8.4013090,10.54,-0.587,-0.078,9.778,0.0101,-0.0247,-0.0481,3.43,2.85,1.17,true,97.1,
scooter_obstacle_risk_031,scooter_braga_031,2026-05-05T17:36:05Z,simulated,telemetry,scooter,scooter_obstacle_risk_031,5,,,,,in_transit,false,41.5343824,-8.4013271,12.62,-0.095,0.372,9.714,-0.0365,0.0958,0.0282,6.19,5.55,1.51,true,97.1,
scooter_obstacle_risk_031,scooter_braga_031,2026-05-05T17:36:06Z,simulated,telemetry,scooter,scooter_obstacle_risk_031,6,,,,,in_transit,false,41.5343618,-8.4013403,9.12,-0.817,-1.084,9.875,0.0015,-0.0736,0.0243,3.63,8.79,1.78,true,97.1,
scooter_obstacle_risk_031,scooter_braga_031,2026-05-05T17:36:07Z,simulated,telemetry,scooter,scooter_obstacle_risk_031,7,,,,,in_transit,false,41.5343307,-8.4013560,13.37,0.108,1.260,9.686,-0.0092,0.0249,0.0017,4.11,2.48,2.33,true,97.1,
scooter_obstacle_risk_031,scooter_braga_031,2026-05-05T17:36:08Z,simulated,telemetry,scooter,scooter_obstacle_risk_031,8,,,,,in_transit,false,41.5342959,-8.4013711,14.64,0.130,0.209,9.950,-0.0005,0.0885,-0.0086,5.31,8.64,2.13,true,97.1,
scooter_obstacle_risk_031,scooter_braga_031,2026-05-05T17:36:09Z,simulated,telemetry,scooter,scooter_obstacle_risk_031,9,,,,,in_transit,false,41.5342684,-8.4013831,11.59,0.044,-0.853,9.804,-0.0029,0.0200,-0.0161,6.10,6.21,2.07,true,97.1,
