scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:00Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,0,,,,,in_transit,false,41.5565611,-8.4093051,12.60,0.211,-0.519,9.932,-0.0678,0.0455,-0.0416,2.58,7.22,0.95,true,98.5,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:01Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,1,,,,,in_transit,false,41.5565433,-8.4092798,14.10,-0.269,-0.005,9.665,0.0247,-0.0393,0.0108,6.43,7.31,1.06,true,98.5,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:02Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,2,,,,,in_transit,false,41.5565406,-8.4092317,14.46,-0.308,0.245,9.305,0.0505,-0.0006,-0.0910,2.30,4.44,1.08,true,98.5,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:03Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,3,,,,,in_transit,false,41.5565377,-8.4091794,15.72,0.010,0.136,9.730,-0.0137,-0.0095,-0.0471,5.45,5.29,0.83,true,98.5,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:04Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,4,,,,,in_transit,false,41.5565350,-8.4091316,14.34,0.171,-0.519,9.762,-0.0204,-0.0005,-0.0121,6.29,9.35,1.46,true,98.5,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:05Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,5,,,,,in_transit,false,41.5565325,-8.4090854,13.88,-0.474,0.021,9.854,-0.0065,-0.0121,-0.0651,3.44,6.31,0.86,true,98.5,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:06Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,6,,,,,in_transit,false,41.5565301,-8.4090436,12.57,0.334,-0.203,9.285,0.0091,-0.0074,0.0167,3.76,6.14,2.69,true,98.5,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:07Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,7,,,,,in_transit,false,41.5565272,-8.4089918,15.54,-0.045,0.799,9.737,-0.0004,0.0127,-0.0350,4.56,9.01,0.85,true,98.5,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:08Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,8,,,,,in_transit,false,41.5565242,-8.4089489,12.91,0.601,-0.943,9.173,-0.0228,0.0006,-0.0950,2.24,5.28,1.94,true,98.5,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:09Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,9,,,,,in_transit,false,41.5565215,-8.4089106,11.51,-0.755,-0.361,9.648,0.0375,-0.0423,-0.0230,4.16,6.36,2.26,true,98.5,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:10Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,10,,,,,in_transit,false,41.5565186,-8.4088698,12.28,0.119,0.306,9.888,0.0098,0.0395,0.0115,2.49,4.30,1.38,true,98.4,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:11Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,11,,,,,in_transit,false,41.5565130,-8.4088205,14.95,0.109,0.836,9.792,-0.0071,-0.0375,-0.0932,2.30,6.31,1.92,true,98.4,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:12Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,12,,,,,in_transit,false,41.5565077,-8.4087752,13.75,0.135,-0.565,10.001,0.0027,0.0262,0.0247,6.19,3.52,1.98,true,98.4,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:13Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,13,,,,,in_transit,false,41.5565029,-8.4087349,12.20,-0.518,-0.713,9.648,0.0088,-0.0507,0.0183,3.61,8.15,1.89,true,98.4,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:14Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,14,,,,,in_transit,false,41.5564981,-8.4086935,12.57,0.190,0.272,9.639,-0.0188,-0.0273,-0.1066,5.79,9.45,1.89,true,98.4,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:15Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,15,,,,,in_transit,false,41.5564923,-8.4086427,15.40,0.347,0.761,9.269,-0.0182,0.0205,-0.0618,5.70,4.45,1.93,true,98.4,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:16Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,16,,,,,in_transit,false,41.5564871,-8.4085970,13.82,0.644,-0.492,9.728,0.0075,-0.0223,-0.1178,6.35,6.02,2.77,true,98.4,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:17Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,17,,,,,in_transit,false,41.5564819,-8.4085515,13.80,0.261,-0.225,9.762,0.0405,0.0038,0.0230,4.64,4.40,1.53,true,98.4,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:18Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,18,,,,,in_transit,false,41.5564762,-8.4085010,15.30,-0.107,0.366,9.891,0.0195,0.0389,-0.1472,5.00,2.59,2.38,true,98.4,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:19Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,19,,,,,in_transit,false,41.5564703,-8.4084487,15.84,-0.130,0.011,10.079,-0.0358,0.0395,0.0516,3.78,2.33,1.37,true,98.4,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:20Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,20,,,,,in_transit,false,41.5564653,-8.4084049,13.27,-0.660,-0.705,10.278,0.0650,0.0036,0.0289,2.12,7.95,2.43,true,98.4,
scooter_mixed_brake_jam_032,scooter_braga_032,2026-05-05T17:48:21Z,simulated,telemetry,scooter,scooter_mixed_brake_jam_032,21,,,,,in_transit,false,41.5564608,-8.4083649,12.10,-0.802,-0.338,9.595,0.0521,0.0176,0.1019,5.86,8.00,2.22,true,98.4,
