scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:00Z,simulated,telemetry,scooter,scooter_normal_long_035,0,,,,,in_transit,false,41.5406853,-8.4256760,16.98,-0.284,0.585,9.912,-0.0211,-0.0483,-0.0152,5.00,4.40,2.10,true,92.4,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:01Z,simulated,telemetry,scooter,scooter_normal_long_035,1,,,,,in_transit,false,41.5407325,-8.4256747,18.90,0.384,0.413,9.635,0.0266,0.0093,0.1487,3.88,4.81,2.68,true,92.4,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:02Z,simulated,telemetry,scooter,scooter_normal_long_035,2,,,,,in_transit,false,41.5407775,-8.4256735,18.02,-0.167,-0.384,9.777,-0.0511,0.0145,0.0146,5.01,8.52,1.41,true,92.4,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:03Z,simulated,telemetry,scooter,scooter_normal_long_035,3,,,,,in_transit,false,41.5408178,-8.4256724,16.14,-0.162,-0.379,9.878,-0.0114,-0.0040,0.0432,3.07,8.54,1.52,true,92.4,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:04Z,simulated,telemetry,scooter,scooter_normal_long_035,4,,,,,in_transit,false,41.5408219,-8.4256891,16.41,-0.342,-0.128,9.858,0.0187,0.0203,0.0683,4.99,7.64,1.92,true,92.4,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:05Z,simulated,telemetry,scooter,scooter_normal_long_035,5,,,,,in_transit,false,41.5408298,-8.4257465,18.34,0.144,0.540,9.620,-0.0029,-0.0073,-0.0081,2.69,4.32,2.57,true,92.4,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:06Z,simulated,telemetry,scooter,scooter_normal_long_035,6,,,,,in_transit,false,41.5408462,-8.4257943,15.76,0.064,-0.363,10.119,0.0326,-0.0174,-0.0248,2.09,8.30,2.35,true,92.4,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:07Z,simulated,telemetry,scooter,scooter_normal_long_035,7,,,,,in_transit,false,41.5408631,-8.4258443,16.44,-0.597,0.028,9.661,-0.0265,0.0334,0.0591,2.50,8.62,1.84,true,92.4,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:08Z,simulated,telemetry,scooter,scooter_normal_long_035,8,,,,,in_transit,false,41.5408804,-8.4258954,16.78,-0.189,-0.042,9.721,0.0244,-0.0036,0.0809,5.36,3.02,2.48,true,92.4,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:09Z,simulated,telemetry,scooter,scooter_normal_long_035,9,,,,,in_transit,false,41.5408971,-8.4259478,17.06,0.391,-0.170,9.759,-0.0044,0.0636,-0.1086,3.44,4.84,1.05,true,92.4,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:10Z,simulated,telemetry,scooter,scooter_normal_long_035,10,,,,,in_transit,false,41.5409142,-8.4260020,17.65,-0.074,-0.022,9.548,-0.0567,-0.0005,-0.0354,4.31,4.56,2.38,true,92.4,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:11Z,simulated,telemetry,scooter,scooter_normal_long_035,11,,,,,in_transit,false,41.5409324,-8.4260474,15.49,-0.856,-0.676,10.066,-0.0325,0.0626,-0.0373,4.04,5.54,2.44,true,92.4,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:12Z,simulated,telemetry,scooter,scooter_normal_long_035,12,,,,,in_transit,false,41.5409563,-8.4260919,16.48,0.208,0.398,9.720,0.0008,-0.0219,0.0725,5.20,8.80,1.97,true,92.4,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:13Z,simulated,telemetry,scooter,scooter_normal_long_035,13,,,,,in_transit,false,41.5409854,-8.4261187,14.16,0.133,-0.169,9.832,-0.0560,0.0172,0.0051,2.30,6.70,1.19,true,92.4,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:14Z,simulated,telemetry,scooter,scooter_normal_long_035,14,,,,,in_transit,false,41.5409827,-8.4261721,18.44,0.444,1.304,10.170,0.0365,-0.0174,-0.0368,3.56,4.41,1.46,true,92.4,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:15Z,simulated,telemetry,scooter,scooter_normal_long_035,15,,,,,in_transit,false,41.5409713,-8.4262190,14.79,0.201,-1.086,9.762,0.0354,0.0002,0.0030,5.82,2.26,2.03,true,92.4,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:16Z,simulated,telemetry,scooter,scooter_normal_long_035,16,,,,,in_transit,false,41.5409581,-8.4262736,17.17,-0.640,0.714,9.820,0.0232,-0.0158,-0.0113,6.14,5.20,0.79,true,92.3,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:17Z,simulated,telemetry,scooter,scooter_normal_long_035,17,,,,,in_transit,false,41.5409437,-8.4263245,16.32,-0.097,0.060,9.761,0.0076,0.0696,-0.0741,2.60,6.73,1.33,true,92.3,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:18Z,simulated,telemetry,scooter,scooter_normal_long_035,18,,,,,in_transit,false,41.5409291,-8.4263747,16.15,0.193,0.057,9.832,0.0335,0.0494,-0.0457,3.12,9.18,0.94,true,92.3,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:19Z,simulated,telemetry,scooter,scooter_normal_long_035,19,,,,,in_transit,false,41.5409124,-8.4264318,18.34,0.292,0.893,10.093,0.0815,-0.0478,0.1032,5.74,2.83,2.79,true,92.3,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:20Z,simulated,telemetry,scooter,scooter_normal_long_035,20,,,,,in_transit,false,41.5409024,-8.4264742,14.06,-0.480,-1.359,9.802,0.0105,0.0401,-0.0333,4.28,7.94,0.92,true,92.3,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:21Z,simulated,telemetry,scooter,scooter_normal_long_035,21,,,,,in_transit,false,41.5409422,-8.4265053,18.46,-0.253,1.425,9.548,-0.0051,0.0338,0.0144,5.44,4.43,0.92,true,92.3,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:22Z,simulated,telemetry,scooter,scooter_normal_long_035,22,,,,,in_transit,false,41.5409805,-8.4265352,17.74,-0.064,-0.167,10.045,0.0394,0.0329,0.0603,5.01,5.06,0.93,true,92.3,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:23Z,simulated,telemetry,scooter,scooter_normal_long_035,23,,,,,in_transit,false,41.5410188,-8.4265651,17.76,0.524,-0.094,9.876,-0.0011,-0.0531,0.0718,6.42,6.96,1.42,true,92.3,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:24Z,simulated,telemetry,scooter,scooter_normal_long_035,24,,,,,in_transit,false,41.5410498,-8.4265979,15.87,0.558,-0.570,10.102,0.0077,-0.0029,0.0239,5.09,8.79,1.16,true,92.3,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:25Z,simulated,telemetry,scooter,scooter_normal_long_035,25,,,,,in_transit,false,41.5410753,-8.4266272,13.47,-0.054,-0.952,9.620,0.0557,-0.0162,-0.0115,5.31,5.79,1.84,true,92.3,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:26Z,simulated,telemetry,scooter,scooter_normal_long_035,26,,,,,in_transit,false,41.5411088,-8.4266659,17.72,-0.507,1.418,9.876,-0.0257,0.0008,0.0121,6.19,3.47,2.36,true,92.3,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:27Z,simulated,telemetry,scooter,scooter_normal_long_035,27,,,,,in_transit,false,41.5411184,-8.4267053,12.95,-0.044,-1.370,10.180,-0.0205,0.0710,-0.0353,4.70,7.98,1.91,true,92.3,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:28Z,simulated,telemetry,scooter,scooter_normal_long_035,28,,,,,in_transit,false,41.5411262,-8.4267683,19.13,0.246,1.829,9.488,-0.0371,0.0230,-0.0004,2.63,8.74,2.10,true,92.3,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:29Z,simulated,telemetry,scooter,scooter_normal_long_035,29,,,,,in_transit,false,41.5411323,-8.4268165,14.65,0.138,-1.296,9.737,-0.0256,0.0276,0.0866,5.95,4.23,2.31,true,92.3,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:30Z,simulated,telemetry,scooter,scooter_normal_long_035,30,,,,,in_transit,false,41.5411189,-8.4268702,16.96,-0.754,0.579,9.510,0.0512,-0.0103,-0.0342,4.12,3.55,1.78,true,92.2,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:31Z,simulated,telemetry,scooter,scooter_normal_long_035,31,,,,,in_transit,false,41.5411051,-8.4269253,17.42,-0.194,0.225,9.791,0.0275,0.0062,0.0142,6.09,7.63,2.37,true,92.2,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:32Z,simulated,telemetry,scooter,scooter_normal_long_035,32,,,,,in_transit,false,41.5410935,-8.4269713,14.54,-0.376,-0.754,9.961,-0.0062,-0.0066,-0.1092,2.53,3.73,1.52,true,92.2,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:33Z,simulated,telemetry,scooter,scooter_normal_long_035,33,,,,,in_transit,false,41.5410796,-8.4270267,17.52,0.057,1.110,9.571,0.0236,-0.0351,-0.0602,3.87,5.45,1.65,true,92.2,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:34Z,simulated,telemetry,scooter,scooter_normal_long_035,34,,,,,in_transit,false,41.5410618,-8.4270762,16.45,0.300,-0.266,9.388,0.0131,0.0102,-0.0184,4.00,6.31,1.91,true,92.2,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:35Z,simulated,telemetry,scooter,scooter_normal_long_035,35,,,,,in_transit,false,41.5410467,-8.4271176,13.81,0.219,-0.594,9.811,-0.0123,0.0252,-0.0048,6.13,7.57,2.32,true,92.2,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:36Z,simulated,telemetry,scooter,scooter_normal_long_035,36,,,,,in_transit,false,41.5410300,-8.4271632,15.19,-0.073,0.467,9.961,0.0322,0.0040,-0.0578,2.84,2.34,1.24,true,92.2,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:37Z,simulated,telemetry,scooter,scooter_normal_long_035,37,,,,,in_transit,false,41.5410114,-8.4272139,16.94,-0.271,0.713,9.952,0.0118,0.0223,-0.0373,3.03,6.64,0.85,true,92.2,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:38Z,simulated,telemetry,scooter,scooter_normal_long_035,38,,,,,in_transit,false,41.5409928,-8.4272648,16.96,-0.821,-0.091,9.928,-0.0176,-0.0409,0.0864,2.22,8.57,2.09,true,92.2,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:39Z,simulated,telemetry,scooter,scooter_normal_long_035,39,,,,,in_transit,false,41.5409718,-8.4273221,19.11,0.048,0.566,9.303,-0.0431,-0.0060,-0.0322,4.26,8.95,1.12,true,92.2,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:40Z,simulated,telemetry,scooter,scooter_normal_long_035,40,,,,,in_transit,false,41.5409535,-8.4273720,16.65,0.284,-0.721,9.713,0.0232,0.0050,0.0599,5.15,8.75,2.76,true,92.2,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:41Z,simulated,telemetry,scooter,scooter_normal_long_035,41,,,,,in_transit,false,41.5409373,-8.4274162,14.74,-0.407,-0.518,9.602,-0.0292,-0.0585,0.0064,3.41,4.06,1.66,true,92.2,
scooter_normal_long_035,scooter_braga_035,2026-05-05T18:24:42Z,simulated,telemetry,scooter,scooter_normal_long_035,42,,,,,in_transit,false,41.5409191,-8.4274660,16.61,-0.250,0.440,9.316,0.0317,0.0093,0.0356,3.87,5.08,1.51,true,92.2,
