scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
scooter_fall_accident_038,scooter_braga_038,2026-05-05T19:00:00Z,simulated,telemetry,scooter,scooter_fall_accident_038,0,,,,,in_transit,false,41.5549948,-8.4052793,14.77,-0.496,0.341,9.637,0.0145,0.0264,-0.0134,3.74,4.78,0.91,true,87.0,
scooter_fall_accident_038,scooter_braga_038,2026-05-05T19:00:01Z,simulated,telemetry,scooter,scooter_fall_accident_038,1,,,,,in_transit,false,41.5549927,-8.4053211,12.54,-0.484,-0.450,9.907,-0.0140,0.1063,-0.1208,5.30,4.25,2.21,true,87.0,
scooter_fall_accident_038,scooter_braga_038,2026-05-05T19:00:02Z,simulated,telemetry,scooter,scooter_fall_accident_038,2,,,,,in_transit,false,41.5549901,-8.4053731,15.62,-0.246,0.694,10.430,0.0481,-0.0051,0.0419,2.79,3.48,2.07,true,87.0,
scooter_fall_accident_038,scooter_braga_038,2026-05-05T19:00:03Z,simulated,telemetry,scooter,scooter_fall_accident_038,3,,,,,in_transit,false,41.5549880,-8.4054149,12.55,0.097,-0.866,9.475,0.0477,0.0153,0.0527,5.80,5.64,2.28,true,87.0,
scooter_fall_accident_038,scooter_braga_038,2026-05-05T19:00:04Z,simulated,telemetry,scooter,scooter_fall_accident_038,4,,,,,in_transit,false,41.5549858,-8.4054576,12.82,-0.665,0.111,9.717,-0.0201,-0.0381,0.0295,4.24,4.51,2.68,true,87.0,
scooter_fall_accident_038,scooter_braga_038,2026-05-05T19:00:05Z,simulated,telemetry,scooter,scooter_fall_accident_038,5,,,,,in_transit,false,41.5549833,-8.4055071,14.87,0.494,0.515,9.635,0.0004,0.0343,0.0156,4.97,6.73,2.55,true,87.0,
scooter_fall_accident_038,scooter_braga_038,2026-05-05T19:00:06Z,simulated,telemetry,scooter,scooter_fall_accident_038,6,,,,,in_transit,false,41.5549810,-8.4055539,14.04,0.565,0.003,9.981,0.0359,-0.0298,0.0050,3.05,8.46,1.79,true,87.0,
scooter_fall_accident_038,scooter_braga_038,2026-05-05T19:00:07Z,simulated,telemetry,scooter,scooter_fall_accident_038,7,,,,,in_transit,false,41.5549786,-8.4056020,14.44,0.162,0.377,10.056,-0.0093,-0.0306,-0.0248,2.27,2.58,2.38,true,87.0,
scooter_fall_accident_038,scooter_braga_038,2026-05-05T19:00:08Z,simulated,telemetry,scooter,scooter_fall_accident_038,8,,,,,in_transit,false,41.5549616,-8.4056137,12.53,0.043,-0.603,10.035,0.0192,0.0731,-0.0290,3.42,7.39,1.69,true,87.0,
scooter_fall_accident_038,scooter_braga_038,2026-05-05T19:00:09Z,simulated,telemetry,scooter,scooter_fall_accident_038,9,,,,,in_transit,false,41.5549272,-8.4055977,14.58,0.517,0.361,9.584,0.0190,-0.0328,-0.0159,2.99,7.65,2.46,true,87.0,
