scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:00Z,simulated,telemetry,scooter,scooter_normal_center_044,0,,,,,in_transit,false,41.5578389,-8.4278861,10.46,-0.300,-0.237,10.243,0.0391,-0.0269,-0.0046,6.39,6.43,0.77,true,92.5,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:01Z,simulated,telemetry,scooter,scooter_normal_center_044,1,,,,,in_transit,false,41.5578106,-8.4278963,11.72,-0.580,0.530,10.139,0.0413,-0.0647,-0.0346,2.23,7.21,2.45,true,92.5,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:02Z,simulated,telemetry,scooter,scooter_normal_center_044,2,,,,,in_transit,false,41.5577804,-8.4279076,12.59,0.036,0.257,10.333,-0.0445,0.0106,-0.0138,6.20,6.38,2.71,true,92.5,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:03Z,simulated,telemetry,scooter,scooter_normal_center_044,3,,,,,in_transit,false,41.5577525,-8.4279308,13.13,-0.213,-0.156,9.967,-0.0305,0.0340,-0.1042,5.32,7.68,2.71,true,92.5,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:04Z,simulated,telemetry,scooter,scooter_normal_center_044,4,,,,,in_transit,false,41.5577230,-8.4279553,13.90,-0.357,0.042,9.976,-0.0437,0.0404,0.0303,2.28,5.66,1.63,true,92.5,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:05Z,simulated,telemetry,scooter,scooter_normal_center_044,5,,,,,in_transit,false,41.5577019,-8.4279804,11.37,-0.151,-0.315,9.780,0.0362,-0.0245,-0.0414,5.63,3.07,2.37,true,92.5,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:06Z,simulated,telemetry,scooter,scooter_normal_center_044,6,,,,,in_transit,false,41.5576762,-8.4280140,14.38,-0.041,0.713,10.046,-0.0008,-0.0401,0.0337,5.95,4.66,1.06,true,92.5,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:07Z,simulated,telemetry,scooter,scooter_normal_center_044,7,,,,,in_transit,false,41.5576517,-8.4280461,13.74,-0.226,-0.406,9.898,-0.0258,-0.0229,0.0604,4.29,7.07,1.88,true,92.5,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:08Z,simulated,telemetry,scooter,scooter_normal_center_044,8,,,,,in_transit,false,41.5576554,-8.4280605,13.93,-0.284,-0.047,9.846,-0.0627,-0.0783,-0.0447,2.36,7.73,2.49,true,92.5,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:09Z,simulated,telemetry,scooter,scooter_normal_center_044,9,,,,,in_transit,false,41.5576812,-8.4280567,10.36,0.005,-1.049,9.956,-0.0350,-0.0286,0.0114,2.39,5.16,2.47,true,92.5,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:10Z,simulated,telemetry,scooter,scooter_normal_center_044,10,,,,,in_transit,false,41.5577088,-8.4280526,11.12,-0.284,0.248,9.902,0.0353,0.0553,-0.0146,5.38,4.15,2.34,true,92.5,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:11Z,simulated,telemetry,scooter,scooter_normal_center_044,11,,,,,in_transit,false,41.5577435,-8.4280475,13.97,-0.520,0.997,9.887,0.0307,0.0127,-0.0478,3.56,6.17,1.41,true,92.4,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:12Z,simulated,telemetry,scooter,scooter_normal_center_044,12,,,,,in_transit,false,41.5577716,-8.4280433,11.31,-0.268,-0.726,9.766,-0.0064,-0.0390,-0.0279,4.97,3.49,1.93,true,92.4,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:13Z,simulated,telemetry,scooter,scooter_normal_center_044,13,,,,,in_transit,false,41.5577908,-8.4280405,7.74,-0.560,-1.257,10.128,-0.0086,-0.0417,0.0296,4.79,5.61,1.73,true,92.4,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:14Z,simulated,telemetry,scooter,scooter_normal_center_044,14,,,,,in_transit,false,41.5578172,-8.4280366,10.65,0.073,0.834,9.831,-0.0015,-0.0783,-0.0612,3.14,5.93,2.66,true,92.4,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:15Z,simulated,telemetry,scooter,scooter_normal_center_044,15,,,,,in_transit,false,41.5578519,-8.4280314,13.97,0.086,1.204,9.673,0.0136,-0.0022,0.0125,3.20,7.47,2.13,true,92.4,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:16Z,simulated,telemetry,scooter,scooter_normal_center_044,16,,,,,in_transit,false,41.5578808,-8.4280286,11.64,-0.565,-1.090,9.915,0.0025,0.1019,-0.0804,2.64,4.23,2.78,true,92.4,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:17Z,simulated,telemetry,scooter,scooter_normal_center_044,17,,,,,in_transit,false,41.5579071,-8.4280292,10.53,0.010,-0.176,9.705,-0.0255,-0.0262,-0.1004,2.16,6.96,2.37,true,92.4,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:18Z,simulated,telemetry,scooter,scooter_normal_center_044,18,,,,,in_transit,false,41.5579368,-8.4280334,12.13,-0.258,0.291,9.999,-0.0080,-0.0100,-0.0848,5.93,2.21,1.80,true,92.4,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:19Z,simulated,telemetry,scooter,scooter_normal_center_044,19,,,,,in_transit,false,41.5579582,-8.4280467,9.43,0.274,-0.566,10.307,-0.0279,-0.0111,0.0169,4.01,4.80,1.99,true,92.4,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:20Z,simulated,telemetry,scooter,scooter_normal_center_044,20,,,,,in_transit,false,41.5579899,-8.4280667,14.03,-0.141,1.344,10.002,-0.0461,-0.0765,-0.0149,3.05,7.66,2.66,true,92.4,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:21Z,simulated,telemetry,scooter,scooter_normal_center_044,21,,,,,in_transit,false,41.5580118,-8.4280851,10.36,0.189,-1.074,9.588,0.0502,0.0000,-0.0251,5.90,7.23,2.43,true,92.4,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:22Z,simulated,telemetry,scooter,scooter_normal_center_044,22,,,,,in_transit,false,41.5580369,-8.4281063,11.91,0.180,0.557,9.963,0.0420,0.0041,-0.0148,4.15,8.55,2.07,true,92.4,
scooter_normal_center_044,scooter_braga_044,2026-05-05T20:12:23Z,simulated,telemetry,scooter,scooter_normal_center_044,23,,,,,in_transit,false,41.5580606,-8.4281262,11.18,-0.075,-0.423,9.967,0.0052,-0.0366,-0.0047,4.74,6.55,0.80,true,92.4,
