scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:00Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,0,,,,,in_transit,false,41.5530237,-8.4265740,21.24,0.123,1.443,10.148,0.0062,-0.0120,0.0554,4.89,6.30,2.78,true,98.0,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:01Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,1,,,,,in_transit,false,41.5529777,-8.4265706,18.44,-0.099,-0.817,9.582,-0.0744,-0.1187,0.0546,3.30,3.34,1.58,true,98.0,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:02Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,2,,,,,in_transit,false,41.5529247,-8.4265667,21.24,-0.797,0.766,9.608,-0.0318,0.0066,-0.0682,4.98,8.98,2.67,true,98.0,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:03Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,3,,,,,in_transit,false,41.5528767,-8.4265631,19.26,-0.605,-0.431,9.491,-0.0175,0.0156,0.0726,2.35,5.38,2.16,true,98.0,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:04Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,4,,,,,in_transit,false,41.5528676,-8.4266173,19.00,-0.350,0.085,9.363,-0.0229,0.0130,0.0064,5.94,3.68,2.55,true,98.0,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:05Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,5,,,,,in_transit,false,41.5528644,-8.4266796,18.69,-0.765,-0.356,9.678,0.0580,-0.0424,0.0139,2.60,9.40,2.09,true,98.0,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:06Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,6,,,,,in_transit,false,41.5528615,-8.4267368,17.20,0.152,-0.594,10.426,0.0402,-0.0347,-0.0597,6.46,3.69,0.75,true,98.0,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:07Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,7,,,,,in_transit,false,41.5528586,-8.4267941,17.18,0.171,-0.229,9.157,0.0114,0.0022,0.0234,2.56,4.23,1.94,true,98.0,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:08Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,8,,,,,in_transit,false,41.5528550,-8.4268653,21.39,0.016,1.233,9.634,0.0273,0.0327,0.0067,4.06,4.04,1.13,true,98.0,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:09Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,9,,,,,in_transit,false,41.5528514,-8.4269350,20.93,0.566,-0.027,9.403,-0.0454,0.0001,0.0374,5.46,8.03,1.99,true,97.9,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:10Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,10,,,,,in_transit,false,41.5528485,-8.4269931,17.44,0.315,-0.765,9.802,0.0284,0.0001,-0.0457,5.00,8.13,2.13,true,97.9,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:11Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,11,,,,,in_transit,false,41.5528450,-8.4270616,20.57,0.324,0.867,9.691,-0.0984,0.0632,0.0599,4.72,3.37,0.91,true,97.9,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:12Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,12,,,,,in_transit,false,41.5528424,-8.4271125,15.30,-0.330,-1.305,10.013,0.0672,-0.0610,-0.0377,5.84,2.63,1.21,true,97.9,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:13Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,13,,,,,in_transit,false,41.5528389,-8.4271801,20.29,-0.069,1.359,9.798,0.0478,0.0384,0.0503,2.08,7.13,0.84,true,97.9,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:14Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,14,,,,,in_transit,false,41.5528352,-8.4272526,21.75,-0.503,0.417,9.704,0.0242,-0.0249,-0.0232,3.01,9.04,2.28,true,97.9,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:15Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,15,,,,,in_transit,false,41.5528320,-8.4273147,18.67,-0.253,-0.808,9.684,0.0407,-0.0483,-0.0579,4.43,4.03,0.73,true,97.9,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:16Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,16,,,,,in_transit,false,41.5528290,-8.4273747,17.99,0.339,-0.179,9.556,0.0116,0.0458,0.0714,5.84,7.18,1.00,true,97.9,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:17Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,17,,,,,in_transit,false,41.5528255,-8.4274424,20.35,-0.073,0.702,9.403,0.0376,-0.0259,-0.0747,4.76,7.11,1.78,true,97.9,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:18Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,18,,,,,in_transit,false,41.5528217,-8.4275163,22.17,-0.386,0.794,9.668,0.0504,0.0270,0.0008,3.45,8.77,2.52,true,97.9,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:19Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,19,,,,,in_transit,false,41.5528183,-8.4275843,20.43,0.904,-0.426,9.894,0.0001,-0.0007,-0.0083,2.02,5.64,1.10,true,97.9,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:20Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,20,,,,,in_transit,false,41.5528152,-8.4276437,17.84,0.081,-0.591,9.947,0.0221,0.0309,0.0072,4.11,4.54,0.95,true,97.9,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:21Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,21,,,,,in_transit,false,41.5528115,-8.4277157,21.61,-0.407,1.039,9.245,0.0021,-0.0038,-0.0515,4.30,4.03,1.60,true,97.9,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:22Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,22,,,,,in_transit,false,41.5528084,-8.4277768,18.36,0.353,-0.857,9.896,-0.0327,-0.0252,0.0470,3.05,4.96,2.78,true,97.9,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:23Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,23,,,,,in_transit,false,41.5528052,-8.4278408,19.22,0.000,0.589,9.906,-0.0356,-0.0907,-0.0023,6.15,2.89,1.98,true,97.9,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:24Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,24,,,,,in_transit,false,41.5528022,-8.4278987,17.38,0.392,-0.732,9.681,-0.0087,0.0317,-0.0359,5.71,2.64,1.14,true,97.9,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:25Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,25,,,,,in_transit,false,41.5528388,-8.4279290,20.28,-0.251,0.645,9.719,-0.0251,0.0185,-0.0411,4.43,3.09,2.53,true,97.8,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:26Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,26,,,,,in_transit,false,41.5528839,-8.4279475,18.89,0.043,-0.052,10.538,-0.0055,0.0487,-0.0063,6.21,3.51,1.14,true,97.8,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:27Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,27,,,,,in_transit,false,41.5529259,-8.4279648,17.61,0.224,-0.533,9.562,-0.0004,-0.0222,-0.0398,3.81,9.17,1.59,true,97.8,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:28Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,28,,,,,in_transit,false,41.5529651,-8.4279810,16.41,-0.741,-0.489,9.338,-0.0258,-0.0212,0.0019,4.03,4.26,2.03,true,97.8,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:29Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,29,,,,,in_transit,false,41.5530105,-8.4279998,19.03,-0.080,0.815,9.793,-0.0352,-0.0222,-0.0986,6.34,5.13,1.25,true,97.8,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:30Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,30,,,,,in_transit,false,41.5530544,-8.4280179,18.37,0.292,-0.098,9.902,0.0454,0.0184,0.0519,4.99,8.99,1.50,true,97.8,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:31Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,31,,,,,in_transit,false,41.5530993,-8.4280364,18.84,0.240,0.116,10.079,0.0110,-0.0153,-0.0184,4.52,7.50,1.71,true,97.8,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:32Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,32,,,,,in_transit,false,41.5531519,-8.4280581,22.02,0.352,0.911,9.894,0.0000,-0.0248,0.0057,6.45,8.93,1.89,true,97.8,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:33Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,33,,,,,in_transit,false,41.5531937,-8.4280754,17.51,0.520,-1.229,9.980,0.0202,0.0421,-0.1039,3.14,3.23,2.16,true,97.8,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:34Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,34,,,,,in_transit,false,41.5532343,-8.4280922,17.02,0.167,0.157,9.683,0.0054,-0.0144,-0.0281,2.86,8.05,2.18,true,97.8,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:35Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,35,,,,,in_transit,false,41.5532825,-8.4281121,20.18,-0.159,0.988,10.075,0.0159,0.0425,0.0436,5.19,3.50,2.07,true,97.8,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:36Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,36,,,,,in_transit,false,41.5533294,-8.4281315,19.67,-0.190,-0.043,9.828,-0.0169,-0.0282,0.0471,3.70,3.06,1.43,true,97.8,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:37Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,37,,,,,in_transit,false,41.5533735,-8.4281496,18.46,-0.545,-0.387,9.728,-0.0157,0.0005,0.0289,4.40,5.40,1.15,true,97.8,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:38Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,38,,,,,in_transit,false,41.5534213,-8.4281694,20.05,0.038,0.043,9.719,0.0075,-0.1155,-0.1158,5.83,5.09,1.35,true,97.8,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:39Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,39,,,,,in_transit,false,41.5534756,-8.4281918,22.75,0.173,0.613,9.616,0.0500,-0.0379,-0.0214,5.73,7.17,2.10,true,97.8,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:40Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,40,,,,,in_transit,false,41.5535135,-8.4282075,15.87,0.307,-2.114,9.725,-0.0087,0.0245,-0.0481,4.32,5.34,0.74,true,97.7,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:41Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,41,,,,,in_transit,false,41.5535609,-8.4282271,19.88,-0.331,0.782,9.965,0.0079,0.0202,0.0337,3.72,9.35,2.65,true,97.7,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:42Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,42,,,,,in_transit,false,41.5536095,-8.4282448,20.23,-0.364,0.126,9.842,-0.0305,0.0069,0.0048,5.26,2.63,2.56,true,97.7,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:43Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,43,,,,,in_transit,false,41.5536524,-8.4282437,17.22,0.290,-0.938,9.603,-0.0583,0.0141,0.0135,2.47,6.19,1.97,true,97.7,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:44Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,44,,,,,in_transit,false,41.5537028,-8.4282537,20.36,-0.238,0.827,9.820,0.0225,-0.0086,0.0365,6.14,9.48,2.00,true,97.7,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:45Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,45,,,,,in_transit,false,41.5537552,-8.4282641,21.22,0.739,0.188,10.111,0.0023,-0.0023,-0.0308,5.09,8.97,1.47,true,97.7,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:46Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,46,,,,,in_transit,false,41.5537479,-8.4283157,19.05,0.129,-0.810,10.174,0.0064,-0.0137,0.0293,6.10,5.82,1.84,true,97.7,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:47Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,47,,,,,in_transit,false,41.5537316,-8.4283784,19.90,-0.340,0.107,9.906,-0.0568,0.0005,0.0685,6.06,7.45,1.03,true,97.7,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:48Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,48,,,,,in_transit,false,41.5537158,-8.4284413,19.86,-0.069,0.063,9.732,-0.0041,0.0212,0.0688,2.65,6.87,1.69,true,97.7,
scooter_hard_brake_crossing_048,scooter_braga_048,2026-05-05T21:00:49Z,simulated,telemetry,scooter,scooter_hard_brake_crossing_048,49,,,,,in_transit,false,41.5537013,-8.4284993,18.33,0.529,-0.193,9.775,0.0136,-0.0283,-0.0737,2.80,2.23,1.05,true,97.7,
