scenario_id,device_id,timestamp,source,type,vehicle_type,trip_id,sequence,start_station_id,start_station_name,end_station_id,end_station_name,dock_status,charging,lat,lon,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,range_front_m,range_left_m,ultrasonic_valid,battery,event_label
scooter_fall_curve_050,scooter_braga_050,2026-05-05T21:24:00Z,simulated,telemetry,scooter,scooter_fall_curve_050,0,,,,,in_transit,false,41.5616414,-8.4491974,13.17,0.024,-0.057,9.407,-0.0464,-0.0311,-0.0293,4.34,6.08,1.24,true,92.4,
scooter_fall_curve_050,scooter_braga_050,2026-05-05T21:24:01Z,simulated,telemetry,scooter,scooter_fall_curve_050,1,,,,,in_transit,false,41.5616573,-8.4491579,13.43,0.063,0.296,9.551,-0.0161,0.0481,-0.0375,5.92,3.50,1.78,true,92.4,
scooter_fall_curve_050,scooter_braga_050,2026-05-05T21:24:02Z,simulated,telemetry,scooter,scooter_fall_curve_050,2,,,,,in_transit,false,41.5616701,-8.4491263,10.75,-0.133,-0.725,9.745,-0.0703,0.0164,0.0088,2.70,9.06,1.85,true,92.4,
scooter_fall_curve_050,scooter_braga_050,2026-05-05T21:24:03Z,simulated,telemetry,scooter,scooter_fall_curve_050,3,,,,,in_transit,false,41.5616872,-8.4490841,14.39,-0.460,0.766,9.490,-0.0217,0.0335,-0.0208,6.27,5.92,1.25,true,92.4,
scooter_fall_curve_050,scooter_braga_050,2026-05-05T21:24:04Z,simulated,telemetry,scooter,scooter_fall_curve_050,4,,,,,in_transit,false,41.5617041,-8.4490420,14.31,0.409,-0.102,9.630,-0.0297,-0.0044,-0.0223,2.84,3.17,1.75,true,92.4,
scooter_fall_curve_050,scooter_braga_050,2026-05-05T21:24:05Z,simulated,telemetry,scooter,scooter_fall_curve_050,5,,,,,in_transit,false,41.5617207,-8.4490010,13.96,0.357,-0.087,10.160,0.0057,0.0127,-0.0455,4.86,5.55,2.56,true,92.4,
scooter_fall_curve_050,scooter_braga_050,2026-05-05T21:24:06Z,simulated,telemetry,scooter,scooter_fall_curve_050,6,,,,,in_transit,false,41.5616965,-8.4489832,11.17,0.226,-0.782,9.832,-0.0155,-0.0088,0.0299,5.73,6.08,1.09,true,92.4,
scooter_fall_curve_050,scooter_braga_050,2026-05-05T21:24:07Z,simulated,telemetry,scooter,scooter_fall_curve_050,7,,,,,in_transit,false,41.5616680,-8.4489629,12.92,-0.170,0.463,9.687,0.0249,-0.0072,0.0113,2.50,3.61,2.25,true,92.4,
scooter_fall_curve_050,scooter_braga_050,2026-05-05T21:24:08Z,simulated,telemetry,scooter,scooter_fall_curve_050,8,,,,,in_transit,false,41.5616398,-8.4489427,12.80,-0.019,-0.156,10.048,0.0132,-0.0060,0.1016,2.31,2.66,1.88,true,92.4,
scooter_fall_curve_050,scooter_braga_050,2026-05-05T21:24:09Z,simulated,telemetry,scooter,scooter_fall_curve_050,9,,,,,in_transit,false,41.5616064,-8.4489188,15.18,0.308,0.624,9.378,-0.0143,-0.0145,-0.0288,2.51,4.32,1.06,true,92.4,
